,hpso01 (Ingest) [Bmax=16250],hpso01 (RCAL) [Bmax=16250],hpso01 (FastImg) [Bmax=16250],hpso01 (ICAL) [Bmax=16250],hpso01 (DPrepA) [Bmax=16250],hpso01 (DPrepB) [Bmax=16250],hpso01 (DPrepC) [Bmax=16250],hpso01 (DPrepD) [Bmax=16250],hpso02a (Ingest) [Bmax=16250],hpso02a (RCAL) [Bmax=16250],hpso02a (FastImg) [Bmax=16250],hpso02a (ICAL) [Bmax=16250],hpso02a (DPrepA) [Bmax=16250],hpso02a (DPrepB) [Bmax=16250],hpso02a (DPrepC) [Bmax=16250],hpso02a (DPrepD) [Bmax=16250],hpso02b (Ingest) [Bmax=16250],hpso02b (RCAL) [Bmax=16250],hpso02b (FastImg) [Bmax=16250],hpso02b (ICAL) [Bmax=16250],hpso02b (DPrepA) [Bmax=16250],hpso02b (DPrepB) [Bmax=16250],hpso02b (DPrepC) [Bmax=16250],hpso02b (DPrepD) [Bmax=16250],hpso04a (Ingest) [Bmax=16250],hpso04a (RCAL) [Bmax=16250],hpso04a (FastImg) [Bmax=16250],hpso04a (PSS) [Bmax=16250],hpso04b (Ingest) [Bmax=16250],hpso04b (RCAL) [Bmax=16250],hpso04b (FastImg) [Bmax=16250],hpso04b (PSS) [Bmax=16250],hpso04c (Ingest) [Bmax=16250],hpso04c (RCAL) [Bmax=16250],hpso04c (FastImg) [Bmax=16250],hpso04c (PSS) [Bmax=16250],hpso05a (Ingest) [Bmax=16250],hpso05a (RCAL) [Bmax=16250],hpso05a (FastImg) [Bmax=16250],hpso05a (PST) [Bmax=16250],hpso05b (Ingest) [Bmax=16250],hpso05b (RCAL) [Bmax=16250],hpso05b (FastImg) [Bmax=16250],hpso05b (PST) [Bmax=16250],hpso13 (Ingest) [Bmax=16250],hpso13 (RCAL) [Bmax=16250],hpso13 (FastImg) [Bmax=16250],hpso13 (ICAL) [Bmax=16250],hpso13 (DPrepA) [Bmax=16250],hpso13 (DPrepB) [Bmax=16250],hpso13 (DPrepC) [Bmax=16250],hpso14 (Ingest) [Bmax=16250],hpso14 (RCAL) [Bmax=16250],hpso14 (FastImg) [Bmax=16250],hpso14 (ICAL) [Bmax=16250],hpso14 (DPrepA) [Bmax=16250],hpso14 (DPrepB) [Bmax=16250],hpso14 (DPrepC) [Bmax=16250],hpso15 (Ingest) [Bmax=16250],hpso15 (RCAL) [Bmax=16250],hpso15 (FastImg) [Bmax=16250],hpso15 (ICAL) [Bmax=16250],hpso15 (DPrepA) [Bmax=16250],hpso15 (DPrepB) [Bmax=16250],hpso15 (DPrepC) [Bmax=16250],hpso18 (Ingest) [Bmax=16250],hpso18 (RCAL) [Bmax=16250],hpso18 (FastImg) [Bmax=16250],hpso18 (SinglePulse) [Bmax=16250],hpso22 (Ingest) [Bmax=16250],hpso22 (RCAL) [Bmax=16250],hpso22 (FastImg) [Bmax=16250],hpso22 (ICAL) [Bmax=16250],hpso22 (DPrepA) [Bmax=16250],hpso22 (DPrepB) [Bmax=16250],hpso27and33 (Ingest) [Bmax=16250],hpso27and33 (RCAL) [Bmax=16250],hpso27and33 (FastImg) [Bmax=16250],hpso27and33 (ICAL) [Bmax=16250],hpso27and33 (DPrepA) [Bmax=16250],hpso27and33 (DPrepB) [Bmax=16250],hpso32 (Ingest) [Bmax=16250],hpso32 (RCAL) [Bmax=16250],hpso32 (FastImg) [Bmax=16250],hpso32 (ICAL) [Bmax=16250],hpso32 (DPrepB) [Bmax=16250],hpso37a (Ingest) [Bmax=16250],hpso37a (RCAL) [Bmax=16250],hpso37a (FastImg) [Bmax=16250],hpso37a (ICAL) [Bmax=16250],hpso37a (DPrepA) [Bmax=16250],hpso37a (DPrepB) [Bmax=16250],hpso37b (Ingest) [Bmax=16250],hpso37b (RCAL) [Bmax=16250],hpso37b (FastImg) [Bmax=16250],hpso37b (ICAL) [Bmax=16250],hpso37b (DPrepA) [Bmax=16250],hpso37b (DPrepB) [Bmax=16250],hpso37c (Ingest) [Bmax=16250],hpso37c (RCAL) [Bmax=16250],hpso37c (FastImg) [Bmax=16250],hpso37c (ICAL) [Bmax=16250],hpso37c (DPrepA) [Bmax=16250],hpso37c (DPrepB) [Bmax=16250],hpso38a (Ingest) [Bmax=16250],hpso38a (RCAL) [Bmax=16250],hpso38a (FastImg) [Bmax=16250],hpso38a (ICAL) [Bmax=16250],hpso38a (DPrepA) [Bmax=16250],hpso38a (DPrepB) [Bmax=16250],hpso38b (Ingest) [Bmax=16250],hpso38b (RCAL) [Bmax=16250],hpso38b (FastImg) [Bmax=16250],hpso38b (ICAL) [Bmax=16250],hpso38b (DPrepA) [Bmax=16250],hpso38b (DPrepB) [Bmax=16250],max_low (Ingest) [Bmax=16250],max_low (RCAL) [Bmax=16250],max_low (FastImg) [Bmax=16250],max_low (ICAL) [Bmax=16250],max_low (DPrepA) [Bmax=16250],max_low (DPrepA_Image) [Bmax=16250],max_low (DPrepB) [Bmax=16250],max_low (DPrepC) [Bmax=16250],max_low (DPrepD) [Bmax=16250],max_mid_band1 (Ingest) [Bmax=16250],max_mid_band1 (RCAL) [Bmax=16250],max_mid_band1 (FastImg) [Bmax=16250],max_mid_band1 (ICAL) [Bmax=16250],max_mid_band1 (DPrepA) [Bmax=16250],max_mid_band1 (DPrepA_Image) [Bmax=16250],max_mid_band1 (DPrepB) [Bmax=16250],max_mid_band1 (DPrepC) [Bmax=16250],max_mid_band1 (DPrepD) [Bmax=16250],max_mid_band2 (Ingest) [Bmax=16250],max_mid_band2 (RCAL) [Bmax=16250],max_mid_band2 (FastImg) [Bmax=16250],max_mid_band2 (ICAL) [Bmax=16250],max_mid_band2 (DPrepA) [Bmax=16250],max_mid_band2 (DPrepA_Image) [Bmax=16250],max_mid_band2 (DPrepB) [Bmax=16250],max_mid_band2 (DPrepC) [Bmax=16250],max_mid_band2 (DPrepD) [Bmax=16250],max_mid_band5a_1 (Ingest) [Bmax=16250],max_mid_band5a_1 (RCAL) [Bmax=16250],max_mid_band5a_1 (FastImg) [Bmax=16250],max_mid_band5a_1 (ICAL) [Bmax=16250],max_mid_band5a_1 (DPrepA) [Bmax=16250],max_mid_band5a_1 (DPrepA_Image) [Bmax=16250],max_mid_band5a_1 (DPrepB) [Bmax=16250],max_mid_band5a_1 (DPrepC) [Bmax=16250],max_mid_band5a_1 (DPrepD) [Bmax=16250],max_mid_band5a_2 (Ingest) [Bmax=16250],max_mid_band5a_2 (RCAL) [Bmax=16250],max_mid_band5a_2 (FastImg) [Bmax=16250],max_mid_band5a_2 (ICAL) [Bmax=16250],max_mid_band5a_2 (DPrepA) [Bmax=16250],max_mid_band5a_2 (DPrepA_Image) [Bmax=16250],max_mid_band5a_2 (DPrepB) [Bmax=16250],max_mid_band5a_2 (DPrepC) [Bmax=16250],max_mid_band5a_2 (DPrepD) [Bmax=16250],max_mid_band5b_1 (Ingest) [Bmax=16250],max_mid_band5b_1 (RCAL) [Bmax=16250],max_mid_band5b_1 (FastImg) [Bmax=16250],max_mid_band5b_1 (ICAL) [Bmax=16250],max_mid_band5b_1 (DPrepA) [Bmax=16250],max_mid_band5b_1 (DPrepA_Image) [Bmax=16250],max_mid_band5b_1 (DPrepB) [Bmax=16250],max_mid_band5b_1 (DPrepC) [Bmax=16250],max_mid_band5b_1 (DPrepD) [Bmax=16250],max_mid_band5b_2 (Ingest) [Bmax=16250],max_mid_band5b_2 (RCAL) [Bmax=16250],max_mid_band5b_2 (FastImg) [Bmax=16250],max_mid_band5b_2 (ICAL) [Bmax=16250],max_mid_band5b_2 (DPrepA) [Bmax=16250],max_mid_band5b_2 (DPrepA_Image) [Bmax=16250],max_mid_band5b_2 (DPrepB) [Bmax=16250],max_mid_band5b_2 (DPrepC) [Bmax=16250],max_mid_band5b_2 (DPrepD) [Bmax=16250]
Max Baseline [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Dump time [s],2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8270715683729946,2.8270715683729946,1.0,2.8270715683729946,2.8270715683729946,2.8270715683729946,1.4545163222177464,1.4545163222177464,2.8197677416833486,2.8197677416833486,1.0,9.375,0.6990954654910011,0.6990954654910011,0.5398488841086849,9.375,0.6902846321573384,0.6902846321573384,0.5330450657776581,9.375,2.8197677416833486,2.8197677416833486,1.0,(undefined),0.6935975284818032,0.6935975284818032,0.5356033192240225,(undefined),0.7009560529623908,0.7009560529623908,0.5412856493572062,0.7009560529623908,0.7009560529623908,0.7009560529623908,0.38463687213779585,0.6875179491514758,0.6875179491514758,0.5309086040108114,0.6875179491514758,0.6875179491514758,0.6875179491514758,0.40644972087045805,0.7016950685107778,0.7016950685107778,0.5418563249499245,0.7016950685107778,0.7016950685107778,0.7016950685107778,0.4203102286273966,0.6990954654910011,0.6990954654910011,0.5398488841086849,10,0.6945703380020157,0.6945703380020157,0.5363545329850332,0.6945703380020157,0.6945703380020157,0.6945703380020157,0.6731731988470553,0.6731731988470553,0.5198314366897214,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6700371620748535,0.6700371620748535,0.5174097560530034,0.6700371620748535,0.6700371620748535,0.6731731988470553,0.6731731988470553,0.5198314366897214,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.5198314366897214,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.5198314366897214,0.6731731988470553,0.6731731988470553,0.6731731988470553,0.6865392734335949,0.6865392734335949,0.530152860310155,0.6865392734335949,0.6865392734335949,0.6865392734335949,0.6865392734335949,0.6865392734335949,0.530152860310155,0.6865392734335949,0.6865392734335949,0.6865392734335949,2.8260422890884778,2.8260422890884778,1.0,2.8260422890884778,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.4539867623947131,1.4539867623947131,0.6700371620748535,0.6700371620748535,0.5174097560530034,0.6700371620748535,0.6700371620748535,0.6700371620748535,0.6700371620748535,0.36767069368667654,0.36767069368667654,0.6935975284818032,0.6935975284818032,0.5356033192240225,0.6935975284818032,0.6935975284818032,0.6935975284818032,0.6935975284818032,0.3805990158017233,0.3805990158017233,0.6896264626845003,0.6896264626845003,0.5325368203762715,0.6896264626845003,0.6896264626845003,0.6896264626845003,0.6896264626845003,0.3784199657444868,0.3784199657444868,0.7045667248103175,0.7045667248103175,0.5440738482001451,0.7045667248103175,0.7045667248103175,0.7045667248103175,0.7045667248103175,0.3866181625768086,0.3866181625768086,0.6738546285801861,0.6738546285801861,0.5203576439091757,0.6738546285801861,0.6738546285801861,0.6738546285801861,0.6738546285801861,0.369765458928943,0.369765458928943,0.7035152922394785,0.7035152922394785,0.5432619208910697,0.7035152922394785,0.7035152922394785,0.7035152922394785,0.7035152922394785,0.38604120809642123,0.38604120809642123
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,342000.0,342000.0,342000.0,342000.0,342000.0,342000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,2880000.0,2880000.0,2880000.0,2880000.0,8640000.0,8640000.0,8640000.0,8640000.0,15480000.0,15480000.0,15480000.0,15480000.0,5760000.0,5760000.0,5760000.0,5760000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,36000000.0,36000000.0,36000000.0,36000000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,(undefined),5.0,1.0,1.0,1.0,1.0,1.0,(undefined),5.0,1.0,3.0,1.0,1.0,1.0,(undefined),5.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),122.85370141734597,1.0000027129190143,122.8537014170955,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),122.85370141734597,1.0000027129190143,90.60301244078124,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),122.85370141734597,1.0000027129190143,90.60301244078124,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),57.01534909732327,1.0000016823783764,(undefined),(undefined),6.819162000763904,1.000000411530097,(undefined),(undefined),3.83962299182838,1.0000002629074018,(undefined),(undefined),57.01534909732327,1.0000016823783764,(undefined),(undefined),26.091041242054878,1.0000002531198904,(undefined),(undefined),4.801716037124968,1.0000004197000343,4.80171618300471,8.226369104423641,7.020999903730021,5.906017757185892,(undefined),3.9883706750291,1.000000262688825,11.940342962441653,6.8336003786234585,4.885034411659889,1.97377565397981,(undefined),2.7411244244782624,1.00000026304061,3.9015470368417278,6.049460866043207,4.4740868247497945,1.96868303574878,(undefined),6.819162000763904,1.000000411530097,(undefined),(undefined),6.194703156182892,1.0000000632429604,6.194703034784311,1.9105979501203252,1.0000000173060846,(undefined),24.501254774104524,1.0000002564268538,9.414094862443159,9.998971005199778,5.653589765999442,(undefined),55.73467807752308,1.0000006659490388,21.3420546267918,12.833793143118587,(undefined),24.501254774104524,1.0000002564268538,17.218762662598515,9.998971008761416,5.653589385157239,(undefined),24.501254774104524,1.0000002564268538,24.501254776524295,9.998971008761416,5.653589540686758,(undefined),24.501254774104524,1.0000002564268538,24.501254776524295,9.998971008761416,5.653589540686758,(undefined),6.941409993711308,1.0000000632188852,4.9710506409309225,2.298458742954946,1.000000020163534,(undefined),6.941409993711308,1.0000000632188852,6.941410673538374,2.298458742954946,1.000000020163534,(undefined),134.4604844295238,1.0000034982021857,134.46048443086687,55.923059582269396,55.29082127308149,36.13055332775483,21.793296923974555,(undefined),(undefined),55.73467807752308,1.0000006659490388,55.734678079555394,22.657750463640596,21.342057386365916,14.125167577416086,6.608056443182431,(undefined),(undefined),26.091041242054878,1.0000002531198904,26.091037363144896,10.663705725788033,10.054510864992618,6.636937983788388,2.0180348990691543,(undefined),(undefined),8.900915081975386,1.0000000526790938,8.900915082468286,3.734213733574808,2.6242834363644247,1.4631319906128222,1.0000000295769824,(undefined),(undefined),7.076253110724714,1.0000000599292358,7.076253773795175,2.322261013778689,1.9194096220706696,1.1658711137930369,1.0000000279225196,(undefined),(undefined),5.34822670137637,1.0000000632379655,5.348226893121561,1.525290029863635,1.3194110293304133,1.0000000185500715,1.0000000265463458,(undefined),(undefined),2.412502388183476,1.0000000347192086,2.4125025435387495,1.0000000280713377,1.0000000174677253,1.0000000269954603,1.0000000254825936,(undefined)
w-stacking planes predict,(undefined),122.85370141734597,1.0000027129190143,122.8537014170955,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),122.85370141734597,1.0000027129190143,90.60301244078124,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),122.85370141734597,1.0000027129190143,90.60301244078124,51.557712263020605,33.340032491518855,36.593910672597616,(undefined),(undefined),57.01534909732327,1.0000016823783764,(undefined),(undefined),6.819162000763904,1.000000411530097,(undefined),(undefined),3.83962299182838,1.0000002629074018,(undefined),(undefined),57.01534909732327,1.0000016823783764,(undefined),(undefined),26.091041242054878,1.0000002531198904,(undefined),(undefined),4.801716037124968,1.0000004197000343,4.80171618300471,8.226369104423641,7.020999903730021,5.906017757185892,(undefined),3.9883706750291,1.000000262688825,11.940342962441653,6.8336003786234585,4.885034411659889,1.97377565397981,(undefined),2.7411244244782624,1.00000026304061,3.9015470368417278,6.049460866043207,4.4740868247497945,1.96868303574878,(undefined),6.819162000763904,1.000000411530097,(undefined),(undefined),6.194703156182892,1.0000000632429604,6.194703034784311,1.9105979501203252,1.0000000173060846,(undefined),24.501254774104524,1.0000002564268538,9.414094862443159,9.998971005199778,5.653589765999442,(undefined),55.73467807752308,1.0000006659490388,21.3420546267918,12.833793143118587,(undefined),24.501254774104524,1.0000002564268538,17.218762662598515,9.998971008761416,5.653589385157239,(undefined),24.501254774104524,1.0000002564268538,24.501254776524295,9.998971008761416,5.653589540686758,(undefined),24.501254774104524,1.0000002564268538,24.501254776524295,9.998971008761416,5.653589540686758,(undefined),6.941409993711308,1.0000000632188852,4.9710506409309225,2.298458742954946,1.000000020163534,(undefined),6.941409993711308,1.0000000632188852,6.941410673538374,2.298458742954946,1.000000020163534,(undefined),134.4604844295238,1.0000034982021857,134.46048443086687,55.923059582269396,55.29082127308149,36.13055332775483,21.793296923974555,(undefined),(undefined),55.73467807752308,1.0000006659490388,55.734678079555394,22.657750463640596,21.342057386365916,14.125167577416086,6.608056443182431,(undefined),(undefined),26.091041242054878,1.0000002531198904,26.091037363144896,10.663705725788033,10.054510864992618,6.636937983788388,2.0180348990691543,(undefined),(undefined),8.900915081975386,1.0000000526790938,8.900915082468286,3.734213733574808,2.6242834363644247,1.4631319906128222,1.0000000295769824,(undefined),(undefined),7.076253110724714,1.0000000599292358,7.076253773795175,2.322261013778689,1.9194096220706696,1.1658711137930369,1.0000000279225196,(undefined),(undefined),5.34822670137637,1.0000000632379655,5.348226893121561,1.525290029863635,1.3194110293304133,1.0000000185500715,1.0000000265463458,(undefined),(undefined),2.412502388183476,1.0000000347192086,2.4125025435387495,1.0000000280713377,1.0000000174677253,1.0000000269954603,1.0000000254825936,(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
