,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
W kernel support bw6 [uv-pixels],,,5.575010288962793,46.95598220584232,4.5898905878562255,19.975753966393768,,,,,,,,,,,,,12.360384223224077,7.726540817535202,10.690651692567926,19.948826890233885,,,,,,,,,6.816516214304803,5.764390230745349,5.642269666857403,11.655143064106264,10.156113368708645,8.486662263503794,,,8.885798568626763,6.291862588399775,9.229742406615886,8.282158876977402,6.291862588399775,9.229742406615886,7.692204793526982,5.382485964282663,7.9337023474398665,5.102259213754571,5.820081445138774,4.788442293033786,5.776079925346046,5.820081445138774,4.788442293033786
W kernel support bw7 [uv-pixels],,,7.0422655917071895,59.491466155398925,5.797170053666909,25.26624291415962,,,,,,,,,,,,,,,,,,,,,,,,,8.611751078948453,7.281651623351075,7.127283903997893,,,,,,11.22847633737668,7.948450109150838,11.663502145217818,10.465043109930795,7.948450109150838,11.663502145217818,9.718994044003383,6.798914049797584,10.024379856176278,6.444723014218666,7.352049878815833,6.0480998545821905,7.296428291424393,7.352049878815833,6.0480998545821905
W kernel support bw8 [uv-pixels],,,8.079640548672657,68.38941954132363,6.650595969415112,29.013319820479587,,,,,,,,,,,,,,,,,,,,,,,,,9.881260105258093,8.354414603714597,8.177226199862613,,,,,,12.885604235500363,9.11981978387052,13.385138618467515,12.009009529040247,9.11981978387052,13.385138618467515,11.152433182575834,7.80032171243361,11.50305502622043,7.393794032112483,8.435220988382198,6.938582492246494,8.371375901175679,8.435220988382198,6.938582492246494
W kernel support bw9 [uv-pixels],,,9.399611705335914,79.75068879550548,7.736348431072328,33.78857502965717,,,,,,,,,,,,,,,,,,,,,,,,,11.496879513421172,9.71945093224484,9.513201111659848,,,,,,14.995072973591386,10.61043792241525,15.576814884497843,13.974282453255654,10.61043792241525,15.576814884497843,11.617008209505096,8.124815915595862,12.48160032096528,8.601322554723717,9.813512010774819,8.071514022714606,9.739194328830482,9.813512010774819,8.071514022714606
W kernel support bw10 [uv-pixels],,,10.662193808117665,90.65707898346776,8.774736583765376,38.36358879802824,,,,,,,,,,,,,,,,,,,,,,,,,13.042531920782379,11.025175641398816,10.791103993741508,,,,,,17.013737455995514,12.036397114907604,20.055837320281416,15.854814008973852,12.036397114907604,20.055837320281416,,,,9.756267733165345,11.131926316486709,9.155057443905552,11.04758251179671,11.131926316486709,9.155057443905552
W kernel support bw11 [uv-pixels],,,12.15747220194383,101.19689757015432,9.77481493669653,42.77691980804013,,,,,,,,,,,,,,,,,,,,,,,,,14.5316109648296,12.282935607006786,12.022043749311937,,,,,,18.958999631526467,13.410071130176922,24.91120763520158,17.666839119131392,13.410071130176922,24.91120763520158,,,,10.868685123832508,12.401919276631721,10.198655379008528,12.307910100752144,12.401919276631721,10.198655379008528
AW kernel support bw0 [uv-pixels],10.023177984842805,10.243932432429228,10.04214548391573,12.586153579606307,10.028615648436805,10.522566692852553,10.037969735624289,10.021759883632935,10.015501055625602,10.07240620742539,10.021977679148884,10.021759883632935,10.015501055625602,10.07240620742539,10.021977679148884,10.021759883632935,10.015501055625602,10.07240620742539,10.327761055672095,10.129791185892985,10.246470649457759,10.829150861505534,10.222776819822538,10.088274599589163,10.208195831104598,13.452627144677827,10.378797316962816,10.140219657963064,10.15552788386123,14.509992616897378,10.062865362293406,10.045042367914334,10.04316342726073,10.209694773946321,10.159804155372521,10.112004450887087,10.244499808681423,10.129759164201262,10.10639796425597,10.053612055153911,10.114713093241827,10.092545223246365,10.053612055153911,10.114713093241827,10.079922536592598,10.039298145440242,10.084979870044673,10.035329923578084,10.045912365907514,10.03113439687018,10.0452243000886,10.045912365907514,10.03113439687018
AW kernel support bw1 [uv-pixels],10.065501163027461,10.67734125434598,10.07735469501244,14.410729671078498,10.0525459611585,10.942576194729718,10.107183402750312,10.061499904290333,10.043829766377888,10.203836767319661,10.062114485130007,10.061499904290333,10.043829766377888,10.203836767319661,10.062114485130007,10.061499904290333,10.043829766377888,10.203836767319661,10.595292883689794,10.237459800415374,10.448982655389814,11.480395931823244,10.406176058233537,10.16175160700323,10.379796408956098,15.789668414379685,10.686722199445652,10.256439720054844,10.284274025734142,17.43316725831732,10.115299413232142,10.082663323428797,10.079220236444787,10.382509568290182,10.29204370909376,10.205053479550457,10.44542483461703,10.237401497774702,10.194829825531764,10.098360876970121,10.209991253262936,10.16955028616161,10.098360876970121,10.209991253262936,10.146492473855936,10.072135757638543,10.155733315652173,10.06486051839113,10.084257399786566,10.05716626094396,10.082996681839747,10.084257399786566,10.05716626094396
AW kernel support bw2 [uv-pixels],10.184499881936116,11.82233146834001,10.118932477953235,16.3167323194017,10.080835592603236,11.42107556627081,10.300895426752726,10.173284743198314,10.123669199803954,10.56780199748794,10.175007831257831,10.173284743198314,10.123669199803954,10.56780199748794,10.175007831257831,10.173284743198314,10.123669199803954,10.56780199748794,10.904220896423311,10.363696786405187,10.684252868825837,12.208659829508914,10.619629589089875,10.248191825766408,10.579743636643096,18.182561706762595,11.040989516054333,10.392588475631893,10.43491188098481,20.372510984691626,10.177112815235244,10.1270786066027,10.121795403606507,10.583848115951346,10.44671622093711,10.314306958468899,10.67888646296034,10.363607996778423,10.298709442753875,10.151154342648184,10.321837445156879,10.26010934950879,10.151154342648184,10.321837445156879,10.224860645216205,10.110921938913581,10.238991927379429,10.099751812908842,10.129524318989493,10.087934081155103,10.127590077536539,10.129524318989493,10.087934081155103
AW kernel support bw3 [uv-pixels],10.514730589847995,14.597745090172872,10.217681061804296,20.17021907908133,10.148161084766524,12.493019136625533,10.831817568641888,10.483875961247318,10.346713421587703,11.539163600065132,10.488620000556171,10.483875961247318,10.346713421587703,11.539163600065132,10.488620000556171,10.483875961247318,10.346713421587703,11.539163600065132,11.610594768126152,10.659704030312321,11.227471175531218,13.798525038918982,11.113951446646743,10.452089358748397,11.043656963381208,22.931965937732237,11.846404951503724,10.711373042262725,10.786878630388198,26.117547884396345,10.32346707885224,10.23252044738585,10.222897341702597,11.050898846485804,10.807899174800786,10.571135990830296,11.218061572217497,10.659545082610837,10.54310180323473,10.276325046613039,10.584659837106226,10.473589743710484,10.276325046613039,10.584659837106226,10.409943777821352,10.20307981133702,10.435479144596007,10.182704711579765,10.236973905342403,10.161129670897639,10.233451865004604,10.236973905342403,10.161129670897639
AW kernel support bw4 [uv-pixels],11.581756682539593,20.55084176555331,10.463606982538977,27.661052045153113,10.3166650765248,14.871906769248001,12.215386089924202,11.791015130343055,11.791015130343055,13.9374167638701,11.331996285470385,11.791015130343055,11.791015130343055,13.9374167638701,11.331996285470385,11.791015130343055,11.791015130343055,13.9374167638701,13.2350143589236,11.37562135686734,12.500047174440953,17.18966870730163,12.278857191326768,10.95179781043247,12.141036846448852,31.99892360252694,,,,,10.685269082436491,10.494839930971555,10.474591110575249,12.155266390573205,11.673709839991245,11.195742790358402,11.826298675452751,11.000389299071754,11.138524519581619,10.586770651103942,11.223296109865172,10.996045253082551,10.586770651103942,11.223296109865172,10.864813100622628,10.432830135643956,10.917555578796723,10.389807644047641,10.504204306604628,10.34415483687,10.496798782938372,10.504204306604628,10.34415483687
AW kernel support bw5 [uv-pixels],,,10.758209475573416,34.76241983535341,10.520046858780054,17.36151564471955,,,,,,,,,,,,,14.99608481375435,12.199003794841408,13.908000677227987,20.618815897898646,,,,,,,,,11.114014837581122,10.808589542278678,10.775936804859551,13.390362048064263,12.658253585936839,11.919354940799941,,,11.829975366505355,10.956403226662927,11.96232085848342,11.606475160132486,10.956403226662927,11.96232085848342,11.399383326524754,10.708483419729655,11.482760448566113,10.638834195536095,10.823678562374218,10.564747969856182,10.811746494658124,10.823678562374218,10.564747969856182
AW kernel support bw6 [uv-pixels],,,11.449049730088563,48.00900191542603,11.003049377717577,22.33899609485387,,,,,,,,,,,,,15.899028213879195,12.637224102034336,14.638648626557215,22.314920889317946,,,,,,,,,12.102268105602366,11.542451850985232,11.48195135826394,15.35715988862473,14.252951931374163,13.115770521581236,,,13.377496634356124,11.814716874783954,13.608385094950965,12.984381219892443,11.814716874783954,13.608385094950965,12.616259928582618,11.356546797143041,12.76493763940008,11.226444187023041,11.570365077561236,11.087343216195423,11.54829421620291,11.570365077561236,11.087343216195423
AW kernel support bw7 [uv-pixels],,,12.230842353008356,60.326068538559475,11.558857237250246,27.173204282846754,,,,,,,,,,,,,,,,,,,,,,,,,13.197054847418414,12.370224345736473,12.279990873294143,,,,,,15.035913037093158,12.774108937129823,15.363504883049982,14.474706466547431,12.774108937129823,15.363504883049982,13.944850132840198,12.092362558926812,14.15938527976807,11.896825405544108,12.411794286910975,11.686723743248024,12.378928298196831,12.411794286910975,11.686723743248024
AW kernel support bw8 [uv-pixels],,,12.856149944511202,69.11666011316792,12.009597276695024,30.688315805945322,,,,,,,,,,,,,,,,,,,,,,,,,14.05842456563911,13.030588757640988,12.917702130166942,,,,,,16.31069577038162,13.534072295147391,16.708139807758087,15.627421728121996,13.534072295147391,16.708139807758087,14.979211123814851,12.682468955903783,15.242056125610322,12.436566656006882,13.082543832253862,12.171438986484285,13.04146979748774,13.082543832253862,12.171438986484285
AW kernel support bw9 [uv-pixels],,,13.72416482745263,80.37519743899584,12.643222969122835,35.23730697052162,,,,,,,,,,,,,,,,,,,,,,,,,15.237396055301689,13.945168569232681,13.80220980100238,,,,,,18.023657050757784,14.58017122346057,18.510460878808868,17.183729807098597,14.58017122346057,18.510460878808868,15.328237985486421,12.884588998579654,15.993446988448756,13.19025207076798,14.01088926462634,12.851044261805283,13.958936427060761,14.01088926462634,12.851044261805283
AW kernel support bw10 [uv-pixels],,,14.6178786696929,91.20694035990195,13.303984445062706,39.64549085916578,,,,,,,,,,,,,,,,,,,,,,,,,16.43495174634314,14.884706847086166,14.71216929632554,,,,,,19.734924935797068,15.648477737714813,22.41063610470691,18.74500272763793,15.648477737714813,22.41063610470691,,,,13.970853949605345,14.963949462481132,13.557841893207431,14.901311330045974,14.963949462481132,13.557841893207431
AW kernel support bw11 [uv-pixels],,,15.741795651736716,101.68978354694391,13.983812321633383,43.93022727306901,,,,,,,,,,,,,,,,,,,,,,,,,17.639946633512128,15.838892231651656,15.637440196859915,,,,,,21.4346370864594,16.72812026847023,26.84340265026261,20.30067004956416,16.72812026847023,26.84340265026261,,,,14.769167759932111,15.931340236906921,14.283296942225196,15.858267592905495,15.931340236906921,14.283296942225196
"W kernel support bw, ff0 [pixels]",80.18542387874244,81.95145945943382,80.33716387132584,100.68922863685046,80.22892518749444,84.18053354282043,80.30375788499431,80.17407906906348,80.12400844500482,80.57924965940312,80.17582143319108,80.17407906906348,80.12400844500482,80.57924965940312,80.17582143319108,80.17407906906348,80.12400844500482,80.57924965940312,82.62208844537676,81.03832948714388,81.97176519566207,86.63320689204427,81.7822145585803,80.7061967967133,81.66556664883679,107.62101715742261,83.03037853570252,81.12175726370451,81.24422307088984,116.07994093517902,80.50292289834725,80.36033894331467,80.34530741808584,81.67755819157057,81.27843324298017,80.89603560709669,81.95599846945139,81.0380733136101,80.85118371404776,80.42889644123129,80.91770474593461,80.74036178597092,80.42889644123129,80.91770474593461,80.63938029274078,80.31438516352193,80.67983896035739,80.28263938862467,80.36729892726011,80.24907517496143,80.3617944007088,80.36729892726011,80.24907517496143
"W kernel support bw, ff1 [pixels]",80.52400930421969,85.41873003476783,80.61883756009952,115.28583736862798,80.420367689268,87.54060955783774,80.8574672220025,80.49199923432266,80.3506381310231,81.63069413855729,80.49691588104005,80.49199923432266,80.3506381310231,81.63069413855729,80.49691588104005,80.49199923432266,80.3506381310231,81.63069413855729,84.76234306951835,81.899678403323,83.59186124311852,91.84316745458595,83.2494084658683,81.29401285602584,83.03837127164878,126.31734731503748,85.49377759556522,82.05151776043876,82.27419220587313,139.46533806653855,80.92239530585714,80.66130658743037,80.6337618915583,83.06007654632145,82.33634967275007,81.64042783640366,83.56339867693625,81.89921198219761,81.55863860425411,80.78688701576097,81.67993002610349,81.35640228929287,80.78688701576097,81.67993002610349,81.17193979084749,80.57708606110835,81.24586652521738,80.51888414712904,80.67405919829253,80.45733008755168,80.66397345471798,80.67405919829253,80.45733008755168
"W kernel support bw, ff2 [pixels]",81.47599905548893,94.57865174672008,80.95145982362588,130.5338585552136,80.64668474082589,91.36860453016648,82.40716341402181,81.38627794558651,80.98935359843163,84.54241597990352,81.40006265006265,81.38627794558651,80.98935359843163,84.54241597990352,81.40006265006265,81.38627794558651,80.98935359843163,84.54241597990352,87.23376717138649,82.9095742912415,85.4740229506067,97.66927863607131,84.957036712719,81.98553460613127,84.63794909314477,145.46049365410076,88.32791612843467,83.14070780505514,83.47929504787848,162.980087877533,81.41690252188195,81.0166288528216,80.97436322885206,84.67078492761077,83.57372976749689,82.51445566775119,85.43109170368272,82.90886397422739,82.389675542031,81.20923474118547,82.57469956125503,82.08087479607032,81.20923474118547,82.57469956125503,81.79888516172964,80.88737551130865,81.91193541903543,80.79801450327074,81.03619455191594,80.70347264924082,81.02072062029231,81.03619455191594,80.70347264924082
"W kernel support bw, ff3 [pixels]",84.11784471878396,116.78196072138297,81.74144849443437,161.36175263265065,81.1852886781322,99.94415309300426,86.6545405491351,83.87100768997854,82.77370737270162,92.31330880052106,83.90896000444937,83.87100768997854,82.77370737270162,92.31330880052106,83.90896000444937,83.87100768997854,82.77370737270162,92.31330880052106,92.88475814500922,85.27763224249857,89.81976940424974,110.38820031135185,88.91161157317394,83.61671486998718,88.34925570704966,183.4557275018579,94.77123961202979,85.6909843381018,86.29502904310559,208.94038307517076,82.58773663081791,81.8601635790868,81.78317873362077,88.40719077188643,86.46319339840629,84.56908792664237,89.74449257773998,85.2763606608867,84.34481442587784,82.21060037290431,84.67727869684981,83.78871794968387,82.21060037290431,84.67727869684981,83.27955022257082,81.62463849069616,83.48383315676806,81.46163769263812,81.89579124273922,81.28903736718111,81.86761492003683,81.89579124273922,81.28903736718111
"W kernel support bw, ff4 [pixels]",92.65405346031675,164.4067341244265,83.70885586031181,221.2884163612249,82.5333206121984,118.97525415398401,97.72308871939362,94.32812104274444,94.32812104274444,111.4993341109608,90.65597028376308,94.32812104274444,94.32812104274444,111.4993341109608,90.65597028376308,94.32812104274444,94.32812104274444,111.4993341109608,105.8801148713888,91.00497085493872,100.00037739552762,137.51734965841305,98.23085753061414,87.61438248345976,97.12829477159082,255.99138882021552,,,,,85.48215265949193,83.95871944777244,83.79672888460199,97.24213112458564,93.38967871992996,89.56594232286722,94.61038940362201,88.00311439257403,89.10819615665295,84.69416520883154,89.78636887892138,87.96836202466041,84.69416520883154,89.78636887892138,86.91850480498103,83.46264108515165,87.34044463037378,83.11846115238113,84.03363445283702,82.75323869496,83.97439026350698,84.03363445283702,82.75323869496
"W kernel support bw, ff5 [pixels]",,,86.06567580458733,278.0993586828273,84.16037487024043,138.8921251577564,,,,,,,,,,,,,119.9686785100348,97.59203035873126,111.2640054178239,164.95052718318917,,,,,,,,,88.91211870064897,86.46871633822943,86.20749443887641,107.1228963845141,101.26602868749471,95.35483952639953,,,94.63980293204284,87.65122581330341,95.69856686786736,92.85180128105989,87.65122581330341,95.69856686786736,91.19506661219803,85.66786735783724,91.8620835885289,85.11067356428876,86.58942849899374,84.51798375884945,86.49397195726499,86.58942849899374,84.51798375884945
"W kernel support bw, ff6 [pixels]",,,91.5923978407085,384.07201532340827,88.02439502174062,178.71196875883095,,,,,,,,,,,,,127.19222571103356,101.09779281627469,117.10918901245772,178.51936711454357,,,,,,,,,96.81814484481893,92.33961480788186,91.85561086611152,122.85727910899784,114.0236154509933,104.92616417264989,,,107.01997307484899,94.51773499827164,108.86708075960772,103.87504975913954,94.51773499827164,108.86708075960772,100.93007942866095,90.85237437714433,102.11950111520063,89.81155349618433,92.56292062048989,88.69874572956338,92.38635372962328,92.56292062048989,88.69874572956338
"W kernel support bw, ff7 [pixels]",,,97.84673882406685,482.6085483084758,92.47085789800197,217.38563426277403,,,,,,,,,,,,,,,,,,,,,,,,,105.57643877934731,98.96179476589178,98.23992698635314,,,,,,120.28730429674526,102.19287149703858,122.90803906439986,115.79765173237945,102.19287149703858,122.90803906439986,111.55880106272159,96.7389004714145,113.27508223814456,95.17460324435287,99.2943542952878,93.49378994598419,99.03142638557465,99.2943542952878,93.49378994598419
"W kernel support bw, ff8 [pixels]",,,102.84919955608962,552.9332809053434,96.07677821356019,245.50652644756258,,,,,,,,,,,,,,,,,,,,,,,,,112.46739652511287,104.2447100611279,103.34161704133554,,,,,,130.48556616305297,108.27257836117913,133.6651184620647,125.01937382497597,108.27257836117913,133.6651184620647,119.83368899051881,101.45975164723026,121.93644900488258,99.49253324805505,104.6603506580309,97.37151189187428,104.33175837990191,104.6603506580309,97.37151189187428
"W kernel support bw, ff9 [pixels]",,,109.79331861962105,643.0015795119667,101.14578375298268,281.898455764173,,,,,,,,,,,,,,,,,,,,,,,,,121.89916844241351,111.56134855386145,110.41767840801904,,,,,,144.18925640606227,116.64136978768455,148.08368703047094,137.46983845678878,116.64136978768455,148.08368703047094,122.62590388389137,103.07671198863723,127.94757590759005,105.52201656614383,112.08711411701071,102.80835409444227,111.67149141648609,112.08711411701071,102.80835409444227
"W kernel support bw, ff10 [pixels]",,,116.9430293575432,729.6555228792156,106.43187556050165,317.16392687332626,,,,,,,,,,,,,,,,,,,,,,,,,131.4796139707451,119.07765477668933,117.69735437060432,,,,,,157.87939948637654,125.18782190171851,179.28508883765528,149.96002182110345,125.18782190171851,179.28508883765528,,,,111.76683159684276,119.71159569984906,108.46273514565945,119.2104906403678,119.71159569984906,108.46273514565945
"W kernel support bw, ff11 [pixels]",,,125.93436521389373,813.5182683755513,111.87049857306707,351.44181818455206,,,,,,,,,,,,,,,,,,,,,,,,,141.11957306809703,126.71113785321324,125.09952157487932,,,,,,171.4770966916752,133.82496214776185,214.7472212021009,162.4053603965133,133.82496214776185,214.7472212021009,,,,118.15334207945689,127.45072189525537,114.26637553780157,126.86614074324396,127.45072189525537,114.26637553780157
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Cleaning memory [PetaBytes],0.0010411094103038336,6.768863721594449,0.021153718673747164,240.68231024352323,0.006735168292637614,220.69799461314935,0.005413314737195064,0.0007425671793134519,0.07425671793134518,0.22277015379403559,0.002405917660975584,0.0007425671793134519,0.07425671793134518,0.22277015379403559,0.002405917660975584,0.0007425671793134519,0.07425671793134518,0.22277015379403559,0.0022888858086522247,0.0003139761054392625,0.10901948105529947,1.00472353740564,0.0004293669786556478,0.00013252067242458266,0.0036811297895717405,4.476621849970864,0.00014245365871045628,4.396717861433834e-05,0.009159828877987154,1.4092900741059917,0.032052073209852656,0.003053276292662386,1.5266381463311927,0.0007067769195977739,0.0007067769195977739,0.17669422989944347,0.00026115702066354513,0.045702478616120396,0.033634891639968835,0.010381139395052108,2.523193602964054,0.07567850618992987,0.010381139395052108,2.523193602964054,0.01349132875780972,0.004163990357348678,1.0120809896333594,0.03109107630585354,0.006663896670493302,3.3319483352466506,0.06995492168817048,0.006663896670493302,3.3319483352466506
Working (cache) memory [TeraBytes],0.007296703287474795,1.553478741619229,0.22179409013038015,278.1899738934885,0.11875526839092518,21.01204911777635,0.019429727357898333,0.012704471318068261,0.012704471318068261,0.03089208277755048,0.007102987637934099,0.012704471318068261,0.012704471318068261,0.03089208277755048,0.007102987637934099,0.012704471318068261,0.012704471318068261,0.03089208277755048,0.013465626598651277,0.002436465389796943,0.016133881141147707,0.10405477424174316,0.0019888433799620966,0.00036267148758452696,0.00013368820497643396,0.5751608799381751,0.0009020595241931366,0.00016594424612788574,0.0003235004943121079,0.14382215645475938,0.09723388796177848,0.09061624920832073,0.08496390582148743,0.057980948850628884,0.03836322529260396,0.02238428619206525,0.010354819645937798,0.00396195252082062,0.5459037799448845,0.14309728205486308,2.2932833708676355,0.37861742891601174,0.14309728205486308,2.2932833708676355,0.07954053228873535,0.02015652591637406,0.18269151632481928,0.085900598282448,0.23633897327359749,0.1314308735455654,0.14969191987664998,0.23633897327359749,0.1314308735455654
Visibility I/O Rate [TeraBytes/s],1.2511061664074776,11.01659111424,5.258668558628569,10.517337117257139,2.490939472257251,10.517337117257139,8.018503658597757,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,0.49754813030459377,0.11056824250707471,0.11056824250707471,0.36720158963896665,0.1533291422953496,0.05111073376601331,0.0020563492411020895,0.17391782308940196,0.03955651808404299,0.013185953484089893,0.013185953484089893,0.046095715428078235,4.310681175266154,0.957933755650852,1.915867511301704,0.6657692405954102,0.39946154435724607,0.7989230887144921,0.27039443454919054,0.16223666072951434,8.71824638465931,2.906091589991751,5.812183179983502,8.764447597714284,2.906091589991751,5.812183179983502,5.450843057025488,1.816957026218208,3.633914052436416,7.281559070568832,2.427194416306637,4.854388832613274,8.764447597714284,2.427194416306637,4.854388832613274
Inter-Facet I/O Rate [TeraBytes/s],0.020974731709417892,1.9091666907061264,0.7458041840103166,67.88475417125014,0.4749157129423958,62.24815232678571,0.0016656353037523273,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0035213627825418834,0.0005903824204840833,0.005124847400035446,0.04723059363872666,0.008257057281839382,0.0002491841703710101,0.00017304456275764592,0.210439488673844,0.003735672868281195,0.00011273635542138033,0.0005871685178196893,0.09033910731448663,0.04931088186131177,0.005741203285348075,0.07176504106685094,0.02652070992862191,0.03241420102387122,0.40517751279839026,0.0034242616345744542,0.005859292130271844,0.32341241961508493,0.009760045585091725,0.11861166509660082,0.05821423553071528,0.009760045585091725,0.11861166509660082,0.010377945198315168,0.003914862729131236,0.047576456777636555,0.02391621254296426,0.006265201997899685,0.15663004994749213,0.0538114782216696,0.006265201997899685,0.15663004994749213
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOPS],3.5314068852807905,59.054459299640776,14.342994048644055,1469.6664301893613,6.502444796024653,1316.400400567438,12.114783966941381,4.769735310897622,5.2818758813504365,12.13614617846714,7.877487843812384,4.769735310897622,5.2818758813504365,12.13614617846714,7.877487843812384,4.769735310897622,5.2818758813504365,12.13614617846714,0.8342428395019741,0.32591383935060664,0.3889773854737197,1.807201106429972,0.2604089093773835,0.16161549594113706,0.012577635883924035,3.256645777970821,0.07734763481830141,0.04699577661406596,0.05413694179023822,1.3070387073566685,6.254437036828699,2.521643546971518,3.954608009146995,1.9580781187713547,1.152771622476211,9.593149017369722,0.48313773814594724,0.6092051133436028,12.270133068820098,7.413118991934275,10.052287355887357,13.907863413082032,7.413118991934275,10.052287355887357,7.636612932892902,4.691183971336221,5.76391575945314,9.921725332233917,6.136314011367301,9.47175951685765,12.76438485197097,6.136314011367301,9.47175951685765
