,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Delta W max8 [lambda],,,1967.6314006983966,1161.0224686366187,198305.41229940022,159711.3009156777,,,,,,,,,,,,,,,,,,,,,,,,,94236.90352854965,35558.934913110206,80276.44379099162,,,,,,9544.116264136888,2520.329656242392,6359.405608139537,2666.3845012014353,2520.329656242392,6359.405608139537,1831.5259536393407,773.4437287520242,3922.133572498825,38375.396772850916,21149.195233106195,47059.857742213244,44932.112600405366,21149.195233106195,47059.857742213244
Delta W max9 [lambda],,,2404.882823075818,1419.0274616669785,242373.28169926695,195202.70111916165,,,,,,,,,,,,,,,,,,,,,,,,,115178.43764600513,43460.92044935692,98115.65352232309,,,,,,11665.030989500641,3080.4029131851457,7772.606854392769,3258.91439035731,3080.4029131851457,7772.606854392769,1933.277395508193,816.4128247938033,4140.029882082093,46903.26272237334,25849.016396018684,57517.603907149525,54917.026511606564,25849.016396018684,57517.603907149525
Delta W max10 [lambda],,,2842.1342454532396,1677.0324546973382,286441.15109913365,230694.10132264558,,,,,,,,,,,,,,,,,,,,,,,,,136119.9717634606,51362.90598560363,115954.86325365456,,,,,,13785.945714864394,3640.4761701278994,9185.808100646,3851.4442795131845,3640.4761701278994,9185.808100646,,,,55431.12867189577,30548.837558931173,67975.3500720858,64901.940422807755,30548.837558931173,67975.3500720858
Delta W max11 [lambda],,,3279.385667830661,1935.037447727698,330509.0204990004,266185.50152612955,,,,,,,,,,,,,,,,,,,,,,,,,157061.50588091608,59264.891521850346,133794.07298498604,,,,,,15906.860440228149,4200.549427070653,10599.009346899229,4443.974168669059,4200.549427070653,10599.009346899229,,,,63958.9946214182,35248.65872184366,78433.09623702208,74886.85433400895,35248.65872184366,78433.09623702208
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],0.9370520659377193,2.1719274930906796,1.2937212046601065,7.445663764004015,0.9673001262628604,3.2583920822489723,0.8518975847664513,0.6792183439556617,1.4913457638688925,1.4646014727487657,0.6633524899218136,0.6792183439556617,1.4913457638688925,1.4646014727487657,0.6633524899218136,0.6792183439556617,1.4913457638688925,1.4646014727487657,2.11778090758222,2.6642462765727224,4.027278107383269,4.742356378851854,2.7191092438498723,2.2361700276682632,3.468301707722943,8.776787901478766,3.7652675104788957,2.525623514348746,3.6181359899705443,10.24528084376425,1.0290431700669274,0.9496680143609263,1.7507075687371092,2.0542359403188657,1.7938768401016447,2.764365485313627,4.912001919133781,3.5446352543572104,1.648549884379092,0.8954766515509056,1.1648409207458037,1.163145296495448,0.8954766515509056,1.1648409207458037,1.1058362087361895,1.4604833220014946,1.248240887124336,0.9139301886688432,0.9569073163570263,1.7449897096705422,0.8782816845805009,0.9569073163570263,1.7449897096705422
W kernel support pred1 [uv-pixels],1.577150343229641,3.657676431196374,1.7544280348343366,10.108539431321466,1.3116453641813304,4.42067456781138,1.4337589440227543,1.1430205480603908,2.510782506999372,2.4657257081827137,1.1163098575405623,1.1430205480603908,2.510782506999372,2.4657257081827137,1.1163098575405623,1.1430205480603908,2.510782506999372,2.4657257081827137,2.872520547978145,3.614163483780704,5.464609737411341,6.435703116633788,3.6886293820893585,3.033181579127753,4.7056493057385484,11.917953335821531,5.108843986432147,3.426016094771289,4.909076821992997,13.914716136811313,1.395393185174802,1.2877297560148726,2.374426047300065,2.7862891867381325,2.4330002422952464,3.7500570522306274,6.666114725349527,4.809284911492873,2.235817493169162,1.2142277046630428,1.57959691924818,1.577296807073351,1.2142277046630428,1.57959691924818,1.499558159518416,1.9806620793734226,1.6927310596571365,1.239256799782013,1.297548878620915,2.366667849642984,1.190905855299462,1.297548878620915,2.366667849642984
W kernel support pred2 [uv-pixels],2.655345975977045,6.163194546541264,2.1778617465689725,12.560146526789744,1.6280876631331662,5.4896331252385435,2.413765669532778,1.9240254371663124,4.2289058015429655,4.152943362740564,1.8790379879016348,1.9240254371663124,4.2289058015429655,4.152943362740564,1.8790379879016348,1.9240254371663124,4.2289058015429655,4.152943362740564,3.5664101062910185,4.487650888563141,6.786819091607426,7.993715551219178,4.580157816874328,3.7659642508609945,5.843714919601873,14.810710740514073,6.344718487173957,4.253927129391703,6.09648604755769,17.294946522385313,1.7320663939018401,1.598395258263904,2.947783655958333,3.4593067396879214,3.02052815249917,4.656468808473554,8.280106316944645,5.972487265006711,2.7756470449584296,1.5071402054349428,1.9607771325540442,1.9579211961559388,1.5071402054349428,1.9607771325540442,1.8613980376765915,2.458787836464231,2.101252528507592,1.5382143629170504,1.6105861562230535,2.938148669432499,1.4781858480273395,1.6105861562230535,2.938148669432499
W kernel support pred3 [uv-pixels],4.472643991292421,10.393076250510157,2.9540529193779315,17.063561792041742,2.2080548377502405,7.450730280798968,4.06534533199737,3.2398551568319225,7.127076363826709,6.9988814301413536,3.164039790507147,3.2398551568319225,7.127076363826709,6.9988814301413536,3.164039790507147,3.2398551568319225,7.127076363826709,6.9988814301413536,4.838848380004955,6.089784132896985,9.213172374811553,10.853446121355978,6.215416168518471,5.109790003916596,7.93175098944151,20.126299801265876,8.612440343806021,5.772382821801663,8.275168041686996,23.508491331530582,2.3491330933260897,2.167769301461598,3.999025701881132,4.693437289049695,4.097772034489201,6.319055264520887,11.242743299533501,8.106699429746119,3.765370002590755,2.043960975316453,2.6594681038767414,2.655592746224254,2.043960975316453,2.6594681038767414,2.52461832996769,3.3353058305494256,2.8500911215888993,2.0861196414499075,2.184309393216718,3.9859469582077973,2.0046787608304886,2.184309393216718,3.9859469582077973
W kernel support pred4 [uv-pixels],7.5384462950727915,17.545049784291255,4.338209859382306,25.121345037837884,3.2420059801796994,10.952496707384302,7.015387062886702,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,7.109320647001859,8.949559817173192,13.547559045116776,15.963902891067026,9.134418856828027,7.507832547054169,11.660629137027138,29.64245491223394,,,,,3.449284332233343,3.182819242299994,5.874325453933227,6.895460064389968,6.01951601646372,9.28692250122808,13.970811887501656,10.070934391842215,5.530794467218383,3.000929590856945,3.905289578263654,3.899594746618495,3.000929590856945,3.905289578263654,3.7071338684036026,4.898578029683096,4.185421808273401,3.0628646314095236,3.2071194906007823,5.855095682325975,2.9432214748389094,3.2071194906007823,5.855095682325975
W kernel support pred5 [uv-pixels],,,5.588777093724158,32.42799547117404,4.175884916815477,14.120833708657138,,,,,,,,,,,,,9.16201658170215,11.536032624311131,17.47105593966003,20.591759658402395,,,,,,,,,4.443015330442367,4.099610526199459,7.569278092988757,8.886178187037872,7.756505325120952,11.971337628038665,,,7.12630834817356,3.865215445407803,5.030742492393817,5.023402238480928,3.865215445407803,5.030742492393817,4.775339196707069,6.311176372718369,5.391826562641496,3.9450277764069996,4.130926294151738,7.544481201402941,3.790851318251109,4.130926294151738,7.544481201402941
W kernel support pred6 [uv-pixels],,,7.856114963258606,45.73228470712672,5.86844413530558,19.87494007074624,,,,,,,,,,,,,10.13298395610251,12.759790291924409,19.328422445548274,22.783129973579236,,,,,,,,,6.244177899697736,5.761166016564681,10.643695432882517,11.630279297786867,10.15037246143245,15.67353632005484,,,10.020077044586648,5.431512000726614,7.0709619308154075,7.060635104565695,5.431512000726614,7.0709619308154075,6.71165503241886,8.872721261068953,7.57899103899683,5.543757409863692,5.805210572382542,10.608784103953989,5.326931500488362,5.805210572382542,10.608784103953989
W kernel support pred7 [uv-pixels],,,9.92626530664295,57.937302773493045,7.413184896212349,25.13853904811707,,,,,,,,,,,,,,,,,,,,,,,,,7.888167269124385,7.277575975930744,13.452146304750112,,,,,,12.663222408442964,6.860882280328364,8.933460809816882,8.92040374581778,6.860882280328364,8.933460809816882,8.479173657111875,11.211936431182329,9.575833984114054,7.002761192984933,7.333251803411857,13.40797883549154,6.728694710113036,7.333251803411857,13.40797883549154
W kernel support pred8 [uv-pixels],,,11.390405931141371,66.59995214423012,8.505395066324745,28.86653326223201,,,,,,,,,,,,,,,,,,,,,,,,,9.050620178937818,8.349736404161472,15.439206830393603,,,,,,14.533173905241625,7.871448161962992,10.250586186967588,10.235596324074239,7.871448161962992,10.250586186967588,9.729063155027891,12.86661204878091,10.988070559610094,8.034296931834486,8.41364362854512,15.388481541631327,7.719725286903919,8.41364362854512,15.388481541631327
W kernel support pred9 [uv-pixels],,,13.253971407894053,77.65996111162895,9.895197418888763,33.61742771588845,,,,,,,,,,,,,,,,,,,,,,,,,10.529881643977374,9.71400539115072,17.9691864437987,,,,,,16.91387813938393,9.15728040451324,11.926860238921222,11.909408274558611,9.15728040451324,11.926860238921222,10.13411937710465,13.402935833465813,11.445769958029686,9.346832278582166,9.788395231269133,17.91010165115179,8.980681826148775,9.788395231269133,17.91010165115179
W kernel support pred10 [uv-pixels],,,15.03708227666061,88.27634966885586,11.224632420236343,38.169060751275325,,,,,,,,,,,,,,,,,,,,,,,,,11.94496712486513,11.018995478580715,20.390774956282804,,,,,,19.192418731774335,10.387181340622444,13.530596741795385,13.510786956219842,10.387181340622444,13.530596741795385,,,,10.602295986771496,11.103420999541184,20.32367895748071,10.186769985455541,11.103420999541184,20.32367895748071
W kernel support pred11 [uv-pixels],,,16.75514868222085,98.53521277402321,12.505249645231789,42.55980089723599,,,,,,,,,,,,,,,,,,,,,,,,,13.30815762139151,12.276047260457988,22.72476286359041,,,,,,21.38838575127567,11.571848972915936,15.075683408924894,15.053600036793474,11.571848972915936,15.075683408924894,,,,11.811604928867814,12.370147335406275,22.649936801661635,11.348483777030117,12.370147335406275,22.649936801661635
AW kernel support pred0 [uv-pixels],10.043807374411267,10.23314560803486,10.083338462800263,12.46747403793577,10.046674551027726,10.517467326389124,10.036220877149471,10.02304033508625,10.110594057097224,10.106683802018239,10.02197767538351,10.02304033508625,10.110594057097224,10.106683802018239,10.02197767538351,10.02304033508625,10.110594057097224,10.106683802018239,10.221790252813829,10.34882641762976,10.780490200088703,11.067517518578269,10.363086175459019,10.246973035616024,10.584380791326145,13.305337495439343,10.685375025026868,10.314008635648475,10.634420907690279,14.316625984064915,10.052807062997946,10.044992251739183,10.152092246982066,10.208814098537486,10.159625687861393,10.375052604030172,11.141263970195391,10.60963897059801,10.134974924551432,10.04001386619923,10.06761413496981,10.067418089101071,10.04001386619923,10.06761413496981,10.060957892792914,10.10608784514782,10.077604145444935,10.04167657265261,10.04567925090671,10.151107776339295,10.03849484322573,10.04567925090671,10.151107776339295
AW kernel support pred1 [uv-pixels],10.123606235188594,10.647938620941119,10.152734495169893,14.219091723263512,10.085653848976692,10.933543050379155,10.102260376250715,10.065112814732295,10.310384512589918,10.299505001115012,10.062114474504959,10.065112814732295,10.310384512589918,10.299505001115012,10.062114474504959,10.065112814732295,10.310384512589918,10.299505001115012,10.404392067706631,10.633070002943358,11.395699170398052,11.89194158266218,10.658610918802362,10.449889496638706,11.051838552412793,15.55755802543637,11.229438404377305,10.57060009089512,11.139974651866533,17.135323900295468,10.096886754897882,10.082571493648143,10.278029920860174,10.380915539206253,10.291719495740677,10.68002471415608,12.018198098364072,11.096360725927804,10.246896108713177,10.073447717577695,10.123987674197275,10.123629053733833,10.073447717577695,10.123987674197275,10.111808674701981,10.19426418495557,10.142255096393896,10.076495294287888,10.083830278838017,10.276240397661674,10.070663173604137,10.083830278838017,10.276240397661674
AW kernel support pred2 [uv-pixels],10.346538660447631,11.746700260861175,10.234406762835278,16.054821106895847,10.131666666390402,11.407719835695314,10.28718934925449,10.18341170153024,10.857423464078563,10.828062549419029,10.175007801470102,10.18341170153024,10.857423464078563,10.828062549419029,10.175007801470102,10.18341170153024,10.857423464078563,10.828062549419029,10.61693369322116,10.960794245747957,12.085566324430438,12.802323551363765,10.99899293696814,10.685620559366827,11.582271109828914,17.87056665691323,11.842949492482308,10.867193566978308,11.71183769218416,19.97786713370994,10.148894225130348,10.126937710958853,10.425422220818449,10.581436722829762,10.446223734921633,11.030988249666805,12.983072079438928,11.647772496519124,10.378064198981738,10.112935854579444,10.190419371328487,10.189870235206959,10.112935854579444,10.190419371328487,10.171764972445356,10.297846261463823,10.218378647738572,10.117613524259774,10.128869027024555,10.422702029881117,10.10866130609332,10.128869027024555,10.422702029881117
AW kernel support pred3 [uv-pixels],10.954658564868382,14.422760968306942,10.427196586354611,19.777895262914775,10.240874287213579,12.470500459773644,10.794768764007536,10.511739220378825,12.279870418527116,12.20591419243874,10.488619918555182,10.511739220378825,12.279870418527116,12.20591419243874,10.488619918555182,10.511739220378825,12.279870418527116,12.20591419243874,11.109205806207598,11.708350472431368,13.597152099171016,14.757956928693657,11.774183544852733,11.229868827556535,12.763724917065018,22.473716730670848,13.197504638211631,11.546445489475579,12.979923193846632,25.54699913267013,10.272216230695292,10.232263862135266,10.769967807022725,11.046644449163836,10.807022515320387,11.829220576017219,15.046570270304306,12.873172710883903,10.685411141196688,10.20675151400369,10.347597334431686,10.346601994558352,10.20675151400369,10.347597334431686,10.31376253905474,10.541549458371714,10.398221934607852,10.215277537024782,10.235780748203569,10.765118352979032,10.198957639588707,10.235780748203569,10.765118352979032
AW kernel support pred4 [uv-pixels],12.523105547095605,20.194770905688895,10.90046167756402,27.03852763206795,10.51240233131899,14.830953581117567,12.215386021003106,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,12.26957375224938,13.419933715229783,16.838537824910016,18.837361692005018,13.543914052148125,12.504701098171275,15.361323897089283,31.283783869983218,,,,,10.578164415653145,10.494300278206028,11.597745450678241,12.146907816378492,11.671956694250678,13.647231570681889,17.180907566131587,14.192382447101343,11.42758449711108,10.440573662844434,10.735515203756862,10.733444889123648,10.440573662844434,10.735515203756862,10.665028903770727,11.135352114454843,10.84056067337712,10.458543863767048,10.501695835768212,11.588017321750613,10.424133184584361,10.501695835768212,11.588017321750613
AW kernel support pred5 [uv-pixels],,,11.455759660683173,33.93486246146408,10.836882154867562,17.303119505671447,,,,,,,,,,,,,13.562542086326781,15.266959379954177,20.13051901086333,22.891495491326214,,,,,,,,,10.942594995088957,10.80771976258292,12.541689314003897,13.377748793118657,12.655566951291817,15.598491100247308,,,12.279424688202953,10.721002305727717,11.194122119432892,11.190825262221512,10.721002305727717,11.194122119432892,11.081690504774391,11.825013623990401,11.360976792582864,10.750034611880222,10.819637334389459,12.526739264402464,10.69441694142725,10.819637334389459,12.526739264402464
AW kernel support pred6 [uv-pixels],,,12.716860552665338,46.812838672032015,11.594767637568355,22.248893069448528,,,,,,,,,,,,,14.236480037376896,16.21148507367195,21.76207513619908,24.881137662755787,,,,,,,,,11.789391741861564,11.54084199139819,14.604391547338222,15.338298358831393,14.248861747725897,18.591926763412076,,,14.15633935660813,11.379864788917187,12.247387583768253,12.241428351292402,11.379864788917187,12.247387583768253,12.043517479299535,13.368813805892618,12.547553752393103,11.433864010885323,11.562891930209416,14.578967733152675,11.330322114172006,11.562891930209416,14.578967733152675
AW kernel support pred7 [uv-pixels],,,14.090093787404804,58.79397122722197,12.448104687277935,27.0545032383466,,,,,,,,,,,,,,,,,,,,,,,,,12.736686494755427,12.367825681397855,16.761868637010675,,,,,,16.13558805143748,12.127312384222801,13.40920288609782,13.400507564581272,12.127312384222801,13.40920288609782,13.110926203264968,15.02356544023001,13.84545400090996,12.208139265505443,12.400668611500077,16.726443030512765,12.05302171664447,12.400668611500077,16.726443030512765
AW kernel support pred8 [uv-pixels],,,15.157220961514698,67.34651903115514,13.127899498177968,30.549578435381843,,,,,,,,,,,,,,,,,,,,,,,,,13.48753964307043,13.02758987760128,18.394811973805886,,,,,,17.641234190384644,12.726338678758733,14.32042307952006,14.309697135488301,12.726338678758733,14.32042307952006,13.951869762670569,16.295695922967944,14.857243843424328,12.827701555184586,13.068641823393811,18.352257740047357,12.633058161239653,13.068641823393811,18.352257740047357
AW kernel support pred9 [uv-pixels],,,16.603245408090345,78.30114660629,14.068224193507254,35.073229766204655,,,,,,,,,,,,,,,,,,,,,,,,,14.521653054531074,13.941373703452081,20.564329832309124,,,,,,19.648900063716788,13.55934306693662,15.564382260750346,15.551013003985469,13.55934306693662,15.564382260750346,14.237288209115103,16.722400813160828,15.198870021555381,13.688070486520203,13.99330844380743,20.512721446814172,13.44070854019679,13.99330844380743,20.512721446814172
AW kernel support pred10 [uv-pixels],,,18.058622411331953,88.84094726452498,15.033042704968969,39.45728321406006,,,,,,,,,,,,,,,,,,,,,,,,,15.578261764847475,14.880129749332909,22.710871918923985,,,,,,21.64137095416467,14.418513661365205,16.82489370513478,16.808966778965335,14.418513661365205,16.82489370513478,,,,14.574247156924125,14.942756034047138,22.650649579355207,14.27481287921414,14.942756034047138,22.650649579355207
AW kernel support pred11 [uv-pixels],,,19.51243212322152,99.04134569169598,16.011910213636902,43.71883635702544,,,,,,,,,,,,,,,,,,,,,,,,,16.646532950611697,15.8335509706761,24.827703220524,,,,,,23.61065532858781,15.294040952344007,18.09077749147707,18.072378760632166,15.294040952344007,18.09077749147707,,,,15.476240208644166,15.90661953715053,24.759233370992447,15.12574242929965,15.90661953715053,24.759233370992447
"W kernel support pred, ff [pixels]",(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
W kernel support bw0 [uv-pixels],0.9370520659377193,2.1719274930906796,1.2937212046601065,7.445663764004015,0.9673001262628604,3.2583920822489723,0.8518975847664513,0.6792183439556617,1.4913457638688925,1.4646014727487657,0.6633524899218136,0.6792183439556617,1.4913457638688925,1.4646014727487657,0.6633524899218136,0.6792183439556617,1.4913457638688925,1.4646014727487657,2.11778090758222,2.6642462765727224,4.027278107383269,4.742356378851854,2.7191092438498723,2.2361700276682632,3.468301707722943,8.776787901478766,3.7652675104788957,2.525623514348746,3.6181359899705443,10.24528084376425,1.0290431700669274,0.9496680143609263,1.7507075687371092,2.0542359403188657,1.7938768401016447,2.764365485313627,4.912001919133781,3.5446352543572104,1.648549884379092,0.8954766515509056,1.1648409207458037,1.163145296495448,0.8954766515509056,1.1648409207458037,1.1058362087361895,1.4604833220014946,1.248240887124336,0.9139301886688432,0.9569073163570263,1.7449897096705422,0.8782816845805009,0.9569073163570263,1.7449897096705422
W kernel support bw1 [uv-pixels],1.577150343229641,3.657676431196374,1.7544280348343366,10.108539431321466,1.3116453641813304,4.42067456781138,1.4337589440227543,1.1430205480603908,2.510782506999372,2.4657257081827137,1.1163098575405623,1.1430205480603908,2.510782506999372,2.4657257081827137,1.1163098575405623,1.1430205480603908,2.510782506999372,2.4657257081827137,2.872520547978145,3.614163483780704,5.464609737411341,6.435703116633788,3.6886293820893585,3.033181579127753,4.7056493057385484,11.917953335821531,5.108843986432147,3.426016094771289,4.909076821992997,13.914716136811313,1.395393185174802,1.2877297560148726,2.374426047300065,2.7862891867381325,2.4330002422952464,3.7500570522306274,6.666114725349527,4.809284911492873,2.235817493169162,1.2142277046630428,1.57959691924818,1.577296807073351,1.2142277046630428,1.57959691924818,1.499558159518416,1.9806620793734226,1.6927310596571365,1.239256799782013,1.297548878620915,2.366667849642984,1.190905855299462,1.297548878620915,2.366667849642984
W kernel support bw2 [uv-pixels],2.655345975977045,6.163194546541264,2.1778617465689725,12.560146526789744,1.6280876631331662,5.4896331252385435,2.413765669532778,1.9240254371663124,4.2289058015429655,4.152943362740564,1.8790379879016348,1.9240254371663124,4.2289058015429655,4.152943362740564,1.8790379879016348,1.9240254371663124,4.2289058015429655,4.152943362740564,3.5664101062910185,4.487650888563141,6.786819091607426,7.993715551219178,4.580157816874328,3.7659642508609945,5.843714919601873,14.810710740514073,6.344718487173957,4.253927129391703,6.09648604755769,17.294946522385313,1.7320663939018401,1.598395258263904,2.947783655958333,3.4593067396879214,3.02052815249917,4.656468808473554,8.280106316944645,5.972487265006711,2.7756470449584296,1.5071402054349428,1.9607771325540442,1.9579211961559388,1.5071402054349428,1.9607771325540442,1.8613980376765915,2.458787836464231,2.101252528507592,1.5382143629170504,1.6105861562230535,2.938148669432499,1.4781858480273395,1.6105861562230535,2.938148669432499
W kernel support bw3 [uv-pixels],4.472643991292421,10.393076250510157,2.9540529193779315,17.063561792041742,2.2080548377502405,7.450730280798968,4.06534533199737,3.2398551568319225,7.127076363826709,6.9988814301413536,3.164039790507147,3.2398551568319225,7.127076363826709,6.9988814301413536,3.164039790507147,3.2398551568319225,7.127076363826709,6.9988814301413536,4.838848380004955,6.089784132896985,9.213172374811553,10.853446121355978,6.215416168518471,5.109790003916596,7.93175098944151,20.126299801265876,8.612440343806021,5.772382821801663,8.275168041686996,23.508491331530582,2.3491330933260897,2.167769301461598,3.999025701881132,4.693437289049695,4.097772034489201,6.319055264520887,11.242743299533501,8.106699429746119,3.765370002590755,2.043960975316453,2.6594681038767414,2.655592746224254,2.043960975316453,2.6594681038767414,2.52461832996769,3.3353058305494256,2.8500911215888993,2.0861196414499075,2.184309393216718,3.9859469582077973,2.0046787608304886,2.184309393216718,3.9859469582077973
W kernel support bw4 [uv-pixels],7.5384462950727915,17.545049784291255,4.338209859382306,25.121345037837884,3.2420059801796994,10.952496707384302,7.015387062886702,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,7.109320647001859,8.949559817173192,13.547559045116776,15.963902891067026,9.134418856828027,7.507832547054169,11.660629137027138,29.64245491223394,,,,,3.449284332233343,3.182819242299994,5.874325453933227,6.895460064389968,6.01951601646372,9.28692250122808,13.970811887501656,10.070934391842215,5.530794467218383,3.000929590856945,3.905289578263654,3.899594746618495,3.000929590856945,3.905289578263654,3.7071338684036026,4.898578029683096,4.185421808273401,3.0628646314095236,3.2071194906007823,5.855095682325975,2.9432214748389094,3.2071194906007823,5.855095682325975
W kernel support bw5 [uv-pixels],,,5.588777093724158,32.42799547117404,4.175884916815477,14.120833708657138,,,,,,,,,,,,,9.16201658170215,11.536032624311131,17.47105593966003,20.591759658402395,,,,,,,,,4.443015330442367,4.099610526199459,7.569278092988757,8.886178187037872,7.756505325120952,11.971337628038665,,,7.12630834817356,3.865215445407803,5.030742492393817,5.023402238480928,3.865215445407803,5.030742492393817,4.775339196707069,6.311176372718369,5.391826562641496,3.9450277764069996,4.130926294151738,7.544481201402941,3.790851318251109,4.130926294151738,7.544481201402941
W kernel support bw6 [uv-pixels],,,7.856114963258606,45.73228470712672,5.86844413530558,19.87494007074624,,,,,,,,,,,,,10.13298395610251,12.759790291924409,19.328422445548274,22.783129973579236,,,,,,,,,6.244177899697736,5.761166016564681,10.643695432882517,11.630279297786867,10.15037246143245,15.67353632005484,,,10.020077044586648,5.431512000726614,7.0709619308154075,7.060635104565695,5.431512000726614,7.0709619308154075,6.71165503241886,8.872721261068953,7.57899103899683,5.543757409863692,5.805210572382542,10.608784103953989,5.326931500488362,5.805210572382542,10.608784103953989
W kernel support bw7 [uv-pixels],,,9.92626530664295,57.937302773493045,7.413184896212349,25.13853904811707,,,,,,,,,,,,,,,,,,,,,,,,,7.888167269124385,7.277575975930744,13.452146304750112,,,,,,12.663222408442964,6.860882280328364,8.933460809816882,8.92040374581778,6.860882280328364,8.933460809816882,8.479173657111875,11.211936431182329,9.575833984114054,7.002761192984933,7.333251803411857,13.40797883549154,6.728694710113036,7.333251803411857,13.40797883549154
W kernel support bw8 [uv-pixels],,,11.390405931141371,66.59995214423012,8.505395066324745,28.86653326223201,,,,,,,,,,,,,,,,,,,,,,,,,9.050620178937818,8.349736404161472,15.439206830393603,,,,,,14.533173905241625,7.871448161962992,10.250586186967588,10.235596324074239,7.871448161962992,10.250586186967588,9.729063155027891,12.86661204878091,10.988070559610094,8.034296931834486,8.41364362854512,15.388481541631327,7.719725286903919,8.41364362854512,15.388481541631327
W kernel support bw9 [uv-pixels],,,13.253971407894053,77.65996111162895,9.895197418888763,33.61742771588845,,,,,,,,,,,,,,,,,,,,,,,,,10.529881643977374,9.71400539115072,17.9691864437987,,,,,,16.91387813938393,9.15728040451324,11.926860238921222,11.909408274558611,9.15728040451324,11.926860238921222,10.13411937710465,13.402935833465813,11.445769958029686,9.346832278582166,9.788395231269133,17.91010165115179,8.980681826148775,9.788395231269133,17.91010165115179
