,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
AW kernel support pred5 [uv-pixels],,,,,,,,,,,11.94275286013268,10.492426426517872,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,14.952214324943322,,,9.734919533727439,9.0154968585146,9.734919533727439,10.744513920915423,11.482936713751032,10.663594304631852,11.482936713751032,,,10.69960143126821,9.037550951979396,10.69960143126821,11.358921070632618,13.028374593546426,11.216600421107287,14.313729294123247,,,12.44307779730534,9.39394405979691,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,12.856070652346933,
AW kernel support pred6 [uv-pixels],,,,,,,,,,,11.94275286013268,13.951874143866355,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,19.059624106493338,,,10.40128760563985,9.0600744411008,10.40128760563985,10.744513920915423,12.095719765499608,10.663594304631852,13.473958429558486,,,12.131089919205987,9.145135897871073,12.131089919205987,11.358921070632618,13.028374593546426,11.216600421107287,18.061513096556524,,,12.44307779730534,10.451778169189934,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,15.739417875638964,
AW kernel support pred7 [uv-pixels],,,,,,,,,,,11.94275286013268,19.26501173555068,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,23.07298001335896,,,11.152415756746501,9.151781985349958,11.152415756746501,10.744513920915423,12.095719765499608,10.663594304631852,15.543165447887834,,,12.211435309139466,9.364339632179943,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,21.74956297594071,,,12.44307779730534,12.365840561191177,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,18.639592426890722,
AW kernel support pred8 [uv-pixels],,,,,,,,,,,11.94275286013268,24.184442114749086,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,25.999507934663086,,,11.75132309156975,9.260996111440088,11.75132309156975,10.744513920915423,12.095719765499608,10.663594304631852,17.103214861592683,,,12.211435309139466,9.621786432414588,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,24.44828518877773,,,12.44307779730534,14.341037019571939,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,20.78595204803272,
AW kernel support pred9 [uv-pixels],,,,,,,,,,,11.94275286013268,31.735412541367545,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,29.79310729463404,,,12.580411960013409,9.471773258420326,12.580411960013409,10.744513920915423,12.095719765499608,10.663594304631852,19.17016335795975,,,12.211435309139466,10.108497222930314,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,27.95410505886588,,,12.44307779730534,17.59492234360183,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,23.594336873849375,
AW kernel support pred10 [uv-pixels],,,,,,,,,,,11.94275286013268,40.24747556765276,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,33.473683904931534,,,13.431749838076566,9.76756971802889,13.431749838076566,10.744513920915423,12.095719765499608,10.663594304631852,21.21048803138621,,,12.211435309139466,10.771794827614748,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,31.361008563434726,,,12.44307779730534,21.445374820275426,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,26.338708939246857,
AW kernel support pred11 [uv-pixels],,,,,,,,,,,11.94275286013268,49.603978559324396,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,37.05386238525481,,,14.29603656872341,10.1568486617895,14.29603656872341,10.744513920915423,12.095719765499608,10.663594304631852,23.219150877058063,,,12.211435309139466,11.61549661339576,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,34.67858213301287,,,12.44307779730534,25.797740119371444,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,29.02128430522787,
W kernel support bw0 [uv-pixels],(undefined),9.107398851731583,0.1953221706187367,9.10739885173748,3.435003496096277,3.8390836957123473,2.7785641492444757,10.416528358645175,(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,4.250412779826403,2.7572079624093724,(undefined),(undefined),0.8597275257414515,0.028498398312872472,0.8597275257414515,1.6497399745642367,1.6497399745642367,1.6497399745642367,1.6497399745642367,(undefined),(undefined),1.3393310873201896,0.04437222120494535,1.3393310873201896,2.5708987391485207,2.5708987391485207,2.5708987391485207,2.5708987391485207,(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,8.428362862131104,2.1220005645786215,(undefined)
W kernel support bw1 [uv-pixels],,9.107398851731583,0.5528195745220491,9.10739885173748,3.435003496096277,3.8390836957123473,2.7785641492444757,10.416528358645175,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,5.767610431797001,3.7403418662365673,,,1.1657407364513963,0.05235970220776285,1.1657407364513963,2.237432186363181,2.237432186363181,2.237432186363181,2.237432186363181,,,1.8163020199397306,0.0815270165196709,1.8163020199397306,3.487465434952581,3.487465434952581,3.487465434952581,3.487465434952581,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,10.442089446317615,2.8782467508693417,
W kernel support bw2 [uv-pixels],,9.107398851731583,1.5656728663696766,9.10739885173748,3.435003496096277,3.8390836957123473,2.7785641492444757,10.416528358645175,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,6.2190725300539675,4.6443996627123365,,,1.4469432867746808,0.08062042673204613,1.4469432867746808,2.7776522823451204,2.7776522823451204,2.7776522823451204,2.7776522823451204,,,2.254692059138452,0.12553451036887592,2.254692059138452,4.330260771504332,4.330260771504332,4.330260771504332,4.330260771504332,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,10.442089446317615,3.5735223925939597,
W kernel support bw3 [uv-pixels],,9.107398851731583,4.44003861412298,9.10739885173748,3.435003496096277,3.8390836957123473,2.7785641492444757,10.416528358645175,,,7.850436031088165,1.5081053989072117,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,6.3026638291180355,,,1.9622926919359924,0.14813633609216087,1.9622926919359924,3.7680918044203335,3.7680918044203335,3.7680918044203335,3.7680918044203335,,,3.058317702532978,0.23067840457149283,3.058317702532978,5.87604300822231,5.87604300822231,5.87604300822231,5.87604300822231,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,10.442089446317615,4.848504693355929,
W kernel support bw4 [uv-pixels],,9.107398851731583,9.022424044115924,9.10739885173748,3.435003496096277,3.8390836957123473,2.7785641492444757,10.416528358645175,,,7.850436031088165,3.2504789400702174,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,9.262802364061878,,,2.880954845597861,0.31885546961578276,2.880954845597861,5.534796000900344,5.534796000900344,5.534796000900344,5.534796000900344,,,4.491450032959311,0.4965851642461371,4.491450032959311,6.930013556181666,8.63507185423321,6.694185910682805,8.63507185423321,,,8.59244930562835,1.6232843182302834,8.592449254247223,6.498706208745211,7.123522881883418,10.442089446317615,7.123522881883418,
W kernel support bw5 [uv-pixels],,,,,,,,,,,7.850436031088165,5.393608468909343,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,11.940214119480446,,,3.710614279084804,0.5283782791586031,3.710614279084804,5.868950451038526,7.1314679815597115,5.719461818543496,7.1314679815597115,,,5.786317549875458,0.8229989122858454,5.786317549875458,6.930013556181666,9.420113828917675,6.694185910682805,11.130267126418934,,,8.59244930562835,2.6918738823714676,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,9.180335103804005,
W kernel support bw6 [uv-pixels],,,,,,,,,,,7.850436031088165,10.660900155535018,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,16.80087114053382,,,5.214094730174852,1.04160879330389,5.214094730174852,5.868950451038526,8.081239796312067,5.719461818543496,10.027340413163909,,,8.134085236082857,1.6228094745009816,8.134085236082857,6.930013556181666,9.420113828917675,6.694185910682805,15.659446201481165,,,8.59244930562835,5.3141007609900734,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,12.912369072481756,
W kernel support bw7 [uv-pixels],,,,,,,,,,,7.850436031088165,17.033516289096198,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,21.245291400610682,,,6.586074491783982,1.659853459609009,6.586074491783982,5.868950451038526,8.081239796312067,5.719461818543496,12.672410668077886,,,8.253432759118963,2.5866690447013077,8.25343266714147,6.930013556181666,9.420113828917675,6.694185910682805,19.80008812213751,,,8.59244930562835,8.480213015296309,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,16.322818562999526,
W kernel support bw8 [uv-pixels],,,,,,,,,,,7.850436031088165,22.447432824304194,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,24.39209734411145,,,7.556030333611721,2.1831282546173125,7.556030333611721,5.868950451038526,8.081239796312067,5.719461818543496,14.543725746926224,,,8.253432759118963,3.4027597844980835,8.25343266714147,6.930013556181666,9.420113828917675,6.694185910682805,22.731446251213505,,,8.59244930562835,11.165363531776867,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,18.736483195709795,
W kernel support bw9 [uv-pixels],,,,,,,,,,,7.850436031088165,30.432489368613744,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,28.401219027879353,,,8.790151596169911,2.952031276752738,8.790151596169911,5.868950451038526,8.081239796312067,5.719461818543496,16.92616800019611,,,8.253432759118963,4.602359840993516,8.25343266714147,6.930013556181666,9.420113828917675,6.694185910682805,26.465675688372496,,,8.59244930562835,15.118905128261733,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,21.810381301496964,
W kernel support bw10 [uv-pixels],,,,,,,,,,,7.850436031088165,39.22829705160302,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,32.24108425855546,,,9.97055182588556,3.7954470351402545,9.97055182588556,5.868950451038526,8.081239796312067,5.719461818543496,19.206374007854205,,,8.253432759118963,5.918746810620287,8.25343266714147,6.930013556181666,9.420113828917675,6.694185910682805,30.041851775744888,,,8.59244930562835,19.465459182410857,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,24.753334898279107,
W kernel support bw11 [uv-pixels],,,,,,,,,,,7.850436031088165,48.78067946343013,7.850435906059448,7.246174225130996,8.488376657409052,6.2190725300539675,35.94424456940779,,,11.107504741132324,4.707608175973777,11.107504741132324,5.868950451038526,8.081239796312067,5.719461818543496,21.40394747357567,,,8.253432759118963,7.343007665514749,8.25343266714147,6.930013556181666,9.420113828917675,6.694185910682805,33.490357698240835,,,8.59244930562835,24.176918647061434,8.592449254247223,6.498706208745211,7.827032592684471,10.442089446317615,27.59048645321183,
AW kernel support bw0 [uv-pixels],(undefined),12.804089731196115,9.002119236620631,12.804089731200309,9.633236684427184,9.784608506357543,9.419151699142905,13.766047473638146,(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.953190885284558,9.41287393668765,(undefined),(undefined),9.040969606105172,9.000045119815033,9.040969606105172,9.149953113741907,9.149953113741907,9.149953113741907,9.149953113741907,(undefined),(undefined),9.099110273068586,9.00010938233612,9.099110273068586,9.359995743960328,9.359995743960328,9.359995743960328,9.359995743960328,(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,12.330340649623222,9.246777081560472,(undefined)
AW kernel support bw1 [uv-pixels],,12.804089731196115,9.016962320092878,12.804089731200309,9.633236684427184,9.784608506357543,9.419151699142905,13.766047473638146,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,10.689496250664648,9.746289410658912,,,9.075183274437064,9.000152306401002,9.075183274437064,9.273947529966618,9.273947529966618,9.273947529966618,9.273947529966618,,,9.181446129430654,9.000369251004239,9.181446129430654,9.65206792143471,9.65206792143471,9.65206792143471,9.65206792143471,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,13.785399232698984,9.449037218621267,
AW kernel support bw2 [uv-pixels],,12.804089731196115,9.13517003259853,12.804089731200309,9.633236684427184,9.784608506357543,9.419151699142905,13.766047473638146,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.939692095030455,10.127706957994118,,,9.115571560529943,9.000361084601353,9.115571560529943,9.418882746993779,9.418882746993779,9.418882746993779,9.418882746993779,,,9.27812676576161,9.00087545260424,9.27812676576161,9.987550167545058,9.987550167545058,9.987550167545058,9.987550167545058,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,13.785399232698984,9.683494322318285,
AW kernel support bw3 [uv-pixels],,12.804089731196115,10.03563365687006,12.804089731200309,9.633236684427184,9.784608506357543,9.419151699142905,13.766047473638146,,,11.94275286013268,9.125479817204852,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,10.98742787657206,,,9.21143814009655,9.001219049332752,9.21143814009655,9.756972678374153,9.756972678374153,9.756972678374153,9.756972678374153,,,9.505435664377861,9.002955766099022,9.505435664377861,10.748389713556087,10.748389713556087,10.748389713556087,10.748389713556087,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,13.785399232698984,10.222915325947607,
AW kernel support bw4 [uv-pixels],,12.804089731196115,12.743788119387467,12.804089731200309,9.633236684427184,9.784608506357543,9.419151699142905,13.766047473638146,,,11.94275286013268,9.568992284448766,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,12.915088371190896,,,9.449862476373601,9.005646495977059,9.449862476373601,10.565697647177988,10.565697647177988,10.565697647177988,10.565697647177988,,,10.058485144323186,9.01368941251857,10.058485144323186,11.358921070632618,12.472548493702904,11.216600421107287,12.472548493702904,,,12.44307779730534,9.14522017109552,12.443077761824592,11.10104420257768,11.478004105623794,13.785399232698984,11.478004105623794,
AW kernel support bw5 [uv-pixels],,,,,,,,,,,11.94275286013268,10.492426426517872,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,14.952214324943322,,,9.734919533727439,9.0154968585146,9.734919533727439,10.744513920915423,11.482936713751032,10.663594304631852,11.482936713751032,,,10.69960143126821,9.037550951979396,10.69960143126821,11.358921070632618,13.028374593546426,11.216600421107287,14.313729294123247,,,12.44307779730534,9.39394405979691,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,12.856070652346933,
AW kernel support bw6 [uv-pixels],,,,,,,,,,,11.94275286013268,13.951874143866355,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,19.059624106493338,,,10.40128760563985,9.0600744411008,10.40128760563985,10.744513920915423,12.095719765499608,10.663594304631852,13.473958429558486,,,12.131089919205987,9.145135897871073,12.131089919205987,11.358921070632618,13.028374593546426,11.216600421107287,18.061513096556524,,,12.44307779730534,10.451778169189934,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,15.739417875638964,
AW kernel support bw7 [uv-pixels],,,,,,,,,,,11.94275286013268,19.26501173555068,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,23.07298001335896,,,11.152415756746501,9.151781985349958,11.152415756746501,10.744513920915423,12.095719765499608,10.663594304631852,15.543165447887834,,,12.211435309139466,9.364339632179943,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,21.74956297594071,,,12.44307779730534,12.365840561191177,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,18.639592426890722,
AW kernel support bw8 [uv-pixels],,,,,,,,,,,11.94275286013268,24.184442114749086,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,25.999507934663086,,,11.75132309156975,9.260996111440088,11.75132309156975,10.744513920915423,12.095719765499608,10.663594304631852,17.103214861592683,,,12.211435309139466,9.621786432414588,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,24.44828518877773,,,12.44307779730534,14.341037019571939,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,20.78595204803272,
AW kernel support bw9 [uv-pixels],,,,,,,,,,,11.94275286013268,31.735412541367545,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,29.79310729463404,,,12.580411960013409,9.471773258420326,12.580411960013409,10.744513920915423,12.095719765499608,10.663594304631852,19.17016335795975,,,12.211435309139466,10.108497222930314,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,27.95410505886588,,,12.44307779730534,17.59492234360183,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,23.594336873849375,
AW kernel support bw10 [uv-pixels],,,,,,,,,,,11.94275286013268,40.24747556765276,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,33.473683904931534,,,13.431749838076566,9.76756971802889,13.431749838076566,10.744513920915423,12.095719765499608,10.663594304631852,21.21048803138621,,,12.211435309139466,10.771794827614748,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,31.361008563434726,,,12.44307779730534,21.445374820275426,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,26.338708939246857,
AW kernel support bw11 [uv-pixels],,,,,,,,,,,11.94275286013268,49.603978559324396,11.94275277794644,11.554524693857068,12.371440428585785,10.939692095030455,37.05386238525481,,,14.29603656872341,10.1568486617895,14.29603656872341,10.744513920915423,12.095719765499608,10.663594304631852,23.219150877058063,,,12.211435309139466,11.61549661339576,12.211435246973958,11.358921070632618,13.028374593546426,11.216600421107287,34.67858213301287,,,12.44307779730534,25.797740119371444,12.443077761824592,11.10104420257768,11.927381909159486,13.785399232698984,29.02128430522787,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],1.9491509981167618,1958.3406757388789,1.1748043055059434,1958.3406757388789,72.53412118069743,362.67060590348717,725.3412118069743,1.9491509981167618,1.9491509981167618,2.4373169471854865,3993.3000862687013,3.327750071890584,3993.3000862687013,399.3300086268701,1996.6500431343507,3993.3000862687013,2.4373169471854865,2.4373169471854865,2.4373169471854865,3993.3000862687013,2.6931022141144894,3993.3000862687013,249.55745746703838,1247.7872873351919,2495.5745746703838,2.4373169471854865,2.4373169471854865,2.4373169471854865,3993.3000862687013,2.673400902190281,3993.3000862687013,247.73182734344635,1238.6591367172318,2477.3182734344637,2.4373169471854865,2.4373169471854865,2.4373169471854865,3993.3000862687013,2.685871693831162,3993.3000862687013,248.887438353978,1244.4371917698902,2488.8743835397804,2.4373169471854865,2.4373169471854865
Snapshot vis size1 [GB],0.5483177455271936,550.9029035373987,0.3304854517957009,550.9029035373987,20.40465096753566,102.02325483767831,204.04650967535662,0.5483177455271936,0.5483177455271936,0.20515027391884008,336.1182087886276,0.2800985073238563,336.1182087886276,33.61182087886276,168.0591043943138,336.1182087886276,0.20515027391884008,0.20515027391884008,0.20515027391884008,336.1182087886276,0.22667985694475054,336.1182087886276,21.005384965206165,105.02692482603084,210.05384965206167,0.20515027391884008,0.20515027391884008,0.20515027391884008,336.1182087886276,0.2250215869596019,336.1182087886276,20.851720699111485,104.25860349555742,208.51720699111485,0.20515027391884008,0.20515027391884008,0.20515027391884008,336.1182087886276,0.22607126017672938,336.1182087886276,20.94898909730974,104.7449454865487,209.4898909730974,0.20515027391884008,0.20515027391884008
Snapshot vis size2 [GB],0.6202062316068865,623.1303228308102,0.37381452329622916,623.1303228308102,23.079850665167786,115.39925332583894,230.79850665167788,0.6202062316068865,0.6202062316068865,0.1139952375574376,186.76979721410575,0.15564149767842148,186.76979721410575,18.676979721410575,93.38489860705288,186.76979721410575,0.1139952375574376,0.1139952375574376,0.1139952375574376,186.76979721410575,0.12595851640015646,186.76979721410575,11.671999278155502,58.35999639077751,116.71999278155502,0.1139952375574376,0.1139952375574376,0.1139952375574376,186.76979721410575,0.1250370704898957,186.76979721410575,11.586613116182924,57.93306558091462,115.86613116182924,0.1139952375574376,0.1139952375574376,0.1139952375574376,186.76979721410575,0.12562033925897112,186.76979721410575,11.64066195534669,58.20330977673345,116.4066195534669,0.1139952375574376,0.1139952375574376
Snapshot vis size3 [GB],0.779218698206413,782.8924867638727,0.46965549742842067,782.8924867638727,28.997211368733314,144.9860568436666,289.9721136873332,0.779218698206413,0.779218698206413,0.1979484089094135,324.3186731571831,0.27026556096431925,324.3186731571831,32.431867315718314,162.15933657859156,324.3186731571831,0.1979484089094135,0.1979484089094135,0.1979484089094135,324.3186731571831,0.2187221891391591,324.3186731571831,20.2679843071388,101.339921535694,202.679843071388,0.1979484089094135,0.1979484089094135,0.1979484089094135,324.3186731571831,0.21712213324436527,324.3186731571831,20.119714473525473,100.59857236762736,201.1971447352547,0.1979484089094135,0.1979484089094135,0.1979484089094135,324.3186731571831,0.2181349573524501,324.3186731571831,20.213568233955396,101.06784116977698,202.13568233955397,0.1979484089094135,0.1979484089094135
Snapshot vis size4 [GB],0.28921832654274565,290.5819064736509,0.1743194527165553,290.5819064736509,10.762735757978128,53.813678789890645,107.62735757978129,0.28921832654274565,0.28921832654274565,0.25124221117062606,411.6352387819537,0.34302936565162806,411.6352387819537,41.16352387819537,205.81761939097686,411.6352387819537,0.25124221117062606,0.25124221117062606,0.25124221117062606,411.6352387819537,0.27760893221702954,411.6352387819537,25.724749298830766,128.62374649415383,257.24749298830767,0.25124221117062606,0.25124221117062606,0.25124221117062606,411.6352387819537,0.2755780920439794,411.6352387819537,25.536560663962977,127.68280331981488,255.36560663962976,0.25124221117062606,0.25124221117062606,0.25124221117062606,411.6352387819537,0.27686359956507595,411.6352387819537,25.655682744443467,128.27841372221735,256.5568274444347,0.25124221117062606,0.25124221117062606
Snapshot vis size5 [GB],,,,,,,,,,0.1851908191237276,303.4166380523153,0.2528471983769294,303.4166380523153,30.341663805231534,151.70831902615765,303.4166380523153,0.1851908191237276,0.1851908191237276,0.1851908191237276,303.4166380523153,0.20462574865025604,303.4166380523153,18.961731677992763,94.80865838996382,189.61731677992765,0.1851908191237276,0.1851908191237276,0.1851908191237276,303.4166380523153,0.20312881486112808,303.4166380523153,18.823017696458532,94.11508848229265,188.2301769645853,0.1851908191237276,0.1851908191237276,0.1851908191237276,303.4166380523153,0.20407636340288132,303.4166380523153,18.910822669823148,94.55411334911575,189.1082266982315,0.1851908191237276,0.1851908191237276
Snapshot vis size6 [GB],,,,,,,,,,0.2269616373698576,371.85394666677473,0.30987828888897895,371.85394666677473,37.185394666677475,185.92697333338737,371.85394666677473,0.2269616373698576,0.2269616373698576,0.2269616373698576,371.85394666677473,0.25078022323918014,371.85394666677473,23.238655616776942,116.19327808388472,232.38655616776944,0.2269616373698576,0.2269616373698576,0.2269616373698576,371.85394666677473,0.24894564771636357,371.85394666677473,23.068653925958415,115.34326962979208,230.68653925958415,0.2269616373698576,0.2269616373698576,0.2269616373698576,371.85394666677473,0.25010692109666033,371.85394666677473,23.17626379894427,115.88131899472135,231.7626379894427,0.2269616373698576,0.2269616373698576
Snapshot vis size7 [GB],,,,,,,,,,0.21831939896139377,357.6945032583476,0.29807875271528966,357.6945032583476,35.76945032583476,178.8472516291738,357.6945032583476,0.21831939896139377,0.21831939896139377,0.21831939896139377,357.6945032583476,0.2412310214336392,357.6945032583476,22.353774786431618,111.7688739321581,223.5377478643162,0.21831939896139377,0.21831939896139377,0.21831939896139377,357.6945032583476,0.23946630282245862,357.6945032583476,22.190246414888197,110.951232074441,221.902464148882,0.21831939896139377,0.21831939896139377,0.21831939896139377,357.6945032583476,0.24058335726987212,357.6945032583476,22.29375872236375,111.46879361181875,222.9375872236375,0.21831939896139377,0.21831939896139377
Snapshot vis size8 [GB],,,,,,,,,,0.07345902508191095,120.3552666942029,0.10029605557850241,120.3552666942029,12.03552666942029,60.17763334710145,120.3552666942029,0.07345902508191095,0.07345902508191095,0.07345902508191095,120.3552666942029,0.08116821381118906,120.3552666942029,7.52148691560957,37.60743457804785,75.2148691560957,0.07345902508191095,0.07345902508191095,0.07345902508191095,120.3552666942029,0.08057443007351876,120.3552666942029,7.466463702812358,37.33231851406179,74.66463702812358,0.07345902508191095,0.07345902508191095,0.07345902508191095,120.3552666942029,0.08095029099591404,120.3552666942029,7.50129300899086,37.506465044954304,75.01293008990861,0.07345902508191095,0.07345902508191095
Snapshot vis size9 [GB],,,,,,,,,,0.05576301340526738,91.3621211631901,0.07613510096932508,91.3621211631901,9.136212116319008,45.68106058159505,91.3621211631901,0.05576301340526738,0.05576301340526738,0.05576301340526738,91.3621211631901,0.06161508663895274,91.3621211631901,5.709588103503986,28.547940517519933,57.095881035039866,0.05576301340526738,0.05576301340526738,0.05576301340526738,91.3621211631901,0.061164343241710294,91.3621211631901,5.667819782329147,28.339098911645735,56.67819782329147,0.05576301340526738,0.05576301340526738,0.05576301340526738,91.3621211631901,0.0614496606364167,91.3621211631901,5.6942588354633585,28.471294177316796,56.94258835463359,0.05576301340526738,0.05576301340526738
Snapshot vis size10 [GB],,,,,,,,,,0.004321119124801537,7.079721574074839,0.005899767978395699,7.079721574074839,0.7079721574074839,3.5398607870374197,7.079721574074839,0.004321119124801537,0.004321119124801537,0.004321119124801537,7.079721574074839,0.004774600815004246,7.079721574074839,0.4424404070397657,2.2122020351988287,4.4244040703976575,0.004321119124801537,0.004321119124801537,0.004321119124801537,7.079721574074839,0.0047396723598282856,7.079721574074839,0.43920374746170926,2.1960187373085462,4.3920374746170925,0.004321119124801537,0.004321119124801537,0.004321119124801537,7.079721574074839,0.00476178182586349,7.079721574074839,0.4412525301791994,2.2062626508959973,4.4125253017919945,0.004321119124801537,0.004321119124801537
Snapshot vis size11 [GB],,,,,,,,,,0.0018519081912372762,3.0341663805231534,0.0025284719837692943,3.0341663805231534,0.30341663805231534,1.5170831902615767,3.0341663805231534,0.0018519081912372762,0.0018519081912372762,0.0018519081912372762,3.0341663805231534,0.0020462574865025606,3.0341663805231534,0.18961731677992763,0.9480865838996383,1.8961731677992766,0.0018519081912372762,0.0018519081912372762,0.0018519081912372762,3.0341663805231534,0.002031288148611281,3.0341663805231534,0.18823017696458533,0.9411508848229265,1.882301769645853,0.0018519081912372762,0.0018519081912372762,0.0018519081912372762,3.0341663805231534,0.002040763634028813,3.0341663805231534,0.1891082266982315,0.9455411334911575,1.891082266982315,0.0018519081912372762,0.0018519081912372762
Facet size [GB],(undefined),23.167544569947953,1.1440762750591575,23.167544569947953,3.1779896529421054,3.1779896529421054,3.1779896529421054,3.1779896529421054,(undefined),(undefined),14.644882158748034,40.68022821874454,14.644882158748034,18.08010143055313,18.08010143055313,18.08010143055313,10.170057054686135,(undefined),(undefined),41.36490360459157,35.46373765825752,41.36490360459157,98.51038238404868,98.51038238404868,98.51038238404868,98.51038238404868,(undefined),(undefined),41.25193521021444,35.36688546829085,41.25193521021444,98.24134852303013,98.24134852303013,98.24134852303013,98.24134852303013,(undefined),(undefined),21.08337991299519,35.42817612265994,21.08337991299519,15.745856054515531,15.745856054515531,98.41160034072209,15.745856054515531,(undefined)
