Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Delta W max4 [lambda],2490.1569509296996,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,37.35813920260359,2490.1569509296996,24.167420631115196,5746.516040606999,135.9103528791695,135.9103602155739,118.78951528936713,128.4285193542206,102.37633154355927,322.50624128794965,5746.516040606999,21.450373341226506,13513.248657339449,574.3781711690973,574.3781068925865,596.2057040991357,236.45956864171228,221.94362442787036,1372.2602939141018,13513.248657339449,50.441733165707994,61109.064350419074,6361.945731279645,6361.945588055884,2393.3013390004876,3004.6799297744687,2322.2406174580815,16163.965540129399,61109.064350419074,228.10555745200088,136006.330695846,31202.053557423496,31202.05602114724,11736.222592814127,14732.793812399661,11387.72795611852,59487.87746837295,136006.330695846,507.6791832792049,68079.44959173845,5904.331720151059,5904.331720407236,2308.280253538362,2907.7254219966717,2244.3355645972165,18903.431159715194,68079.44959173845,254.12434252141176
Delta W max5 [lambda],,,,,,,,,,8045.122456849799,190.27449403083727,190.27450430180343,166.30532140511397,179.79992709590886,143.326864160983,451.5087378031295,8045.122456849799,42.04273174880395,18918.54812027523,804.1294396367363,804.1293496496211,834.68798573879,331.04339609839724,310.7210741990185,1921.1644114797423,18918.54812027523,98.86579700478767,85552.69009058671,8906.724023791503,8906.723823278238,3350.6218746006825,4206.551901684256,3251.136864441314,22629.551756181158,85552.69009058671,447.0868926059217,190408.8629741844,43682.874980392895,43682.878429606135,16430.71162993978,20625.911337359525,15942.819138565928,83283.02845572213,190408.8629741844,995.0511992272416,95311.22942843383,8266.064408211483,8266.06440857013,3231.592354953707,4070.8155907953405,3142.0697904361027,26464.80362360127,95311.22942843383,498.08371134196705
Delta W max6 [lambda],,,,,,,,,,12642.335289335399,299.0027763341729,299.00279247426255,261.3369336366077,282.54274257928535,225.22792939583042,709.5137308334893,12642.335289335399,103.81980697153628,29729.147046146787,1263.631976572014,1263.6318351636903,1311.6525490180984,520.211051011767,488.2759737413148,3018.9726466110237,29729.147046146787,244.1379885220267,134439.94157092198,13996.280608815217,13996.280293722944,5265.262945801072,6610.2958455038315,5108.92935840778,35560.72418828468,134439.94157092198,1104.0308980676841,299213.9275308612,68644.51782633169,68644.52324652392,25819.68970419108,32412.146387279256,25053.001503460746,130873.3304304205,299213.9275308612,2457.1672470713515,149774.7891018246,12989.52978433233,12989.52978489592,5078.216557784397,6396.995928392678,4937.538242113876,41587.548551373424,149774.7891018246,1229.961817803633
Delta W max7 [lambda],,,,,,,,,,17239.548121820997,407.73105863750845,407.73108064672164,356.36854586810136,385.28555806266183,307.1289946306778,967.518723863849,17239.548121820997,193.05336007103855,40539.74597201835,1723.134513507292,1723.1343206777594,1788.617112297407,709.3787059251368,665.830873283611,4116.780881742305,40539.74597201835,453.97559849137195,183327.19305125723,19085.837193838935,19085.836764167652,7179.904017001462,9014.039789323408,6966.721852374245,48491.8966203882,183327.19305125723,2052.950017068008,408018.992087538,93606.16067227049,93606.16806344171,35208.66777844238,44198.38143719899,34163.18386835556,178463.63240511884,408018.992087538,4569.112649512844,204238.34877521536,17712.995160453178,17712.99516122171,6924.840760615087,8723.176265990016,6733.006693791649,56710.29347914558,204238.34877521536,2287.119082692706
Delta W max8 [lambda],,,,,,,,,,20687.4577461852,489.27727036501017,489.277296776066,427.6422550417216,462.3426696751942,368.5547935568134,1161.0224686366187,20687.4577461852,277.99683850229553,48647.69516642202,2067.7614162087502,2067.7611848133115,2146.3405347568882,851.2544471101643,798.9970479403333,4940.137058090766,48647.69516642202,653.7248618275756,219992.63166150867,22903.00463260672,22903.004117001183,8615.884820401756,10816.847747188089,8360.066222849095,58190.27594446584,219992.63166150867,2956.248024577931,489622.7905050456,112327.39280672459,112327.40167613006,42250.40133413086,53038.05772463878,40995.82064202667,214156.35888614264,489622.7905050456,6579.522215298495,245086.0185302584,21255.594192543813,21255.59419346605,8309.808912738104,10467.811519188019,8079.608032549979,68052.35217497469,245086.0185302584,3293.4514790774965
Delta W max9 [lambda],,,,,,,,,,25284.670578670797,598.0055526683458,598.0055849485251,522.6738672732154,565.0854851585707,450.45585879166083,1419.0274616669785,25284.670578670797,415.2792278861451,59458.294092293574,2527.263953144028,2527.2636703273806,2623.305098036197,1040.422102023534,976.5519540881068,6037.945293222047,59458.294092293574,976.5519540881068,268879.88314184395,27992.561217630435,27992.56058744589,10530.525891602145,13220.591691007663,10217.85871681556,71121.44837656936,268879.88314184395,4416.1235922707365,598427.8550617225,137289.03565266338,137289.04649304785,51639.37940838216,64824.29277455851,50106.00300692149,261746.660860841,598427.8550617225,9828.668988285406,299549.5782036492,25979.05956866466,25979.05956979184,10156.433115568794,12793.991856785357,9875.076484227751,83175.09710274685,299549.5782036492,4919.847271214532
Delta W max10 [lambda],,,,,,,,,,29881.883411156396,706.7338349716813,706.7338731209842,617.705479504709,667.8283006419472,580.0180951467647,1677.0324546973382,29881.883411156396,580.0180951467647,70268.89301816514,2986.766490079306,2986.7661558414497,3100.2696613155053,1363.944464800744,1363.944464800744,7135.753528353329,70268.89301816514,1363.944464800744,317767.1346221792,33082.11780265415,33082.117057890595,12445.166962802536,15624.33563482724,12075.651210782024,84052.62080867287,317767.1346221792,6167.974273502104,707232.9196183992,162250.67849860218,162250.69130996565,61028.35748263346,76610.52782447824,59216.18537181631,309336.96283553937,707232.9196183992,13727.6451158697,354013.13787703996,30702.524944785506,30702.524946117628,12003.057318399484,15120.172194382694,11670.544935905526,98297.842030519,354013.13787703996,6871.522221778974
Delta W max11 [lambda],,,,,,,,,,34479.096243641994,815.4621172750169,815.4621612934433,772.2134402841542,772.2134402841542,772.2134402841542,1935.037447727698,34479.096243641994,772.2134402841542,81079.4919440367,3446.269027014584,3446.268641355519,3577.234224594814,1815.9023939654878,1815.9023939654878,8233.56176348461,81079.4919440367,1815.9023939654878,366654.38610251446,38171.67438767787,38171.673528335305,14359.808034002925,18028.079578646815,13933.44370474849,96983.7932407764,366654.38610251446,8211.800068272032,816037.984175076,187212.32134454098,187212.33612688343,70417.33555688476,88396.76287439797,68326.36773671112,356927.2648102377,816037.984175076,18276.450598051375,408476.6975504307,35425.990320906356,35425.99032244342,13849.681521230174,17446.352531980032,13466.013387583298,113420.58695829115,408476.6975504307,9148.476330770824
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],51.84058969878098,0.750989033645744,0.7509891015458974,0.6931074580880082,0.9302362521312354,0.930236199565506,2.1719274930906796,51.84058969878098,0.16675796919282154,66.08516352964814,1.220012152301943,1.220012201767399,0.8856080799997731,0.9390425680315855,0.7920479564831996,7.445663764004015,66.08516352964814,0.24736096700338506,32.70585475230759,1.194114210663176,1.1941141102944826,0.7824547877258973,1.5472277946696733,1.4753097346318083,5.8064012529029565,32.70585475230759,0.12374838575339467,10.52146767644403,0.9985369337984418,0.9985369169167441,0.9194154189896462,1.090709788427821,0.8988394709304477,3.8632774899428,10.52146767644403,0.040206558978108056,5.682673970560674,0.9784309451362223,0.9784310031536276,0.9008068569079644,1.0685496780217048,0.8806460298091299,3.0499782777421123,5.682673970560674,0.02178140887010416,9.906668245235307,0.8199178555361382,0.8199178555628495,0.7770876920738101,0.9241801044640613,0.7608682197157995,3.7734908463422006,9.906668245235307,0.037870482843733844
W kernel support pred1 [uv-pixels],88.10132098157902,1.2638542124866192,1.263854326807894,1.1664036851934125,1.5656727990208215,1.565672710502616,3.657676431196374,88.10132098157902,0.4719433070599293,90.16665144334496,1.6544375967602094,1.6544376638617493,1.2008427551991674,1.2733178553160622,1.0739485523914543,10.108539431321466,90.16665144334496,0.4546068283389465,44.51948100598907,1.6193063816580526,1.6193062455061726,1.060937827724418,2.09834837003979,2.000776780074933,7.881058213706369,44.51948100598907,0.2273957447535556,14.290327198949884,1.3540144328874444,1.3540144099892264,1.2466966294052768,1.4790398141341305,1.218788781902494,5.241921561714055,14.290327198949884,0.07387268535099338,7.712971060798133,1.3267429416917738,1.3267430203854136,1.2214572009832154,1.4489808305962086,1.1941126481485878,4.137749502572402,7.712971060798133,0.04001807118720107,13.454236466708023,1.111747442397733,1.1117474424339608,1.053658738712741,1.253159172719935,1.0316613088313809,5.120009448632149,13.454236466708023,0.06958023069500174
W kernel support pred2 [uv-pixels],150.32028673808182,2.1275520371934777,2.127552229760569,1.9634092970831472,2.6360080709341034,2.636007921795128,6.163194546541264,150.32028673808182,1.3364428326178834,112.4976096054238,2.05370414215909,2.0537042254775635,1.4905226033635088,1.5805022786010399,1.3329851673380981,12.560146526789744,112.4976096054238,0.7001834252893276,55.437892928021455,2.0100827166834123,2.0100825476283495,1.3168328913999043,2.6049314165210387,2.4837660814151934,9.7904062741356,55.437892928021455,0.35018399199615297,17.76232861213499,1.6806914754062163,1.680691446976485,1.5474511171247236,1.8359220675395942,1.512802862490236,6.510087024640326,17.76232861213499,0.11374755527108033,9.581438733678628,1.6468321597821773,1.6468322574850065,1.5161157551092774,1.7986005332528197,1.4821671075264966,5.138117781040838,9.581438733678628,0.061616574227208426,16.721991187088065,1.379911310354277,1.3799113103992535,1.3077962336821354,1.5554745605651499,1.2804875565558536,6.358593064582748,16.721991187088065,0.10713764403280973
W kernel support pred3 [uv-pixels],257.83948650180565,3.582879502610779,3.582879827186798,3.3062290264773404,4.44003861412298,4.44003861412298,10.393076250510157,257.83948650180565,3.788984637929831,153.87506062187435,2.7855675382755924,2.785567651338494,2.0214159091350443,2.1434930179731646,1.8076931238024083,17.063561792041742,153.87506062187435,1.2873121222810928,75.58836487425492,2.7263738918114244,2.7263736624080317,1.7857810005827677,3.5336565792814914,3.3692063845670033,13.296139302305269,75.58836487425492,0.6436425174912901,24.144977429954615,2.2794269059412087,2.279426867367762,2.098651357293972,2.4900502389379,2.0516435263050514,8.837137531370129,24.144977429954615,0.20901578489978515,13.011987690963144,2.233486916368685,2.233487048930021,2.056138150309476,2.4394096427246237,2.0100800848766975,6.973240756141053,13.011987690963144,0.11321422670188461,22.728303927718347,1.8713538482437975,1.8713538483048133,1.7735219689450454,2.109536985705089,1.7364756115336442,8.631292293666824,22.728303927718347,0.19686802934455488
W kernel support pred4 [uv-pixels],445.32610945220534,6.560950293748319,6.560950293748319,5.842695255920037,12.623953197926392,12.623953197926392,17.545049784291255,445.32610945220534,10.767336770701792,228.92053145856664,4.090597816997654,4.090597983152788,2.9678092934053377,3.14715354186574,2.6538537823928974,25.121345037837884,228.92053145856664,2.7741230716750493,111.91045312272352,4.003609066418925,4.00360872930074,2.6216671171297494,5.190150255928613,4.948409599167809,19.564253581135453,111.91045312272352,1.3862460638117227,35.57903467429398,3.346867231587884,3.3468671749140606,3.081275143491969,3.656339546010344,3.0122158851907432,12.993764367112622,35.57903467429398,0.4499376360249123,19.145320867297563,3.2793708864285493,3.279371081189339,3.0188188742368762,3.5819297434165924,2.9511563036275743,10.24966582968711,19.145320867297563,0.24367288335199153,33.48571560994978,2.747366901300677,2.747366901390307,2.603660012294483,3.097267456980438,2.549243871499166,12.690636877669801,33.48571560994978,0.4237801570386919
W kernel support pred5 [uv-pixels],,,,,,,,,,297.9469804207112,5.269597863797234,5.269598077969771,3.822535657070906,4.053648445127359,3.4179825214278794,32.42799547117404,297.9469804207112,4.602401107953138,145.10671498850104,5.157471289254528,5.1574708547212165,3.3765097935317865,6.687093392834638,6.375421274314376,25.243607824639,145.10671498850104,2.2985504263744887,45.96074309999651,4.311023286826693,4.311023213788156,3.9687526604973984,4.7098723131574385,3.879759382714444,16.75599177961217,45.96074309999651,0.7456659361908637,24.70220618658938,4.224037958448786,4.224038209442862,3.8882682596264373,4.6139698339809785,3.801076269174481,13.213724760335042,24.70220618658938,0.4037683263417485,43.25065012266939,3.5384769041573563,3.538476904272847,3.353307685663174,3.989361404007281,3.2831933480101125,16.364617280451153,43.25065012266939,0.7023034471278886
W kernel support pred6 [uv-pixels],,,,,,,,,,425.684666306095,7.407014488022537,7.407014789359079,5.371489811606023,5.69652275303992,4.8025954090646605,45.73228470712672,425.684666306095,9.09397381662716,206.10175968718326,7.249257296984013,7.249256685625084,4.744279808471757,9.401818733742955,8.963141012780909,35.57533627639818,206.10175968718326,4.536666640298325,64.89299885963469,6.058519664585575,6.058519561852756,5.577123881189559,6.619559424678891,5.4519658847581525,23.59164694340893,64.89299885963469,1.4702310034630404,34.81039978507779,5.936171636740547,5.936171989767809,5.463932400981616,6.4846519535596245,5.3413109981399085,18.595992605261678,34.81039978507779,0.7958660060011038,61.05304255870578,4.972029732925909,4.972029733088314,4.71165525384524,5.606108055455005,4.6130689155153615,23.03951643549244,61.05304255870578,1.3846834980730496
W kernel support pred7 [uv-pixels],,,,,,,,,,544.9022214669649,9.358373168408187,9.358373549436257,6.785015148361063,7.195862605283789,6.065986971536686,57.937302773493045,544.9022214669649,14.525154584862845,262.60575567135703,9.158898272532813,9.158897499515476,5.992286369614809,11.881156299263674,11.326298181695122,45.04383361969837,262.60575567135703,7.2380628455856675,82.28986305590534,7.653463873973827,7.653463744104473,7.044937232431596,8.362738033498479,6.8867358849171465,29.84760383956006,82.28986305590534,2.343322214655387,44.07328988258617,7.498799827783695,7.498800274051479,6.901861548783763,8.192179349853374,6.746869931427724,23.518595823492923,44.07328988258617,1.2680992060236433,77.40655973521646,6.280127036392482,6.280127036597739,5.951055095786094,7.081574165652172,5.826462302616311,29.14792672041195,77.40655973521646,2.206893874136743
W kernel support pred8 [uv-pixels],,,,,,,,,,630.5686589971884,10.738407086448419,10.73840752389659,7.784368770187809,8.255942769861456,6.959111438436022,66.59995214423012,630.5686589971884,19.137129746472176,302.9950981036437,10.509397396252458,10.50939650878832,6.874525918427562,13.63507496961597,12.997930138890494,51.759195278801585,302.9950981036437,9.52840746593798,94.65258436525767,8.781204453990831,8.781204304915706,8.082707096209099,9.59539835325169,7.901122778897572,34.28002853740064,94.65258436525767,3.0824946282927543,50.64243528800478,8.603669241437899,8.603669753694193,7.918483964827293,9.399604526253894,7.740586404257406,27.004626087988157,50.64243528800478,1.667723114653727,89.02518203047612,7.204881908162631,7.204881908398209,6.827205452113238,8.124759578606392,6.684213619004862,33.47558980391262,89.02518203047612,2.902954168095747
W kernel support pred9 [uv-pixels],,,,,,,,,,741.0987401986339,12.494820300190067,12.494820809514316,9.055923563694323,9.604827834003547,8.095406524395631,77.65996111162895,741.0987401986339,25.936262324485085,354.87712794446253,12.228185542187616,12.228184508929424,7.996962491028508,15.867892600505465,15.12588195725446,60.327432574310336,354.87712794446253,12.899639953708286,110.45342913517943,10.216256354626244,10.216256181091193,9.403181139281967,11.164081438537563,9.191820662108132,39.93040888944233,110.45342913517943,4.168932735622993,59.02367479837852,10.009593475959717,10.009594072254774,9.212028551369759,10.936145317017482,9.00496305081928,31.446661595966095,59.02367479837852,2.2548313271641356,103.87203420624726,8.381449478583669,8.381449478857855,7.941889444284128,9.452129972608084,7.775472879150704,38.99217255777468,103.87203420624726,3.9259732449737914
W kernel support pred10 [uv-pixels],,,,,,,,,,848.3242782122347,14.175304651146412,14.175305229307622,10.272157044261567,10.895090096270236,9.795680669478822,88.27634966885586,848.3242782122347,33.42188312681315,404.9871559086001,13.87263633418474,13.87263516130186,9.070460946962246,19.47445403980467,19.47445403980467,68.54649102235126,404.9871559086001,16.604752940710846,125.63702967285093,11.589013506011403,11.58901330905777,10.666244663512247,12.664788955706115,10.42637940388672,45.34555680333464,125.63702967285093,5.361020390945257,67.06292328832127,11.354463427025498,11.354464103779184,10.449312410845232,12.406075440521226,10.2143251416295,35.70189015800791,67.06292328832127,2.8987087827318407,118.13600144022669,9.506759174241207,9.506759174552345,9.007967800882234,10.72179551210482,8.819131489850252,44.27884619092655,118.13600144022669,5.048409306677936
W kernel support pred11 [uv-pixels],,,,,,,,,,952.9151270818414,15.79439986197705,15.794400506520487,12.15747220194383,12.15747220194383,12.15747220194383,98.53521277402321,952.9151270818414,41.54727978628811,453.6779515075712,15.45698348868463,15.4569821811603,10.104377604978566,24.18810613186736,24.18810613186736,76.48395045888745,453.6779515075712,20.619586676665016,140.32371531681747,12.91139559453843,12.911395375007572,11.88287958921361,14.110531856782908,11.61553689584125,50.57082762401651,140.32371531681747,6.6506664409638026,74.82635479855996,12.649960570756985,12.649961325076625,11.641096770717477,13.8221436024782,11.379194740774475,39.80626477380694,74.82635479855996,3.5949317551364106,131.93061952868786,10.59061226567575,10.590612266022505,10.03473307647326,11.944794616726806,9.824289280169111,49.37993113852522,131.93061952868786,6.262633157716523
AW kernel support pred0 [uv-pixels],52.796275818634754,10.028159578340194,10.028159583425102,10.023991118733957,10.043173775494436,10.043173770625602,10.23314560803486,52.796275818634754,10.001390314365764,66.83748079289296,10.074146596698125,10.074146602688554,10.039138492488332,10.04399327680855,10.031317957545221,12.46747403793577,66.83748079289296,10.003058904554988,34.20048150361397,10.071043081434402,10.07104306953378,10.030565063586158,10.118987787748257,10.108241133505837,11.563489763462975,34.20048150361397,10.000765653837538,14.515553109215524,10.049730146036739,10.04973014435938,10.042177289446542,10.059306528910044,10.04031435735468,10.720303772015919,14.515553109215524,10.000080828042584,11.50185999982993,10.04775234141448,10.047752347064105,10.040490674934787,10.05692788153521,10.038701979330723,10.454777257058074,11.50185999982993,10.000023721460483,14.076294815083747,10.033556961009738,10.033556961011922,10.030147819507578,10.04261464288495,10.02890424960641,10.688275500165046,14.076294815083747,10.000071708416435
AW kernel support pred1 [uv-pixels],88.66703309967698,10.079549963684896,10.079549978019408,10.067795069270767,10.121824505176608,10.12182449148436,10.647938620941119,88.66703309967698,10.011130330041592,90.71948540697122,10.135934281632537,10.135934292585183,10.071843094623462,10.080740962879004,10.057502945223716,14.219091723263512,90.71948540697122,10.010328035003269,45.62876493005944,10.130259283832693,10.130259262069027,10.056121969939337,10.217781847448528,10.198191394736963,12.732284891873439,45.62876493005944,10.002585107097666,17.441715840279215,10.0912514132028,10.091251410130385,10.07741298577023,10.108786216544196,10.07399851572807,11.290604131717785,17.441715840279215,10.000272854959556,12.628931965321115,10.087628404800057,10.087628415149986,10.074321698944985,10.104431970548136,10.07104289616862,10.822244265679746,12.628931965321115,10.0000800719805,16.763546131475167,10.061609333286494,10.061609333290498,10.05535661911927,10.078214520051263,10.053075402887401,11.234522542328289,16.763546131475167,10.000242067495345
AW kernel support pred2 [uv-pixels],150.6525426437242,10.223819133326161,10.22381917339891,10.190926163400093,10.3415926505558,10.341592612541197,11.746700260861175,150.6525426437242,10.088908734092886,112.94118897432566,10.20870710244551,10.208707119206839,10.110472671004928,10.124128972541937,10.088451291270795,16.054821106895847,112.94118897432566,10.024482870904109,56.332583575571704,10.200021202326463,10.20002116901137,10.086329801462602,10.33371509597484,10.30383879664218,13.994715253002962,56.332583575571704,10.00612956283549,20.383824904209447,10.140252651463035,10.140252646750962,10.119021936921104,10.167133806441168,10.1137813156484,11.932360750010465,20.383824904209447,10.000646904392243,13.84933096605165,10.13469566205581,10.134695677931981,10.114277383129778,10.160460810328306,10.109244251408384,11.242786768939808,13.84933096605165,10.000189828309235,19.483967492814465,10.094758799716002,10.09475879972215,10.085153989346576,10.120252027917354,10.081649090426346,11.850388422366576,19.483967492814465,10.000573907269967
AW kernel support pred3 [uv-pixels],258.03333272954256,10.622477372544903,10.622477482021889,10.532385787442525,10.941386698901704,10.941386698901704,14.422760968306942,258.03333272954256,10.693755401469975,154.19965720255513,10.380721868458608,10.380721898797956,10.202260645450314,10.227148298430981,10.1620743172761,19.777895262914775,154.19965720255513,10.082518162650233,76.24697308328703,10.364994674284738,10.364994613943232,10.158199337581557,10.605976089936247,10.55232446723503,16.636926409235176,76.24697308328703,10.020692375795324,26.133884806760314,10.256499745016754,10.256499736444106,10.217844073945924,10.305355413203111,10.20829276417117,13.34522385531058,26.133884806760314,10.002184141393183,16.41072282593842,10.246387841848955,10.246387870744408,10.209197034691712,10.29323658549719,10.20002068368579,12.191229906908763,16.41072282593842,10.000640852521787,24.830944392647194,10.173591559785406,10.17359155979663,10.156051406640806,10.220085434772926,10.149647656418972,13.209814785178189,24.830944392647194,10.001937663321943
AW kernel support pred4 [uv-pixels],445.4383725722758,11.960186819487234,11.960186819487234,11.581756682539593,16.10478793227145,16.10478793227145,20.194770905688895,445.4383725722758,14.694745357906237,229.13884376786183,10.804304258045772,10.804304320953463,10.431102147041946,10.483538306129189,10.34615580292125,27.03852763206795,229.13884376786183,10.377656711261931,112.35635059102489,10.77167050910451,10.771670383804597,10.33794653076903,11.266661425600569,11.157363378555711,21.971800522191426,112.35635059102489,10.09562668433384,36.957647494863814,10.545213144639455,10.54521312665217,10.46395033005707,10.647479461155074,10.443823272106602,16.396277395434783,36.957647494863814,10.01011707605419,21.599613679688336,10.523985623838298,10.523985684527558,10.445729624849037,10.622157063740511,10.426376337368643,14.31976430044348,21.599613679688336,10.00296838313913,34.9470048775347,10.370536383927424,10.370536383951169,10.333394672595318,10.46867067492669,10.31981803697992,16.157111881795977,34.9470048775347,10.008975453137037
AW kernel support pred5 [uv-pixels],,,,,,,,,,298.1147482796174,11.303480067932016,11.303480167777654,10.705689088030649,10.790369118648512,10.567999078197655,33.93486246146408,298.1147482796174,11.008273977263114,145.45088083182608,11.251644773075835,11.251644573896689,10.554658610576473,12.029846966794409,11.859426479597584,27.152158956594505,145.45088083182608,10.260766738533059,47.036049008222165,10.889670416480106,10.889670387565474,10.758763761706323,11.053637284000548,10.7262543726951,19.513156088096835,47.036049008222165,10.027762347024156,26.649558917264923,10.855528392225603,10.855528489890911,10.729335024073878,11.013115709411505,10.6980456534865,16.57113520679532,26.649558917264923,10.008148123472035,44.39165164795698,10.607583080101472,10.607583080139998,10.547259001026177,10.766383070083608,10.52517736479618,19.17813074143673,44.39165164795698,10.024631171861023
AW kernel support pred6 [uv-pixels],,,,,,,,,,425.80210794232977,12.444431028607768,12.444431207965438,11.351339251215572,11.508708505992386,11.093463059981268,46.812838672032015,425.80210794232977,13.516669699948297,206.3442156837779,12.351183399086743,12.351183040262985,11.068341831596674,13.725676504353439,13.428994631579654,36.95408707002262,206.3442156837779,10.980953701987623,65.65897730696503,11.6921195908257,11.69211953759251,11.450079073357305,11.992437907984144,11.389641434591642,25.623540065776545,65.65897730696503,10.107501135470821,36.21828175379036,11.629193166374138,11.629193346578425,11.395374380971287,11.918502882443107,11.337089713804437,21.114235505339682,36.21828175379036,10.031620143302284,61.86658230155549,11.167859224806664,11.167859224878967,11.054397099393864,11.464224680694176,11.012738297957238,25.116116689912996,61.86658230155549,10.095412244670142
AW kernel support pred7 [uv-pixels],,,,,,,,,,544.9939733241398,13.695953722146637,13.695953982501116,12.08455338700976,12.31992039885492,11.69599067795682,58.79397122722197,544.9939733241398,17.634628312333724,262.7960861803776,13.560435743979783,13.560435221873625,11.657937036005618,15.529387464015858,15.109104225620731,46.1405130786283,262.7960861803776,12.34461638758563,82.89524450630238,12.592676811155858,12.59267673222503,12.232380823408864,13.035926795472657,12.14195746774817,31.478237799523026,82.89524450630238,10.270888910006642,45.19352698201891,12.499279933546923,12.499280201280175,12.150542903038524,12.927173028166834,12.063177602588944,25.556297648697452,45.19352698201891,10.080083114554055,78.049826969966,11.808471348706735,11.808471348815896,11.636797529951341,12.253517562872805,11.573576066359479,30.815606956516447,78.049826969966,10.24062403233818
AW kernel support pred8 [uv-pixels],,,,,,,,,,630.6479475186711,14.673560806916829,14.673561127050206,12.672663380295212,12.967674850150571,12.18315361524146,67.34651903115514,630.6479475186711,21.59235362190306,303.1600723625007,14.506806458775065,14.506805815855266,12.135036324755369,16.909029227813402,16.39957889384596,52.71635700528932,303.1600723625007,13.812695205387783,95.17936607806455,13.30825126238562,13.308251164021145,12.858077383618008,13.858992371654775,12.744714244235297,35.70882743139296,95.17936607806455,10.464309491478819,51.62030852193496,13.191782457881294,13.191782791974417,12.755484636078197,13.724159910536335,12.645816615852636,28.79669825087679,51.62030852193496,10.138111283032472,89.58506033686311,12.325190599360694,12.325190599498404,12.108291963995777,12.884553473448596,12.028246410200037,34.9373025965059,89.58506033686311,10.412835488091822
AW kernel support pred9 [uv-pixels],,,,,,,,,,741.1662045209579,16.003766254667738,16.003766652318824,13.491098976416787,13.865522627036071,12.866064153237668,78.30114660629,741.1662045209579,27.79729669166598,355.0179938230039,15.79647181031784,15.796471010463746,12.804351177740982,18.756066100895893,18.132630944923463,61.15062649726461,355.0179938230039,16.321786389219383,110.90518476482559,14.295869819757073,14.295869695743734,13.72660976126837,14.987885586909814,13.582693660844965,41.16354642250902,110.90518476482559,10.834205100243812,59.86479922880176,14.148920861817532,14.148921283663922,13.596377092124637,14.818882359844936,13.456944658674214,32.9983715587786,59.86479922880176,10.251061618874445,104.35228550512826,13.04793835676926,13.047938356945384,12.770027719047114,13.760187535752415,12.66720089421527,40.25406216489557,104.35228550512826,10.743056637673007
AW kernel support pred10 [uv-pixels],,,,,,,,,,848.3832158902655,17.34760104316482,17.34760151559967,14.335871453873061,14.788610083636858,13.998405615583549,88.84094726452498,848.3832158902655,34.88584629534387,405.1105978013124,17.101170686843126,17.101169735389117,13.50086152030185,21.89187886291317,21.89187886291317,69.27208262696657,405.1105978013124,19.383441908547756,126.03437318849498,15.307032176176895,15.307032027062533,14.620833602154956,16.136817508188397,14.446777754011212,46.43511087317923,126.03437318849498,11.346388836635683,67.804392777867,15.130229334536198,15.13022984240524,14.463337438483698,15.934575859931257,14.294489780993391,37.075935063791206,67.804392777867,10.411652731775426,118.55848698547582,13.797770471964641,13.79777047217902,13.458955527890383,14.661408493162963,13.33330717546357,45.394010838432536,118.55848698547582,11.202072867454147
