Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies backward grid4,65536.0,9646.000610935875,9646.000610935875,8931.554112875032,14885.274922420835,14885.274922420835,65536.0,65536.0,26037.867607994198,65536.0,5812.045755267206,5812.045755267206,5022.83018303477,5022.83018303477,12556.251540408359,65536.0,65536.0,14634.035235477146,65536.0,3698.3617214896512,3698.3617214896512,2739.607558487833,6848.5539653768465,6848.5539653768465,65536.0,65536.0,7981.837428793979,65536.0,13013.100058070033,3123.308943830835,4819.803327119454,4819.803327119454,4819.803327119454,65536.0,65536.0,5617.3738382134225,65536.0,5941.093945476425,1425.9384937424293,2200.4680844190366,2200.4680844190366,2200.4680844190366,65536.0,65536.0,2564.5965882148244,65536.0,22370.943691172077,5369.306046552494,8285.76630714385,8285.76630714385,8285.76630714385,65536.0,65536.0,9656.87765508817
Frequencies backward grid5,,,,,,,,,,65536.0,8136.644346788232,8136.644346788232,7031.742547520076,7031.742547520076,17578.532439633425,65536.0,65536.0,20487.429611910986,65536.0,5177.5824279175995,5177.5824279175995,3835.3266017939427,9587.851566631676,9587.851566631676,65536.0,65536.0,11174.448414962055,65536.0,18218.253274526207,4372.54571711229,6747.637852514593,6747.637852514593,6747.637852514593,65536.0,65536.0,7864.236567728094,65536.0,8317.49155085596,1996.2739196668836,3080.6153460537075,3080.6153460537075,3080.6153460537075,65536.0,65536.0,3590.395251217516,65536.0,31319.17402783364,7516.881329584529,11599.925692369377,11599.925692369377,11599.925692369377,65536.0,65536.0,13519.481578975125
Frequencies backward grid6,,,,,,,,,,65536.0,12785.841524431838,12785.841524431838,11049.567270263373,11049.567270263373,27623.094235464625,65536.0,65536.0,32194.218362539585,65536.0,8136.023838057545,8136.023838057545,6026.764684762012,15066.446767662303,15066.446767662303,65536.0,65536.0,17559.670386028447,65536.0,28628.559707000168,6871.019262117228,10603.30690224929,10603.30690224929,10603.30690224929,65536.0,65536.0,12357.962025880577,65536.0,13070.28676143725,3136.944770783244,4840.909868830683,4840.909868830683,4840.909868830683,65536.0,65536.0,5641.992576805486,65536.0,49215.63470041959,11812.031892985902,18228.244461150298,18228.244461150298,18228.244461150298,65536.0,65536.0,21244.689425282002
Frequencies backward grid7,,,,,,,,,,65536.0,17435.03869966,17435.03869966,15067.391990198219,15067.391990198219,37667.65603029708,65536.0,65536.0,43901.00711260044,65536.0,11094.465247025146,11094.465247025146,8218.202766101153,20545.041968064605,20545.041968064605,65536.0,65536.0,23944.89235654539,65536.0,39038.86613920652,9369.492806415708,14458.975951528024,14458.975951528024,14458.975951528024,65536.0,65536.0,16851.68748361234,65536.0,17823.081972056993,4277.615621592935,6601.204391408641,6601.204391408641,6601.204391408641,65536.0,65536.0,7693.589902261288,65536.0,65536.0,16107.182455237864,24856.56322909094,24856.56322909094,24856.56322909094,65536.0,65536.0,28969.89727092497
Frequencies backward grid8,,,,,,,,,,65536.0,20921.93658050782,20921.93658050782,18080.76052947859,18080.76052947859,45201.07737624433,65536.0,65536.0,52681.09867435777,65536.0,13313.296303445573,13313.296303445573,9861.781326708258,24653.988368231738,24653.988368231738,65536.0,65536.0,28733.8088344391,65536.0,46846.5959631601,11243.34796445438,17350.727738383684,17350.727738383684,17350.727738383684,65536.0,65536.0,20221.98157672374,65536.0,21387.67837986553,5133.118759595582,7921.425283300245,7921.425283300245,7921.425283300245,65536.0,65536.0,9232.287896301332,65536.0,65536.0,19328.54537663272,29827.802305074,29827.802305074,29827.802305074,65536.0,65536.0,34763.803155122936
Frequencies backward grid9,,,,,,,,,,65536.0,25571.133754518924,25571.133754518924,22098.585247986757,22098.585247986757,55245.639170555,65536.0,65536.0,64387.887423621025,65536.0,16271.737711798904,16271.737711798904,12053.219407200913,30132.583568244918,30132.583568244918,65536.0,65536.0,35119.03080474535,65536.0,57256.90239558261,13741.821508373107,21206.396787594203,21206.396787594203,21206.396787594203,65536.0,65536.0,24715.707034426418,65536.0,26140.473590702884,6273.789610246891,9681.719805811686,9681.719805811686,9681.719805811686,65536.0,65536.0,11283.885221562772,65536.0,65536.0,23623.695938386394,36456.12107261481,36456.12107261481,36456.12107261481,65536.0,65536.0,42489.01100007879
Frequencies backward grid10,,,,,,,,,,65536.0,30220.330928199935,30220.330928199935,26116.409966266117,26116.409966266117,65290.200964363954,65536.0,65536.0,65536.0,65536.0,19230.1791200106,19230.1791200106,14244.657487563067,35611.17876840851,35611.17876840851,65536.0,65536.0,41504.25277471908,65536.0,65536.0,16240.295052214517,25062.065836560167,25062.065836560167,25062.065836560167,65536.0,65536.0,29209.432492013344,65536.0,30893.26880043359,7414.460460822171,11442.014328212696,11442.014328212696,11442.014328212696,65536.0,65536.0,13335.48254691276,65536.0,65536.0,27918.846499861975,43084.43984028982,43084.43984028982,43084.43984028982,65536.0,65536.0,50214.21884546187
Frequencies backward grid11,,,,,,,,,,65536.0,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,65536.0,65536.0,65536.0,65536.0,65536.0,22188.620528023996,22188.620528023996,16436.095567779656,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,65536.0,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,65536.0,65536.0,33703.157949091255,65536.0,35646.06401075511,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,65536.0,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,65536.0,65536.0,57939.42669078791
Frequencies backward fft,0,40,40,200,40,40,65536,65536,40,0,40,40,200,40,40,65536,65536,40,0,40,40,200,40,40,65536,65536,40,0,40,40,200,40,40,65536,65536,40,0,40,40,200,40,40,65536,65536,40,0,40,40,200,40,40,65536,65536,40
Channels out,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],9563013120.0,5864318807.109659,5864318807.109659,2172059316.6796484,2172059316.6796484,2172059316.6796484,9563013120.0,9563013120.0,3799445641.3585134,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,5724099012.113521,5724099012.113521,5724099012.113521,9129632914.285711,9129632914.285711,6671345899.688616,9129632914.285711,9129632914.285711,9129632914.285711,4028447024.791589,4028447024.791589,4028447024.791589,9129632914.285711,9129632914.285711,4695090639.150906,9129632914.285711,4965751331.441119,4965751331.441119,1839175925.113782,1839175925.113782,1839175925.113782,9129632914.285711,9129632914.285711,2143530133.8978565,9129632914.285711,9129632914.285711,9129632914.285711,6925342365.15854,6925342365.15854,6925342365.15854,9129632914.285711,9129632914.285711,8071375991.074544
Visibilities pred0 [1/s],423194095.29833394,3898909.7686805115,3898909.7686805115,3610566.5099345464,6013426.209746044,6013426.209746044,423194095.29833394,423194095.29833394,10514494.658907427,135537061.88217583,1380426.127200172,1380426.127200172,1193049.3754058974,1193049.3754058974,5194504.459698254,241609545.09431344,241609545.09431344,6894754.097365012,129233012.49230719,878364.8719142413,878364.8719142413,650736.0136811625,2701475.4615029697,2701475.4615029697,241609545.09431344,241609545.09431344,3658984.7084382386,129233012.49230719,13793730.73993157,802756.2030187271,1901214.2263311914,1901214.2263311914,1901214.2263311914,241609545.09431344,241609545.09431344,2575079.8170330343,129233012.49230719,6297492.288485194,361027.006431184,867995.5239481956,867995.5239481956,867995.5239481956,241609545.09431344,241609545.09431344,1175647.1780002387,132309988.98021924,25293771.883566186,1401250.4768138842,3346204.572217696,3346204.572217696,3346204.572217696,241609545.09431344,241609545.09431344,4549800.775197803
Visibilities pred1 [1/s],114272824.42294133,2103908.1099164425,2103908.1099164425,1948188.6617438558,3245850.622990184,3245850.622990184,158712256.14297408,158712256.14297408,7884234.488190668,16943190.18133356,202896.14626911085,202896.14626911085,152479.1524060275,152479.1524060275,973959.3785321348,30497742.32640041,30497742.32640041,1277000.7793841718,16338076.246285932,146156.6914307622,146156.6914307622,80339.89992703368,512255.9181162916,512255.9181162916,30497742.32640041,30497742.32640041,696516.25979076,16338076.246285932,2725197.2497131005,148673.28625751112,360509.88903182204,360509.88903182204,360509.88903182204,30497742.32640041,30497742.32640041,490186.6790763639,15774694.306758832,1244181.4966753393,67876.49304247288,158914.4412948062,158914.4412948062,158914.4412948062,30497742.32640041,30497742.32640041,223793.55493236345,16338076.246285932,4684909.876781806,261528.72127537525,619754.8102962134,619754.8102962134,619754.8102962134,30497742.32640041,30497742.32640041,842683.2444894245
Visibilities pred2 [1/s],185760223.496212,4307566.714396377,4307566.714396377,3988616.360699523,10550057.015961478,10550057.015961478,325080391.118371,325080391.118371,32292743.65489805,12829654.151994275,202303.34988610938,202303.34988610938,151300.85607865886,151300.85607865886,983294.282722995,23326643.91271687,23326643.91271687,1273330.2243926341,12218718.239994548,144820.14907678566,144820.14907678566,79468.18467283611,510780.22530093713,510780.22530093713,23326643.91271687,23326643.91271687,694513.4728711677,12218718.239994548,2547573.082461842,148242.00122568136,359471.41212638334,359471.41212638334,359471.41212638334,23326643.91271687,23326643.91271687,488777.26115698373,12218718.239994548,1163087.520211601,67679.55698447204,164115.7898017099,164115.7898017099,164115.7898017099,23326643.91271687,23326643.91271687,223150.02669417372,12218718.239994548,5005206.292275599,262807.53401011054,617969.8828480857,617969.8828480857,617969.8828480857,23326643.91271687,23326643.91271687,840260.6834318141
Visibilities pred3 [1/s],543000914.0593877,19982587.47471348,19982587.47471348,18502694.34056612,61670274.12311563,61670274.12311563,814501371.0890816,814501371.0890816,161809320.91224793,35369793.25712924,815609.5907955309,815609.5907955309,621939.9163912926,621939.9163912926,4066085.569417815,65686758.90609715,65686758.90609715,5133823.233071993,32843379.453048576,598835.4400217881,598835.4400217881,320380.29900063045,2059354.6444422188,2059354.6444422188,65686758.90609715,65686758.90609715,2800142.08232656,32843379.453048576,10956271.520995626,597667.4076396402,1449310.740372245,1449310.740372245,1449310.740372245,65686758.90609715,65686758.90609715,1970654.3650647239,32843379.453048576,5002055.186003113,272863.5938030973,661679.0430236668,661679.0430236668,661679.0430236668,65686758.90609715,65686758.90609715,899697.0342032574,32843379.453048576,18835027.31819143,1076380.6748161563,2491521.7980919504,2491521.7980919504,2491521.7980919504,65686758.90609715,65686758.90609715,3387768.3391659586
Visibilities pred4 [1/s],624551447.5564055,30641803.205820575,30641803.205820575,28372268.931704037,141855163.57533252,141855163.57533252,624551447.5564055,624551447.5564055,248138243.19236475,80653573.9505958,3178997.5458895536,3178997.5458895536,2472590.3662639125,2472590.3662639125,15452675.814157227,161307147.9011916,161307147.9011916,20582576.085731383,80653573.9505958,2275742.268373248,2275742.268373248,1284407.208043327,8428350.123614008,8428350.123614008,161307147.9011916,161307147.9011916,11226348.27226682,80653573.9505958,42706422.032066,2365403.6665397524,5931615.662706857,5931615.662706857,5931615.662706857,161307147.9011916,161307147.9011916,7900761.653677602,80653573.9505958,19497495.92606282,1079918.8303227935,2708062.9787081396,2708062.9787081396,2708062.9787081396,161307147.9011916,161307147.9011916,3607071.020177002,80653573.9505958,73417015.02850594,4066384.862238983,10197092.675637536,10197092.675637536,10197092.675637536,161307147.9011916,161307147.9011916,13582270.090794325
Visibilities pred5 [1/s],,,,,,,,,,67894155.17170751,3512259.126395142,3512259.126395142,2601701.0260926704,2601701.0260926704,18211053.606374603,113156925.2861792,113156925.2861792,21224620.439766232,56578462.6430896,2438129.666244116,2438129.666244116,1324443.8651345603,8277372.767488989,8277372.767488989,113156925.2861792,113156925.2861792,11576534.036921306,56578462.6430896,47184483.138204604,2516600.692859284,5825362.795526034,5825362.795526034,5825362.795526034,113156925.2861792,113156925.2861792,8147212.186223567,56578462.6430896,21541941.146590453,1148947.239067045,2659553.2268436924,2659553.2268436924,2659553.2268436924,113156925.2861792,113156925.2861792,3719586.9798877533,56578462.6430896,81115297.74839206,4326310.114526732,10014434.241460206,10014434.241460206,10014434.241460206,113156925.2861792,113156925.2861792,14005947.573302893
Visibilities pred6 [1/s],,,,,,,,,,172778918.8810674,12640708.211379956,12640708.211379956,9710348.953550885,9710348.953550885,72825444.91811253,259168378.32160106,259168378.32160106,84876743.2083221,172778918.8810674,9192766.9158729,9192766.9158729,5296314.934202967,39721136.22887947,39721136.22887947,259168378.32160106,259168378.32160106,46294263.69027542,172778918.8810674,226428753.4468495,9057367.551571686,27954527.33054797,27954527.33054797,27954527.33054797,259168378.32160106,259168378.32160106,32580494.970778372,172778918.8810674,103375397.46581979,4135116.013225911,12762560.631366808,12762560.631366808,12762560.631366808,259168378.32160106,259168378.32160106,14874532.741629936,172778918.8810674,389255866.4970722,18684723.81828728,48056890.42812123,48056890.42812123,48056890.42812123,259168378.32160106,259168378.32160106,56009437.11645918
Visibilities pred7 [1/s],,,,,,,,,,247696607.56766066,21965535.170067646,21965535.170067646,18982655.23714316,18982655.23714316,142366800.13626283,495393215.1353213,495393215.1353213,165926064.0044383,247696607.56766066,16772835.720614238,16772835.720614238,8874603.033736836,77651019.2539187,77651019.2539187,495393215.1353213,495393215.1353213,90500924.76332246,247696607.56766066,295098715.3921348,17706234.609823387,54648426.69824035,54648426.69824035,54648426.69824035,495393215.1353213,495393215.1353213,63691800.25453468,247696607.56766066,134726469.14303124,8083731.673789978,24949583.94794715,24949583.94794715,24949583.94794715,495393215.1353213,495393215.1353213,29078309.918318648,247696607.56766066,495393215.1353213,30438953.03066835,93946630.6707288,93946630.6707288,93946630.6707288,495393215.1353213,495393215.1353213,109493183.52648537
Visibilities pred8 [1/s],,,,,,,,,,78429454.8566042,10015234.866660608,10015234.866660608,8655176.951414868,8655176.951414868,54093869.89669842,156858909.7132084,156858909.7132084,63045499.42439047,78429454.8566042,7966267.176999512,7966267.176999512,3933991.156864256,29504377.254661195,29504377.254661195,156858909.7132084,156858909.7132084,34386855.51206873,78429454.8566042,112126250.71039556,8970231.64484932,20764284.025372215,20764284.025372215,20764284.025372215,156858909.7132084,156858909.7132084,24200424.05979517,78429454.8566042,51190916.62540385,4095333.9236377953,9479874.674324946,9479874.674324946,9479874.674324946,156858909.7132084,156858909.7132084,11048634.441927165,78429454.8566042,156858909.7132084,15420809.703170182,35696079.62581659,35696079.62581659,35696079.62581659,156858909.7132084,156858909.7132084,41603181.91831343
Visibilities pred9 [1/s],,,,,,,,,,137193016.99216768,13382648.421068983,13382648.421068983,11565290.761680273,11565290.761680273,115651182.76167476,137193016.99216768,137193016.99216768,134789558.92026702,137193016.99216768,11354414.81723492,11354414.81723492,6308050.28893448,63079529.56384488,63079529.56384488,137193016.99216768,137193016.99216768,73518154.7537825,137193016.99216768,119861559.80340657,9589039.874784175,44393456.34190463,44393456.34190463,44393456.34190463,137193016.99216768,137193016.99216768,51739843.98113254,137193016.99216768,54722449.30286577,4377848.941059809,20267705.533327166,20267705.533327166,20267705.533327166,137193016.99216768,137193016.99216768,23621677.504570484,137193016.99216768,137193016.99216768,24726914.354651242,76317218.59411265,76317218.59411265,76317218.59411265,137193016.99216768,137193016.99216768,88946466.18826613
