,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04a (PSS) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05a (PST) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Max Baseline [km],65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,150,150,150,150,150,150,150,150,65,65,65,65,150,150,150,150,35,35,35,35,35,35,35,25,25,25,25,25,25,25,15,15,15,15,15,15,15,150,150,150,150,150,150,150,150,150,150,30,30,30,30,30,30,20,20,20,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,150,150,150,150,150,150,150,150,150,150,150,150,65,65,65,65,65,65,65,65,65,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,9.375,0.14,0.14,0.14,9.375,0.14,0.14,0.14,9.375,0.9,0.9,0.9,(undefined),0.14,0.14,0.14,(undefined),0.325443881732539,0.325443881732539,0.251311194344417,0.325443881732539,0.325443881732539,0.325443881732539,0.17858140492112,0.446886666948459,0.446886666948459,0.345090592607027,0.446886666948459,0.446886666948459,0.446886666948459,0.264192318565798,0.760169657553343,0.760169657553343,0.587011018695751,0.760169657553343,0.760169657553343,0.760169657553343,0.455336081013013,0.14,0.14,0.14,10,0.14,0.14,0.14,0.14,0.14,0.14,0.364635482708822,0.364635482708822,0.281575361540266,0.364635482708822,0.364635482708822,0.364635482708822,0.544405194185819,0.544405194185819,0.420395426793065,0.544405194185819,0.544405194185819,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,2400,2400,2400,2400,600,600,600,600,600,600,600,600,2400,2400,2400,2400,900,900,900,900,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,15840,15840,15840,15840,15840,15840,15840,60,60,60,60,28800,28800,28800,28800,28800,28800,444,444,444,444,444,444,7920,7920,7920,7920,7920,13680,13680,13680,13680,13680,13680,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Pointing Time [s],7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,720000,720000,720000,720000,720000,720000,720000,720000,72000,72000,72000,72000,72000,72000,72000,72000,2400,2400,2400,2400,600,600,600,600,600,600,600,600,2400,2400,2400,2400,900,900,900,900,3600000,3600000,3600000,3600000,3600000,3600000,3600000,720000,720000,720000,720000,720000,720000,720000,15840,15840,15840,15840,15840,15840,15840,60,60,60,60,2160000,2160000,2160000,2160000,2160000,2160000,444,444,444,444,444,444,7920,7920,7920,7920,7920,13680,13680,13680,13680,13680,13680,342000,342000,342000,342000,342000,342000,7200000,7200000,7200000,7200000,7200000,7200000,59040,59040,59040,59040,59040,59040,3600000,3600000,3600000,3600000,3600000,3600000,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Total Time [s],18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,45900000,45900000,45900000,45900000,2880000,2880000,2880000,2880000,8640000,8640000,8640000,8640000,15480000,15480000,15480000,15480000,5760000,5760000,5760000,5760000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,45360000,45360000,45360000,45360000,45360000,45360000,45360000,36000000,36000000,36000000,36000000,21600000,21600000,21600000,21600000,21600000,21600000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Snapshot Time [s],600,600,1,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,600,600,600,1,600,600,600,600,600,600,1,600,600,600,600,600,600,1,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600
Facets,(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,(undefined),(undefined),7,1,(undefined),(undefined),7,1,(undefined),(undefined),1,1,(undefined),(undefined),7,1,(undefined),(undefined),5,1,5,1,1,1,(undefined),5,1,3,1,1,1,(undefined),5,1,1,1,1,1,(undefined),7,1,(undefined),(undefined),5,1,5,1,1,(undefined),4,1,1,1,1,(undefined),4,1,1,1,(undefined),6,1,4,3,3,(undefined),6,1,6,3,3,(undefined),6,1,6,3,3,(undefined),5,1,4,1,1,(undefined),5,1,5,1,1,(undefined),1,1,1,1,1,1,1,(undefined),(undefined),9,1,9,3,3,4,6,(undefined),(undefined),7,1,7,3,3,4,4,(undefined),(undefined),5,1,5,1,2,2,1,(undefined),(undefined),5,1,5,1,1,1,1,(undefined),(undefined),5,1,5,1,2,1,1,(undefined),(undefined),4,1,4,1,1,1,1,(undefined)
w-stacking planes,(undefined),167.45099337112,1.40694957919482,167.450993371073,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),167.45099337112,1.40694957919482,116.8430307645,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),167.45099337112,1.40694957919482,116.8430307645,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),75.9171449787909,1.00000012289409,(undefined),(undefined),7.08596497661935,1.00000002090536,(undefined),(undefined),3.63754517832443,1.00000002261199,(undefined),(undefined),75.9171449787909,1.00000012289409,(undefined),(undefined),6.26827589342293,1.00000002212486,(undefined),(undefined),5.33477715811608,1.00000010191355,5.33477744486146,10.4937694760151,8.03862284224459,4.41845650551635,(undefined),3.86430900203846,1.00000008856851,4.29995569366651,7.72743690429674,4.47798518368726,2.24910804626129,(undefined),2.63336890808356,1.00000024934375,10.4763045943103,5.85703163760322,4.35638164402923,1.88232345826188,(undefined),7.08596497661935,1.00000002090536,(undefined),(undefined),1.00000001508916,1.0000000241278,1.00000001508916,5.04787587936931,1.00000002015386,(undefined),8.09663627885466,1.00000010202973,9.95782682092426,11.4736672214571,5.35181685114688,(undefined),17.1003250398742,1.00000041885349,21.4083649510688,12.9424063136784,(undefined),7.00563996366731,1.00000002191395,7.00564020374014,6.61907029480653,2.99460161347313,(undefined),7.00563996366731,1.00000002191395,7.00564020165595,6.61907015615379,2.994601660219,(undefined),7.00563996366731,1.00000002191395,7.00564020165595,6.61907015615379,2.994601660219,(undefined),1.00000001508528,1.00000002409502,1.00000002120759,5.64520846232473,1.00000001671921,(undefined),1.00000001508528,1.00000002409502,1.00000001508528,5.64520846232473,1.00000001671921,(undefined),179.274817106427,1.50145207815704,179.274817107308,79.0631732688551,72.5825467875117,48.0313550377509,21.2565281256311,(undefined),(undefined),10.764896308936,1.00000003637415,10.7648963603005,14.7866087011225,11.9824325590989,5.90056458128801,1.00000002966307,(undefined),(undefined),6.26827589342293,1.00000002212486,6.26827580771849,6.78584065308586,5.29933980754435,1.0000000299531,1.00000002043186,(undefined),(undefined),2.44277506020867,1.00000002394026,2.44277502346897,7.30281757054743,1.00000001506631,1.00000002525581,1.00000001763611,(undefined),(undefined),1.00000001507758,1.00000002403677,1.00000001507758,5.32444525179343,3.53017510790903,1.00000001507758,1.00000001976905,(undefined),(undefined),1.00000001526179,1.00000002412628,1.00000001526179,4.21623947486391,1.0000000263538,1.00000001892639,1.0000000216763,(undefined),(undefined),1.00000001889073,1.00000002421171,1.00000001889073,2.42548180308019,1.00000001509921,1.00000001865414,1.00000002288021,(undefined)
w-stacking planes predict,(undefined),167.45099337112,1.40694957919482,167.450993371073,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),167.45099337112,1.40694957919482,116.8430307645,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),167.45099337112,1.40694957919482,116.8430307645,73.0389398559282,44.6228548907451,48.0983691410336,(undefined),(undefined),75.9171449787909,1.00000012289409,(undefined),(undefined),7.08596497661935,1.00000002090536,(undefined),(undefined),3.63754517832443,1.00000002261199,(undefined),(undefined),75.9171449787909,1.00000012289409,(undefined),(undefined),6.26827589342293,1.00000002212486,(undefined),(undefined),5.33477715811608,1.00000010191355,5.33477744486146,10.4937694760151,8.03862284224459,4.41845650551635,(undefined),3.86430900203846,1.00000008856851,4.29995569366651,7.72743690429674,4.47798518368726,2.24910804626129,(undefined),2.63336890808356,1.00000024934375,10.4763045943103,5.85703163760322,4.35638164402923,1.88232345826188,(undefined),7.08596497661935,1.00000002090536,(undefined),(undefined),1.00000001508916,1.0000000241278,1.00000001508916,5.04787587936931,1.00000002015386,(undefined),8.09663627885466,1.00000010202973,9.95782682092426,11.4736672214571,5.35181685114688,(undefined),17.1003250398742,1.00000041885349,21.4083649510688,12.9424063136784,(undefined),7.00563996366731,1.00000002191395,7.00564020374014,6.61907029480653,2.99460161347313,(undefined),7.00563996366731,1.00000002191395,7.00564020165595,6.61907015615379,2.994601660219,(undefined),7.00563996366731,1.00000002191395,7.00564020165595,6.61907015615379,2.994601660219,(undefined),1.00000001508528,1.00000002409502,1.00000002120759,5.64520846232473,1.00000001671921,(undefined),1.00000001508528,1.00000002409502,1.00000001508528,5.64520846232473,1.00000001671921,(undefined),179.274817106427,1.50145207815704,179.274817107308,79.0631732688551,72.5825467875117,48.0313550377509,21.2565281256311,(undefined),(undefined),10.764896308936,1.00000003637415,10.7648963603005,14.7866087011225,11.9824325590989,5.90056458128801,1.00000002966307,(undefined),(undefined),6.26827589342293,1.00000002212486,6.26827580771849,6.78584065308586,5.29933980754435,1.0000000299531,1.00000002043186,(undefined),(undefined),2.44277506020867,1.00000002394026,2.44277502346897,7.30281757054743,1.00000001506631,1.00000002525581,1.00000001763611,(undefined),(undefined),1.00000001507758,1.00000002403677,1.00000001507758,5.32444525179343,3.53017510790903,1.00000001507758,1.00000001976905,(undefined),(undefined),1.00000001526179,1.00000002412628,1.00000001526179,4.21623947486391,1.0000000263538,1.00000001892639,1.0000000216763,(undefined),(undefined),1.00000001889073,1.00000002421171,1.00000001889073,2.42548180308019,1.00000001509921,1.00000001865414,1.00000002288021,(undefined)
Stations/antennas,512,512, ,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Max Baseline [per bin]4 [km],65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,25,25,25,25,25,25,25,25,65,65,65,65,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,65,65,65,65,65,65,65,65,65,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Max Baseline [per bin]5 [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,,,,,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Max Baseline [per bin]6 [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,55,55,55,55,55,55,,,,,55,55,55,55,,,,,,,,,,,,,,,,,,,,,,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Max Baseline [per bin]7 [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,,,,,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Max Baseline [per bin]8 [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,,,,,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Max Baseline [per bin]9 [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,110,110,110,110,110,110,,,,,110,110,110,110,,,,,,,,,,,,,,,,,,,,,,110,110,110,110,110,110,110,110,110,110,,,,,,,,,,,,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,,,,,,,,,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
