,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
AW kernel support pred8 [uv-pixels],,12.208887041470803,9.621786432414588,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,24.44828518877773,,,,,,12.440621518797368,14.341037019571939,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,20.78595204803272,,,,,,11.75132309156975,9.260996111440088,11.75132309156975,10.739108872277779,12.086388085984629,10.658890452428022,17.103214861592683,,,,,,11.940885116387925,24.184442114749086,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,25.999507934663086,,,,,,,,,,,,,,,,
AW kernel support pred9 [uv-pixels],,12.208887041470803,10.108497222930314,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,27.95410505886588,,,,,,12.440621518797368,17.59492234360183,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,23.594336873849375,,,,,,12.580411960013409,9.471773258420326,12.580411960013409,10.739108872277779,12.086388085984629,10.658890452428022,19.17016335795975,,,,,,11.940885116387925,31.735412541367545,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,29.79310729463404,,,,,,,,,,,,,,,,
AW kernel support pred10 [uv-pixels],,12.208887041470803,10.771794827614748,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,31.361008563434726,,,,,,12.440621518797368,21.445374820275426,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,26.338708939246857,,,,,,13.431749838076566,9.76756971802889,13.431749838076566,10.739108872277779,12.086388085984629,10.658890452428022,21.21048803138621,,,,,,11.940885116387925,40.24747556765276,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,33.473683904931534,,,,,,,,,,,,,,,,
AW kernel support pred11 [uv-pixels],,12.208887041470803,11.615496613401229,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,34.67858212832292,,,,,,12.440621518797368,25.797740119674547,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,29.021284296488684,,,,,,14.29603656872341,10.156848661790557,14.29603656872341,10.739108872277779,12.086388085984629,10.658890452428022,23.219150876055128,,,,,,11.940885116387925,49.60397856375254,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,37.05386238525481,,,,,,,,,,,,,,,,
W kernel support bw0 [uv-pixels],(undefined),1.3393310873201896,0.04437222120494535,1.3393310873201896,2.5708987391485207,2.5708987391485207,2.5708987391485207,2.5708987391485207,(undefined),(undefined),(undefined),(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,8.428362862131104,2.1220005645786215,(undefined),(undefined),(undefined),(undefined),(undefined),0.8597275257414515,0.028498398312872472,0.8597275257414515,1.6497399745642367,1.6497399745642367,1.6497399745642367,1.6497399745642367,(undefined),(undefined),(undefined),(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,4.250412779826403,2.7572079624093724,(undefined),(undefined),(undefined),(undefined),(undefined),8.501936139695557,0.17264561380323334,8.50193613973119,3.5284599579173417,3.7629388966970474,2.72359264763942,9.48976639102562,(undefined),(undefined),(undefined),(undefined)
W kernel support bw1 [uv-pixels],,1.8163020199397306,0.0815270165196709,1.8163020199397306,3.487465434952581,3.487465434952581,3.487465434952581,3.487465434952581,,,,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,10.428781586980152,2.8782467508693417,,,,,,1.1657407364513963,0.05235970220776285,1.1657407364513963,2.237432186363181,2.237432186363181,2.237432186363181,2.237432186363181,,,,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,5.767610431797001,3.7403418662365673,,,,,,8.501936139695557,0.4886127695866622,8.50193613973119,3.5284599579173417,3.7629388966970474,2.72359264763942,9.48976639102562,,,,
W kernel support bw2 [uv-pixels],,2.254692059138452,0.12553451036887592,2.254692059138452,4.330260771504332,4.330260771504332,4.330260771504332,4.330260771504332,,,,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,10.428781586980152,3.5735223925939597,,,,,,1.4469432867746808,0.08062042673204613,1.4469432867746808,2.7776522823451204,2.7776522823451204,2.7776522823451204,2.7776522823451204,,,,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,6.21637090757951,4.6443996627123365,,,,,,8.501936139695557,1.3836854797576585,8.50193613973119,3.5284599579173417,3.7629388966970474,2.72359264763942,9.48976639102562,,,,
W kernel support bw3 [uv-pixels],,3.058317702532978,0.23067840457149283,3.058317702532978,5.87604300822231,5.87604300822231,5.87604300822231,5.87604300822231,,,,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,10.428781586980152,4.848504693355929,,,,,,1.9622926919359924,0.14813633609216087,1.9622926919359924,3.7680918044203335,3.7680918044203335,3.7680918044203335,3.7680918044203335,,,,,,7.847594367879539,1.5081053989072117,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,6.3026638291180355,,,,,,8.501936139695557,3.923139052367293,8.50193613973119,3.5284599579173417,3.7629388966970474,2.72359264763942,9.48976639102562,,,,
W kernel support bw4 [uv-pixels],,4.491450032959311,0.4965851642461371,4.491450032959311,6.918814271209902,8.63507185423321,6.684684058719539,8.63507185423321,,,,,,8.58889188277301,1.6232843182302834,8.588891971322177,6.492624085049164,7.123522881883418,10.428781586980152,7.123522881883418,,,,,,2.880954845597861,0.31885546961578276,2.880954845597861,5.534796000900344,5.534796000900344,5.534796000900344,5.534796000900344,,,,,,7.847594367879539,3.2504789400702174,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,9.262802364061878,,,,,,8.501936139695557,8.205728526153743,8.50193613973119,3.5284599579173417,3.7629388966970474,2.72359264763942,9.48976639102562,,,,
W kernel support bw5 [uv-pixels],,5.786317549875458,0.8229989122858454,5.786317549875458,6.918814271209902,9.40631683636315,6.684684058719539,11.130267126418934,,,,,,8.58889188277301,2.6918738823714676,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,9.180335103804005,,,,,,3.710614279084804,0.5283782791586031,3.710614279084804,5.859049357245195,7.1314679815597115,5.710686970659595,7.1314679815597115,,,,,,7.847594367879539,5.393608468909343,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,11.940214119480446,,,,,,,,,,,,,,,,
W kernel support bw6 [uv-pixels],,8.134085236082857,1.6228094745009816,8.134085236082857,6.918814271209902,9.40631683636315,6.684684058719539,15.659446201481165,,,,,,8.58889188277301,5.3141007609900734,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,12.912369072481756,,,,,,5.214094730174852,1.04160879330389,5.214094730174852,5.859049357245195,8.067265767596302,5.710686970659595,10.027340413163909,,,,,,7.847594367879539,10.660900155535018,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,16.80087114053382,,,,,,,,,,,,,,,,
W kernel support bw7 [uv-pixels],,8.249661980432512,2.5866690447013077,8.249661980078404,6.918814271209902,9.40631683636315,6.684684058719539,19.80008812213751,,,,,,8.58889188277301,8.480213015296309,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,16.322818562999526,,,,,,6.586074491783982,1.659853459609009,6.586074491783982,5.859049357245195,8.067265767596302,5.710686970659595,12.672410668077886,,,,,,7.847594367879539,17.033516289096198,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,21.245291400610682,,,,,,,,,,,,,,,,
W kernel support bw8 [uv-pixels],,8.249661980432512,3.4027597844980835,8.249661980078404,6.918814271209902,9.40631683636315,6.684684058719539,22.731446251213505,,,,,,8.58889188277301,11.165363531776867,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,18.736483195709795,,,,,,7.556030333611721,2.1831282546173125,7.556030333611721,5.859049357245195,8.067265767596302,5.710686970659595,14.543725746926224,,,,,,7.847594367879539,22.447432824304194,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,24.39209734411145,,,,,,,,,,,,,,,,
W kernel support bw9 [uv-pixels],,8.249661980432512,4.602359840993516,8.249661980078404,6.918814271209902,9.40631683636315,6.684684058719539,26.465675688372496,,,,,,8.58889188277301,15.118905128261733,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,21.810381301496964,,,,,,8.790151596169911,2.952031276752738,8.790151596169911,5.859049357245195,8.067265767596302,5.710686970659595,16.92616800019611,,,,,,7.847594367879539,30.432489368613744,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,28.401219027879353,,,,,,,,,,,,,,,,
W kernel support bw10 [uv-pixels],,8.249661980432512,5.918746810620287,8.249661980078404,6.918814271209902,9.40631683636315,6.684684058719539,30.041851775744888,,,,,,8.58889188277301,19.465459182410857,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,24.753334898279107,,,,,,9.97055182588556,3.7954470351402545,9.97055182588556,5.859049357245195,8.067265767596302,5.710686970659595,19.206374007854205,,,,,,7.847594367879539,39.22829705160302,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,32.24108425855546,,,,,,,,,,,,,,,,
W kernel support bw11 [uv-pixels],,8.249661980432512,7.343007665523398,8.249661980078404,6.918814271209902,9.40631683636315,6.684684058719539,33.49035769338449,,,,,,8.58889188277301,24.176918647384856,8.588891971322177,6.492624085049164,7.8224102715551345,10.428781586980152,27.59048644401944,,,,,,11.107504741132324,4.707608175976058,11.107504741132324,5.859049357245195,8.067265767596302,5.710686970659595,21.40394747248768,,,,,,7.847594367879539,48.78067946793302,7.8475942441708915,7.241139980025107,8.484905714354678,6.21637090757951,35.94424456940779,,,,,,,,,,,,,,,,
AW kernel support bw0 [uv-pixels],(undefined),9.099110273068586,9.00010938233612,9.099110273068586,9.359995743960328,9.359995743960328,9.359995743960328,9.359995743960328,(undefined),(undefined),(undefined),(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,12.330340649623222,9.246777081560472,(undefined),(undefined),(undefined),(undefined),(undefined),9.040969606105172,9.000045119815033,9.040969606105172,9.149953113741907,9.149953113741907,9.149953113741907,9.149953113741907,(undefined),(undefined),(undefined),(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.953190885284558,9.41287393668765,(undefined),(undefined),(undefined),(undefined),(undefined),12.380747882234795,9.001655764800468,12.380747882259266,9.666955553566284,9.754983810354355,9.403082309023755,13.078825106111,(undefined),(undefined),(undefined),(undefined)
AW kernel support bw1 [uv-pixels],,9.181446129430654,9.000369251004239,9.181446129430654,9.65206792143471,9.65206792143471,9.65206792143471,9.65206792143471,,,,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,13.775321607459343,9.449037218621267,,,,,,9.075183274437064,9.000152306401002,9.075183274437064,9.273947529966618,9.273947529966618,9.273947529966618,9.273947529966618,,,,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,10.689496250664648,9.746289410658912,,,,,,12.380747882234795,9.013253709876537,12.380747882259266,9.666955553566284,9.754983810354355,9.403082309023755,13.078825106111,,,,
AW kernel support bw2 [uv-pixels],,9.27812676576161,9.00087545260424,9.27812676576161,9.987550167545058,9.987550167545058,9.987550167545058,9.987550167545058,,,,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,13.775321607459343,9.683494322318285,,,,,,9.115571560529943,9.000361084601353,9.115571560529943,9.418882746993779,9.418882746993779,9.418882746993779,9.418882746993779,,,,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.938156483640235,10.127706957994118,,,,,,12.380747882234795,9.105744643184993,12.380747882259266,9.666955553566284,9.754983810354355,9.403082309023755,13.078825106111,,,,
AW kernel support bw3 [uv-pixels],,9.505435664377861,9.002955766099022,9.505435664377861,10.748389713556087,10.748389713556087,10.748389713556087,10.748389713556087,,,,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,13.775321607459343,10.222915325947607,,,,,,9.21143814009655,9.001219049332752,9.21143814009655,9.756972678374153,9.756972678374153,9.756972678374153,9.756972678374153,,,,,,11.940885116387925,9.125479817204852,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,10.98742787657206,,,,,,12.380747882234795,9.817892850515804,12.380747882259266,9.666955553566284,9.754983810354355,9.403082309023755,13.078825106111,,,,
AW kernel support bw4 [uv-pixels],,10.058485144323186,9.01368941251857,10.058485144323186,11.352091918210396,12.472548493702904,11.210932207666726,12.472548493702904,,,,,,12.440621518797368,9.14522017109552,12.440621579930907,11.09748473798277,11.478004105623794,13.775321607459343,11.478004105623794,,,,,,9.449862476373601,9.005646495977059,9.449862476373601,10.565697647177988,10.565697647177988,10.565697647177988,10.565697647177988,,,,,,11.940885116387925,9.568992284448766,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,12.915088371190896,,,,,,12.380747882234795,12.179243845367957,12.380747882259266,9.666955553566284,9.754983810354355,9.403082309023755,13.078825106111,,,,
AW kernel support bw5 [uv-pixels],,10.69960143126821,9.037550951979396,10.69960143126821,11.352091918210396,13.018402222471423,11.210932207666726,14.313729294123247,,,,,,12.440621518797368,9.39394405979691,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,12.856070652346933,,,,,,9.734919533727439,9.0154968585146,9.734919533727439,10.739108872277779,11.482936713751032,10.658890452428022,11.482936713751032,,,,,,11.940885116387925,10.492426426517872,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,14.952214324943322,,,,,,,,,,,,,,,,
AW kernel support bw6 [uv-pixels],,12.131089919205987,9.145135897871073,12.131089919205987,11.352091918210396,13.018402222471423,11.210932207666726,18.061513096556524,,,,,,12.440621518797368,10.451778169189934,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,15.739417875638964,,,,,,10.40128760563985,9.0600744411008,10.40128760563985,10.739108872277779,12.086388085984629,10.658890452428022,13.473958429558486,,,,,,11.940885116387925,13.951874143866355,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,19.059624106493338,,,,,,,,,,,,,,,,
AW kernel support bw7 [uv-pixels],,12.208887041470803,9.364339632179943,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,21.74956297594071,,,,,,12.440621518797368,12.365840561191177,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,18.639592426890722,,,,,,11.152415756746501,9.151781985349958,11.152415756746501,10.739108872277779,12.086388085984629,10.658890452428022,15.543165447887834,,,,,,11.940885116387925,19.26501173555068,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,23.07298001335896,,,,,,,,,,,,,,,,
AW kernel support bw8 [uv-pixels],,12.208887041470803,9.621786432414588,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,24.44828518877773,,,,,,12.440621518797368,14.341037019571939,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,20.78595204803272,,,,,,11.75132309156975,9.260996111440088,11.75132309156975,10.739108872277779,12.086388085984629,10.658890452428022,17.103214861592683,,,,,,11.940885116387925,24.184442114749086,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,25.999507934663086,,,,,,,,,,,,,,,,
AW kernel support bw9 [uv-pixels],,12.208887041470803,10.108497222930314,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,27.95410505886588,,,,,,12.440621518797368,17.59492234360183,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,23.594336873849375,,,,,,12.580411960013409,9.471773258420326,12.580411960013409,10.739108872277779,12.086388085984629,10.658890452428022,19.17016335795975,,,,,,11.940885116387925,31.735412541367545,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,29.79310729463404,,,,,,,,,,,,,,,,
AW kernel support bw10 [uv-pixels],,12.208887041470803,10.771794827614748,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,31.361008563434726,,,,,,12.440621518797368,21.445374820275426,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,26.338708939246857,,,,,,13.431749838076566,9.76756971802889,13.431749838076566,10.739108872277779,12.086388085984629,10.658890452428022,21.21048803138621,,,,,,11.940885116387925,40.24747556765276,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,33.473683904931534,,,,,,,,,,,,,,,,
AW kernel support bw11 [uv-pixels],,12.208887041470803,11.615496613401229,12.208887041231527,11.352091918210396,13.018402222471423,11.210932207666726,34.67858212832292,,,,,,12.440621518797368,25.797740119674547,12.440621579930907,11.09748473798277,11.924349141841297,13.775321607459343,29.021284296488684,,,,,,14.29603656872341,10.156848661790557,14.29603656872341,10.739108872277779,12.086388085984629,10.658890452428022,23.219150876055128,,,,,,11.940885116387925,49.60397856375254,11.940885035086138,11.55136823975056,12.369059179318718,10.938156483640235,37.05386238525481,,,,,,,,,,,,,,,,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],2.4371111792501714,3992.962956083481,2.673175203113865,3992.962956083481,247.71091284289972,1238.5545642144984,2477.109128428997,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,2.6856449419211983,3992.962956083481,248.86642629217985,1244.3321314608993,2488.6642629217986,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,2.6928748517754095,3992.962956083481,249.53638883957703,1247.6819441978853,2495.3638883957706,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,3.3274691300695673,3992.962956083481,399.2962956083481,1996.4814780417405,3992.962956083481,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),1.938197383453901,1793.6021331725574,1.0759788814661595,1793.6021331725574,66.43267689547434,332.1633844773717,664.3267689547434,1.938197383453901,1.938197383453901,(undefined),(undefined),(undefined)
Snapshot vis size1 [GB],0.20515027395987012,336.11820885585126,0.2250215870046062,336.11820885585126,20.851720703281828,104.25860351640914,208.51720703281828,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.2260712602219436,336.11820885585126,20.94898910149954,104.74494550749769,209.48989101499538,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.22667985699008653,336.11820885585126,21.005384969407242,105.02692484703621,210.05384969407243,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.280098507379876,336.11820885585126,33.611820885585125,168.05910442792563,336.11820885585126,0.20515027395987012,0.20515027395987012,,,,0.5470305403666433,506.2204461156133,0.30368078812625693,506.2204461156133,18.749743163606066,93.74871581803035,187.4974316360607,0.5470305403666433,0.5470305403666433,,,
Snapshot vis size2 [GB],0.11399523758023662,186.7697972514597,0.12503707051490312,186.7697972514597,11.586613118500246,57.93306559250123,115.86613118500246,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.12562033928409516,186.7697972514597,11.640661957674821,58.203309788374106,116.40661957674821,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.12595851642534814,186.7697972514597,11.671999280489901,58.359996402449504,116.71999280489901,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.15564149770954974,186.7697972514597,18.67697972514597,93.38489862572985,186.7697972514597,0.11399523758023662,0.11399523758023662,,,,0.6188583073103874,572.6896494646255,0.34355555062161136,572.6896494646255,21.211675510761502,106.05837755380752,212.11675510761503,0.6188583073103874,0.6188583073103874,,,
Snapshot vis size3 [GB],0.19815417657747825,324.6558029045404,0.2173478320276446,324.6558029045404,20.140628946908485,100.70314473454242,201.40628946908484,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.21836170896790943,324.6558029045404,20.234580268463194,101.17290134231598,202.34580268463196,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.21894955118294182,324.6558029045404,20.289052907236318,101.4452645361816,202.8905290723632,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.2705465024204503,324.6558029045404,32.46558029045404,162.3279014522702,324.6558029045404,0.19815417657747825,0.19815417657747825,,,,0.7781021302734848,720.0534128250862,0.43195882263867114,720.0534128250862,26.669836546793665,133.34918273396832,266.69836546793664,0.7781021302734848,0.7781021302734848,,,
Snapshot vis size4 [GB],0.25124221122087453,411.63523886428084,0.275578092099095,411.63523886428084,25.536560669070294,127.68280334535146,255.36560669070292,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.2768635996204487,411.63523886428084,25.65568274957461,128.27841374787306,256.5568274957461,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.27760893227255135,411.63523886428084,25.72474930397572,128.6237465198786,257.2474930397572,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.343029365720234,411.63523886428084,41.16352388642808,205.81761943214042,411.63523886428084,0.25124221122087453,0.25124221122087453,,,,0.3039236385955841,281.25003735955687,0.16872142099606735,281.25003735955687,10.417133495319039,52.0856674765952,104.1713349531904,0.3039236385955841,0.3039236385955841,,,
Snapshot vis size5 [GB],0.1841619814155425,301.7309903512248,0.20200032163810033,301.7309903512248,18.71844539379479,93.59222696897396,187.18445393794792,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.20294260602218797,301.7309903512248,18.8057625618352,94.028812809176,188.057625618352,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.20348893912982113,301.7309903512248,18.856388742229985,94.28194371114992,188.56388742229984,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.25144249195935403,301.7309903512248,30.173099035122483,150.8654951756124,301.7309903512248,0.1841619814155425,0.1841619814155425,,,,,,,,,,,,,,,
Snapshot vis size6 [GB],0.22778470753199823,373.2024648204259,0.24984844228995134,373.2024648204259,23.152311767641425,115.76155883820712,231.52311767641424,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.25101392699635805,373.2024648204259,23.26031188488456,116.3015594244228,232.6031188488456,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.2516896708506581,373.2024648204259,23.32292996493588,116.6146498246794,233.2292996493588,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.3110020540170216,373.2024648204259,37.32024648204259,186.60123241021296,373.2024648204259,0.22778470753199823,0.22778470753199823,,,,,,,,,,,,,,,
Snapshot vis size7 [GB],0.21852516663353272,358.03163301238004,0.2396920016102068,358.03163301238004,22.21116088868532,111.0558044434266,222.1116088868532,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.24081010888982116,358.03163301238004,22.314770757287587,111.57385378643795,223.1477075728759,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.2414583834819237,358.03163301238004,22.374843386946296,111.87421693473149,223.74843386946299,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.2983596941769833,358.03163301238004,35.803163301238,179.01581650619002,358.03163301238004,0.21852516663353272,0.21852516663353272,,,,,,,,,,,,,,,
Snapshot vis size8 [GB],0.07160711683747924,117.321100226526,0.07854314186656053,117.321100226526,7.2782335204410264,36.39116760220513,72.78233520441026,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.07890952730326609,117.321100226526,7.312184776860661,36.560923884303314,73.12184776860663,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.07912195626590957,117.321100226526,7.331869593383052,36.65934796691526,73.31869593383053,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.09776758352210499,117.321100226526,11.7321100226526,58.660550113263,117.321100226526,0.07160711683747924,0.07160711683747924,,,,,,,,,,,,,,,
Snapshot vis size9 [GB],0.057614921675543475,94.39628767321044,0.06319563147701626,94.39628767321044,5.8560499673273325,29.280249836636663,58.56049967327333,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.06349042435754461,94.39628767321044,5.883367070232665,29.41683535116333,58.83367070232666,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.06366134421278888,94.39628767321044,5.899205428376717,29.496027141883587,58.992054283767175,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.0786635730610087,94.39628767321044,9.439628767321043,47.19814383660522,94.39628767321044,0.057614921675543475,0.057614921675543475,,,,,,,,,,,,,,,
Snapshot vis size10 [GB],0.004321119125665762,7.079721575490785,0.004739672360776221,7.079721575490785,0.43920374754955005,2.1960187377477505,4.392037475495501,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.004761781826815847,7.079721575490785,0.44125253026745,2.20626265133725,4.4125253026745,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.004774600815959167,7.079721575490785,0.4424404071282539,2.2122020356412695,4.424404071282539,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.0058997679795756534,7.079721575490785,0.7079721575490785,3.5398607877453925,7.079721575490785,0.004321119125665762,0.004321119125665762,,,,,,,,,,,,,,,
Snapshot vis size11 [GB],0.001851908191607658,3.034166381129987,0.0020312881490175388,3.034166381129987,0.18823017700223138,0.9411508850111568,1.8823017700223137,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.002040763634436966,3.034166381129987,0.18910822673605318,0.9455411336802659,1.8910822673605319,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.002046257486911812,3.034166381129987,0.18961731681785113,0.9480865840892556,1.8961731681785112,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.0025284719842749892,3.034166381129987,0.3034166381129987,1.5170831905649935,3.034166381129987,0.001851908191607658,0.001851908191607658,,,,,,,,,,,,,,,
