,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
Oversampling used pred8 [1],,,62.271406806534536,63.99999999817551,63.999690175398776,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.61237966892747,63.99983029448414,64.0,63.999883505090175,63.99983029448414,64.0,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used pred9 [1],,,63.64040621944667,63.99999994552436,63.99999830998445,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.907407061210066,63.99999935562941,64.0,63.99999945555785,63.99999935562941,64.0,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10 [1],,,63.91022197326229,63.99999935123504,63.99999973453292,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.98589056919389,63.99999991730753,64.0,63.99999999989037,63.99999991730753,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11 [1],,,63.98587894119917,63.99999568174576,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323508273,63.999999999991815,64.0,63.999999999984944,63.999999999991815,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0 [1],1.8875423776844258,53.15078038174531,2.386806665596204,63.78544273780377,4.629448893870169,63.99999306179746,2.0366413702794404,1.8907049649289291,3.0916737351505006,3.590218935097198,1.704678135078467,1.8907049649289291,3.0916737351505006,3.590218935097198,1.704678135078467,1.8907049649289291,3.0916737351505006,3.590218935097198,6.259067394034503,13.981489109158723,16.2812731944449,53.75204824887289,8.965550474979032,14.714246639320692,3.1744585148314073,63.77755984816039,10.497565749366387,13.803780980702761,13.435776065232702,59.707651089820196,6.363345608403733,14.255225078993469,17.209361645713948,14.027453082782522,14.087146426292293,13.829382218158393,14.807516876869613,15.450549924198462,4.021258084097461,3.92555739215247,14.680254077893252,4.507992827586143,3.92555739215247,14.680254077893252,5.230698548891631,15.010781430767011,14.775976519399187,8.093295562998499,14.530233233767312,14.398033783570447,6.598446778660865,14.530233233767312,14.398033783570447
Oversampling used bw1 [1],3.687938691017955,58.011943208759305,3.5220700633917588,63.96988618479191,5.71102970476403,63.99999999659141,3.980078100463338,3.7073601211527887,5.920071773976048,8.089374591877672,3.3477826127487162,3.7073601211527887,5.920071773976048,8.089374591877672,3.3477826127487162,3.7073601211527887,5.920071773976048,8.089374591877672,13.021573525282449,26.695398043637695,25.325941046517315,59.03968761688634,9.690782633828718,29.722923619675164,4.872057003582455,63.94136916691544,12.858296499217452,27.766427260291685,26.699557556208916,63.151593391234094,13.293965018469173,27.380646553392246,26.990619970977832,26.979836767676346,27.154682202230674,26.409091666986065,26.055915792803326,27.665386920547604,4.4319981205099666,5.89010092545945,27.799710423237343,7.78432319236186,5.89010092545945,27.799710423237343,10.262658369736755,28.740647281193986,28.068479794665507,16.85747940749267,28.556219418217204,28.162726453248645,13.857690384266235,28.556219418217204,28.162726453248645
Oversampling used bw2 [1],7.015397290023763,63.12784695792816,4.616129050141865,63.99387347728162,9.79885372084182,63.99999999999761,7.58010566772996,7.118494113393304,16.234629537223107,25.725629044088954,6.449142360110216,7.118494113393304,16.234629537223107,25.725629044088954,6.449142360110216,7.118494113393304,16.234629537223107,25.725629044088954,21.470796646191054,39.91904122389695,37.63006382272413,61.70010317709663,12.234421263871866,42.38676555421737,6.1336449190277165,63.993105135542145,16.769199610614173,38.55341057266953,36.80668206831682,63.712120950519974,21.99744418282561,41.00162441362196,40.31922605416508,40.25410088821131,40.55625576532455,39.2769804398946,38.06799227429579,40.61467778417794,6.045863723534609,10.145580953920572,40.01276115462912,13.101100386211748,10.145580953920572,40.01276115462912,17.005974695190105,41.584947173476834,40.458206458767165,26.924042128424496,41.51087925944079,40.83938233152266,22.45714914764058,41.51087925944079,40.83938233152266
Oversampling used bw3 [1],21.361282692668993,63.941590700315174,8.122257225294625,63.999522701575266,19.943799336261584,64.0,22.98386111538673,22.075995854558514,44.867465747663175,53.676675652040586,17.85332462836159,22.075995854558514,44.867465747663175,53.676675652040586,17.85332462836159,22.075995854558514,44.867465747663175,53.676675652040586,36.705768754103715,54.99411640116929,52.17943688998902,62.96278218155555,20.370394512933252,57.737594354480926,8.202637260114074,63.998816842061906,24.88249568229618,59.267104186215256,57.69296670044308,63.9987050883261,38.90429854065373,57.44755190647844,56.659631687043536,55.8252147994871,56.189100813524824,54.63538980747981,54.88683878536605,57.43859064851294,12.55870651383372,20.280358909327248,55.8556057971278,25.472624584512246,20.280358909327248,55.8556057971278,31.749422626245995,57.62210833029352,56.36340649021745,45.43989829178966,57.76405693729598,57.00921408450155,39.58557876205746,57.76405693729598,57.00921408450155
Oversampling used bw4 [1],48.552081846569074,63.99709660774092,19.753115395276993,63.999982555593164,40.70067184550118,64.0,50.72635209396711,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,57.94523079725437,63.564946712269695,62.80314156876452,63.90245762053682,38.631968278389365,63.93920021061654,13.047718550576725,63.99998989030349,,,,,59.07320327668434,63.90197225785071,63.81859489079546,63.766893490764524,63.81442862775381,63.5682699270976,61.89509067655533,62.973277779250445,27.712052254881606,41.26183728326309,63.654851415172125,47.55679781813831,41.26183728326309,63.654851415172125,54.567415003037866,63.890183132521074,63.73762750201968,62.02971367112586,63.9146439275271,63.84142599763405,59.5208062715357,63.9146439275271,63.84142599763405
Oversampling used bw5 [1],,,32.110054546566815,63.99999321436706,54.628951553576,64.0,,,,,,,,,,,,,63.275007196254386,63.98226695843599,63.87197095128998,63.99698969609891,,,,,,,,,63.57430934699471,63.99949422472882,63.997440663025834,63.999564705713524,63.99977898341663,63.997637263509276,,,41.617703053122824,55.121736397205105,63.9875177857187,58.8854325586755,55.121736397205105,63.9875177857187,62.102062681930036,63.99912003268208,63.99305018717003,63.90558433388256,63.999604579873576,63.99797844552865,63.661541492679994,63.999604579873576,63.99797844552865
Oversampling used bw6 [1],,,50.79086512966408,63.99999833444713,63.419908635719224,64.0,,,,,,,,,,,,,63.51305668244928,63.999884486534405,63.99664202392924,63.99999044003475,,,,,,,,,63.99889727366841,63.999999999999936,63.99999999991426,63.999999985985035,63.999999997434394,63.9999993160478,,,57.374141516289086,63.51099519830684,63.999999968041166,63.82457603173878,63.51099519830684,63.999999968041166,63.978420264557656,63.99999999999806,63.99999999524177,63.99998703103564,63.99999999999997,63.999999999955335,63.99944992369367,63.99999999999997,63.999999999955335
Oversampling used bw7 [1],,,59.47228824181946,63.9999999999466,63.9704902320328,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.28298192330261,63.97895425027909,63.99999999999999,63.99645071983346,63.97895425027909,63.99999999999999,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839522,64.0,64.0
Oversampling used bw8 [1],,,62.271406806534536,63.99999999817551,63.999690175398776,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.61237966892747,63.99983029448414,64.0,63.999883505090175,63.99983029448414,64.0,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used bw9 [1],,,63.64040621944667,63.99999994552436,63.99999830998445,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.907407061210066,63.99999935562941,64.0,63.99999945555785,63.99999935562941,64.0,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw10 [1],,,63.91022197326229,63.99999935123504,63.99999973453292,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.98589056919389,63.99999991730753,64.0,63.99999999989037,63.99999991730753,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw11 [1],,,63.98587894119917,63.99999568174576,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323508273,63.999999999991815,64.0,63.999999999984944,63.999999999991815,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,372.78105657217833,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels predict, no-smear1",1117.2953217949262,3617.208237988821,904.5597563976627,6864.942273636082,621.0918337495959,2828.8470245059593,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,322.2189921177397,745.7306245903046,745.7306245903046,418.90275499589205,322.42065370364355,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels predict, no-smear2",2233.6181120846836,7233.443651746777,1205.8966379974954,9153.073271346264,828.0453578278335,3771.7189324319356,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,429.5881397427964,994.2703121075014,994.2703121075014,558.5246559695574,429.86382302328974,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels predict, no-smear3",4466.26348098825,14465.914413852615,1808.570373420898,13729.335263104213,1241.9523988093595,5657.462746707873,3435.07044070933,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,644.3264317751682,1491.3496857510963,1491.3496857510963,837.7684576434344,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels predict, no-smear4",8931.554112875032,28930.855905350065,3013.917810920462,22881.859242246133,2069.7664721575957,9428.950373368421,6869.447804173029,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,1073.8030119774014,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,1862.8443284761663,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels predict, no-smear5",,,4219.26523571507,32034.383219760202,2897.5805422242274,13200.437999296486,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,2607.875942853118,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels predict, no-smear6",,,6629.960074898007,50339.43117338024,4553.208679676484,20743.413250674002,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,4097.939167681737,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels predict, no-smear7",,,9040.654909467647,68644.47912648872,6208.8368159291185,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,5588.002390765619,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
"Channels predict, no-smear8",,,10848.676034195598,82373.26509018058,7450.557917820432,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels predict, no-smear9",,,13259.37086640695,100678.31304361316,9106.186053467487,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels predict, no-smear10",,,15670.065698076485,118983.36099533516,10761.814188959252,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels predict, no-smear11",,,18080.76052947859,137288.40894903094,12417.442324443025,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
"Channels backward, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,372.78105657217833,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels backward, no-smear1",1117.2953217949262,3617.208237988821,904.5597563976627,6864.942273636082,621.0918337495959,2828.8470245059593,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,322.2189921177397,745.7306245903046,745.7306245903046,418.90275499589205,322.42065370364355,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels backward, no-smear2",2233.6181120846836,7233.443651746777,1205.8966379974954,9153.073271346264,828.0453578278335,3771.7189324319356,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,429.5881397427964,994.2703121075014,994.2703121075014,558.5246559695574,429.86382302328974,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
