Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Delta W max11 [lambda],,,772.2134402841542,1935.037569114931,38133.47464552186,266185.4913593846,,,,,,,,,,,,,,,,,,,,,,,,,157061.50888951193,59264.88318466979,57450.71872684571,,,,,,3774.92306739152,4200.5493500918,1852.2227139090824,4443.973983943087,4200.5493500918,1852.2227139090824,,,,63958.993152290175,35248.656332035025,27218.561265041957,74886.85772787576,35248.656332035025,27218.561265041957
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],0.6931074582033017,2.1719274927788135,0.8856080779034621,7.445664116027902,0.7567251199608376,3.25839198864424,0.8518975847664513,0.679218199844187,0.9944464663651059,0.9928180685608433,0.6633524899218128,0.679218199844187,0.9944464663651059,0.9928180685608433,0.6633524899218128,0.679218199844187,0.9944464663651059,0.9928180685608433,2.117780984005726,2.6642461748765345,2.250127115072888,10.043784052094054,4.056652002366872,2.236169877502791,3.468301707564042,8.776787918012607,4.62219931422169,2.5256236608113074,2.140031229459947,10.245279925416373,1.02904318487048,0.9496679140376055,0.9277535472050785,2.054235828549709,1.793876840102558,1.5025357036972324,2.4498298905756366,1.787105054107802,1.2971113970263943,0.8954766392281717,1.5190196865586227,1.163145260181167,0.8954766392281717,1.5190196865586227,1.1058362087359543,1.46048332274785,1.306452831173505,0.9139301729048709,0.9569072676376705,0.7880643875435336,0.8782817144689772,0.9569072676376705,0.7880643875435336
W kernel support pred1 [uv-pixels],1.1664036853875175,3.657676430670701,1.200842752355904,10.108539909758152,1.0260423187313845,4.4206744407371925,1.4337589440227543,1.143020305441991,1.673802909991398,1.6710606081914363,1.116309857540561,1.143020305441991,1.673802909991398,1.6710606081914363,1.116309857540561,1.143020305441991,1.673802909991398,1.6710606081914363,2.872520651687086,3.6141633457490383,3.0521226320973986,13.64069644179922,5.504496217841186,3.0331813753398977,4.705649305522815,11.917953358299592,6.272513077064134,3.4260162935545435,2.902715012813202,13.91471488790437,1.395393205254533,1.287729619940257,1.2580059934485575,2.7862890350677163,2.433000242296486,2.0377140416147603,3.323148150582258,2.4238118830701505,1.7590270986682972,1.21422768794942,2.060077939033785,1.5772967578130934,1.21422768794942,2.060077939033785,1.499558159518097,1.980662080385985,1.7716995278689087,1.2392567784007575,1.2975488125396575,1.068545833409657,1.1909058958375753,1.2975488125396575,1.068545833409657
W kernel support pred2 [uv-pixels],1.9634092974100785,6.163194545654393,1.490522599833565,12.560147121796634,1.2735119011860292,5.489632967352974,2.413765669532778,1.9240250285319058,2.8181974052270187,2.8135766951862102,1.879037987901633,1.9240250285319058,2.8181974052270187,2.8135766951862102,1.879037987901633,1.9240250285319058,2.8181974052270187,2.8135766951862102,3.566410235103639,4.487650717091568,3.7894910686352072,16.953991311291432,6.836386763558161,3.7659639977351786,5.843714919333817,14.810710768475998,7.790884897243175,4.2539273763227365,3.603913542249185,17.29494496837709,1.7320664188325317,1.5983950893211853,1.5614920459149348,3.4593065513080865,3.020528152500709,2.529634765394551,4.126144716730524,3.009116871243456,2.1835724624709605,1.507140184684703,2.5574064631006137,1.9579211349919141,1.507140184684703,2.5574064631006137,1.8613980376761956,2.4587878377216175,2.199308015748739,1.5382143363716618,1.6105860741799725,1.326277907129117,1.478185898355713,1.6105860741799725,1.326277907129117
W kernel support pred3 [uv-pixels],3.3062290270283268,10.39307624901199,2.0214159043459934,17.063562601599124,1.727012661058881,7.450730066321143,4.06534533199737,3.239854468167348,4.74724296334971,4.739451104972455,3.1640397905071436,3.239854468167348,4.74724296334971,4.739451104972455,3.1640397905071436,3.239854468167348,4.74724296334971,4.739451104972455,4.838848554892973,6.089783900027516,5.141734273801016,23.044206835687152,9.280529658648712,5.109789660228361,7.93175098907734,20.126299839326535,10.577749550094543,5.772383157127383,4.889766835218879,23.50848921534933,2.3491331271527396,2.1677690722478777,2.117701098884493,4.693437033296208,4.097772034491291,3.4314602853704983,5.598860968430796,4.082281741423353,2.9618027092470802,2.0439609471645483,3.4691530784302365,2.655592663227889,2.0439609471645483,3.4691530784302365,2.5246183299671525,3.3353058322559472,2.983156899370497,2.0861196054352398,2.1843092819038774,1.7985940583103246,2.004678829110294,2.1843092819038774,1.7985940583103246
W kernel support pred4 [uv-pixels],5.842695255920037,17.545049781755946,2.967809286369922,25.121346232481667,2.535344230493555,10.952496391664821,7.015387062886702,6.247242415976737,13.50054431938514,7.9888111670814865,5.330491183521604,6.247242415976737,13.50054431938514,7.9888111670814865,5.330491183521604,6.247242415976737,13.50054431938514,7.9888111670814865,7.109320904221805,8.949559474528611,7.554819989700645,33.952452927930345,13.64676382128151,7.507832041519353,11.660629136490986,29.642454968436073,,,,,3.449284381934579,3.1828189055468252,3.109261588400131,6.895459688255305,6.01951601646679,5.039920508398551,6.95365703116057,5.069205166983143,4.349599656153272,3.000929549499576,5.095328632522292,3.8995946246555793,3.000929549499576,5.095328632522292,3.7071338684028126,4.898578032191552,4.3809839136088335,3.062864578500052,3.20711932706237,2.640488143186088,2.943221575145397,3.20711932706237,2.640488143186088
W kernel support pred5 [uv-pixels],,,3.8225356480049024,32.42799701618017,3.2652840540113024,14.120833301149542,,,,,,,,,,,,,9.162016913472659,11.536032182204192,9.7366608495376,43.854854960156146,,,,,,,,,4.44301539449665,4.099610092226511,4.004817885488403,8.886177701907872,7.756505325124912,6.493402759380477,,,5.603459328688595,3.8652153921132446,6.564839488023811,5.023402081279065,3.8652153921132446,6.564839488023811,4.77533919670605,6.311176375952355,5.643916008386562,3.945027708224866,4.130926083398859,3.4007607626513026,3.7908514475075608,4.130926083398859,3.4007607626513026
W kernel support pred6 [uv-pixels],,,5.371489798856255,45.73228689258829,4.587887421044417,19.8749394961398,,,,,,,,,,,,,10.132984323172089,12.759789802704006,10.768780349582142,48.55114151017809,,,,,,,,,6.244177989797556,5.761165406199756,5.627846210628096,11.630278662181052,10.15037246143764,8.496071143322622,,,7.8767746025489975,5.431511925775931,9.22974210454674,7.060634883402434,5.431511925775931,9.22974210454674,6.711655032417427,8.8727212656205,7.933702396127951,5.543757313973313,5.80521027596429,4.778379458344734,5.326931682263279,5.80521027596429,4.778379458344734
W kernel support pred7 [uv-pixels],,,6.785015132245646,57.93730554900659,5.79463850325713,25.13853832025097,,,,,,,,,,,,,,,,,,,,,,,,,7.8881673830277945,7.2775752043841555,7.109052033479699,,,,,,9.952390703560178,6.860882185591279,11.663501763145026,8.920403466182965,6.860882185591279,11.663501763145026,8.479173657110064,11.211936436939023,10.024379917746103,7.002761071777536,7.333251428713969,6.035382185410873,6.728694939870339,7.333251428713969,6.035382185410873
W kernel support pred8 [uv-pixels],,,7.7843687516908,66.59995533985551,6.6476906061212,28.866532425604785,,,,,,,,,,,,,,,,,,,,,,,,,9.050620309688915,8.349735518548025,8.156299237058716,,,,,,11.420401398429313,7.871448053224465,13.385138179730214,10.2355960030461,7.871448053224465,13.385138179730214,9.729063155025813,12.866612055391114,11.503055059370853,8.034296792711487,8.413643198448778,6.923986517295491,7.719725550614022,8.413643198448778,6.923986517295491
W kernel support pred9 [uv-pixels],,,9.055923542164663,77.65996484509454,7.732967156786431,33.61742674041891,,,,,,,,,,,,,,,,,,,,,,,,,10.529881796186107,9.714004360274812,9.48884208876576,,,,,,13.288897597474818,9.15728027794545,15.57681477972805,11.909407900801524,9.15728027794545,15.57681477972805,10.134119377102484,13.402935840352834,12.48160032096528,9.346832116645057,9.788394730622965,8.05452661129064,8.980682133092875,9.788394730622965,8.05452661129064
W kernel support pred10 [uv-pixels],,,10.272157019828851,88.2763539200322,8.77089982510769,38.169059642549996,,,,,,,,,,,,,,,,,,,,,,,,,11.944967297618858,11.018994308636461,10.763459356289488,,,,,,15.076731167872975,10.387181196987008,20.055837320281416,13.510786531967156,10.387181196987008,20.055837320281416,,,,10.602295802994238,11.103420431352781,9.135781123651464,10.18677033378574,11.103420431352781,9.135781123651464
W kernel support pred11 [uv-pixels],,,12.15747220194383,98.5352175267356,9.77053920340023,42.55979965975746,,,,,,,,,,,,,,,,,,,,,,,,,13.308157813952898,12.27604595645031,11.991231830594712,,,,,,16.7993522707249,11.571848812828298,24.91120763520158,15.053599563849229,11.571848812828298,24.91120763520158,,,,11.811604724037414,12.370146702105782,10.177173013349906,11.348484165253133,12.370146702105782,10.177173013349906
AW kernel support pred0 [uv-pixels],10.023991118741927,10.23314560796867,10.039138492303405,12.46747424816693,10.02859077374183,10.51746729738966,10.036220877149471,10.023040325320435,10.049324543195231,10.049163533213145,10.02197767538351,10.023040325320435,10.049324543195231,10.049163533213145,10.02197767538351,10.023040325320435,10.049324543195231,10.049163533213145,10.221790268647478,10.348826391448657,10.250027904058907,14.173129438663109,10.791497832474747,10.24697300284581,10.584380791274077,13.305337506345792,11.01656600308787,10.314008671513221,10.226423307445465,14.316625326875732,10.052807064513294,10.044992242254473,10.042944122335422,10.208814076047096,10.159625687861553,10.112250666438452,10.295711072711677,10.158432185845298,10.083773994705343,10.040013865100157,10.114713085804889,10.06741808490548,10.040013865100157,10.114713085804889,10.060957892792889,10.106087845255681,10.084979871079629,10.041676571217872,10.04567924626592,10.03100421089107,10.038494845840713,10.04567924626592,10.03100421089107
AW kernel support pred1 [uv-pixels],10.067795069293256,10.647938620760545,10.071843094284468,14.219092063390452,10.052500327770582,10.933542999000236,10.102260376250715,10.065112787179919,10.13911318516051,10.138660836434422,10.062114474504959,10.065112787179919,10.13911318516051,10.138660836434422,10.062114474504959,10.065112787179919,10.13911318516051,10.138660836434422,10.404392096339352,10.633069956026617,10.45540303199074,16.913562587974003,11.414879702048022,10.44988943748731,11.051838552320937,15.55755804265581,11.804423759842772,10.570600155322365,10.412768817447699,17.135322886122324,10.096886757672907,10.082571476268912,10.078818337461614,10.380915498497162,10.291719495740969,10.20550236467534,10.537709126310057,10.289551207147573,10.153530239963311,10.073447715563079,10.209991239707,10.123629046058912,10.073447715563079,10.209991239707,10.111808674701935,10.194264185152303,10.1557333175429,10.076495291658317,10.083830270334932,10.056927473045489,10.07066317839797,10.083830270334932,10.056927473045489
AW kernel support pred2 [uv-pixels],10.19092616346308,11.746700260395855,10.110472670484532,16.05482157238679,10.08076547502532,11.407719759717478,10.28718934925449,10.183411624324002,10.389525331545629,10.388272898788083,10.175007801470102,10.183411624324002,10.389525331545629,10.388272898788083,10.175007801470102,10.183411624324002,10.389525331545629,10.388272898788083,10.61693373649153,10.960794175542777,10.693934849215513,19.683440283226542,12.113471178029576,10.685620470156964,11.58227110969367,17.870566680087425,12.676667049429508,10.867193663638652,10.62959043519585,19.977865788396716,10.148894229385158,10.126937684293614,10.121178657125641,10.581436661244211,10.446223734922077,10.314991616394689,10.817812635805966,10.442929873594,10.235623512950323,10.112935851487018,10.321837424485468,10.189870223454665,10.112935851487018,10.321837424485468,10.171764972445283,10.297846261764047,10.238991930270121,10.117613520223992,10.128869013978928,10.087567253155678,10.108661313452819,10.128869013978928,10.087567253155678
AW kernel support pred3 [uv-pixels],10.532385787615485,14.422760967227362,10.20226064450144,19.777895961367886,10.14803294887525,12.470500331629918,10.794768764007536,10.511739008123438,11.069612267512957,11.066272939722056,10.48861991855518,10.511739008123438,11.069612267512957,11.066272939722056,10.48861991855518,10.511739008123438,11.069612267512957,11.066272939722056,11.109205882383755,11.70835035131057,11.244440019066314,25.120419357286423,13.642882054209016,11.22986867117228,12.76372491683871,22.47371676475601,14.556400157474558,11.546445657114049,11.131478774305167,25.546997185348328,10.272216238431042,10.232263813574903,10.221773718108643,11.046644340500707,10.80702251532118,10.572365851126936,11.460682533942636,10.801158466403429,10.429394770958828,10.206751508366107,10.584659799992723,10.346601973256234,10.206751508366107,10.584659799992723,10.313762539054608,10.541549458911652,10.43547914981683,10.215277529670022,10.235780724449477,10.160459664138685,10.198957653009597,10.235780724449477,10.160459664138685
AW kernel support pred4 [uv-pixels],11.581756682539593,20.19477090348624,10.431102145040262,27.03852874200482,10.3163932828822,14.830953347962193,12.215386021003106,11.791015130343055,16.800735011292883,12.799261848375705,11.331996128555707,11.791015130343055,16.800735011292883,12.799261848375705,11.331996128555707,11.791015130343055,16.800735011292883,12.799261848375705,12.26957390128953,13.419933486725068,12.53296872559652,35.39447781537857,16.918456276913624,12.504700794647775,15.361323896682295,31.283783923236655,,,,,10.57816443185952,10.494300176072072,10.47222553352918,12.146907602857361,11.671956694252264,11.198249806598188,12.180038838485238,11.211460253908434,10.904999640935742,10.440573650957102,11.223296034294092,10.733444844812997,10.440573650957102,11.223296034294092,10.665028903770454,11.135352115558343,10.917555589567629,10.458543848272106,10.501695785825115,10.342735500548505,10.424133212905586,10.501695785825115,10.342735500548505
AW kernel support pred5 [uv-pixels],,,10.705689084793573,33.9348639378647,10.51960455308946,17.3031191731102,,,,,,,,,,,,,13.562542310450468,15.266959045888962,13.957168928508326,44.98053249547333,,,,,,,,,10.94259502109688,10.807719597967253,10.772119860822558,13.37774847087075,12.655566951294245,11.923266305653414,,,11.462929662536853,10.721002286513567,11.962320740705657,11.190825191655835,10.721002286513567,11.962320740705657,11.081690504773952,11.825013625716425,11.482760465572818,10.750034586858868,10.81963725392423,10.56244165734366,10.694416987244802,10.81963725392423,10.56244165734366
AW kernel support pred6 [uv-pixels],,,11.351339245182341,46.812840807047834,11.002213913034849,22.24889255615249,,,,,,,,,,,,,14.236480298643038,16.211484688614707,14.695803149795742,49.570286885808294,,,,,,,,,11.789391789582373,11.540841686705212,11.474870499072354,15.338297876882686,14.248861747729592,13.121860572053011,,,12.729633857238822,11.379864753143869,13.608384890075783,12.241428223729425,11.379864753143869,13.608384890075783,12.043517479298735,13.368813808913425,12.764937669660844,11.433863964392465,11.56289178139108,11.083000958582062,11.330322199633171,11.56289178139108,11.083000958582062
AW kernel support pred7 [uv-pixels],,,12.084553377961571,58.79397396229438,11.557587783937876,27.054502562027018,,,,,,,,,,,,,,,,,,,,,,,,,12.736686565298825,12.367825227398189,12.269418112311678,,,,,,14.108510931927263,12.127312330626427,15.36350459299203,13.40050737843493,12.127312330626427,15.36350459299203,13.110926203263798,15.023565444526174,14.159385323357485,12.208139195979168,12.400668389918966,11.680147179037382,12.053021844908303,12.400668389918966,11.680147179037382
AW kernel support pred8 [uv-pixels],,,12.672663368933152,67.34652219135556,12.007988607369347,30.5495776448463,,,,,,,,,,,,,,,,,,,,,,,,,13.48753973080908,13.02758930998757,12.904465011942362,,,,,,15.179774968728827,12.726338611502179,16.70813945627913,14.309696905859791,12.726338611502179,16.70813945627913,13.951869762669117,16.295695928187172,15.242056150628674,12.827701468048515,13.068641546496078,12.163124158360374,12.633058322385873,13.068641546496078,12.163124158360374
AW kernel support pred9 [uv-pixels],,,13.491098961964965,78.30115030918331,12.641154260902667,35.07322883122443,,,,,,,,,,,,,,,,,,,,,,,,,14.521653164900048,13.941372985163193,13.785431592283665,,,,,,16.63113944852162,13.559342981459267,18.510460790643602,15.551012717751659,13.559342981459267,18.510460790643602,14.237288209113562,16.72240081868075,15.993446988448756,13.688070375942239,13.993308093602721,12.840381572678792,13.440708745287713,13.993308093602721,12.840381572678792
AW kernel support pred10 [uv-pixels],,,14.335871436366158,88.84095148868444,13.301454196518295,39.457282141533,,,,,,,,,,,,,,,,,,,,,,,,,15.57826189731011,14.880128882968814,14.69190448221386,,,,,,18.091650635260244,14.4185135578894,22.41063610470691,16.808966437957604,14.4185135578894,22.41063610470691,,,,14.57424702323208,14.942755611846911,13.544832842795307,14.274813127789002,14.942755611846911,13.544832842795307
AW kernel support pred11 [uv-pixels],,,15.741795651736716,99.0413504201205,13.980823878626781,43.718835152353854,,,,,,,,,,,,,,,,,,,,,,,,,16.646533104555903,15.833549959654656,15.613764466491347,,,,,,19.550402469409928,15.29404083121775,26.84340265026261,18.072378366687705,15.29404083121775,26.84340265026261,,,,15.476240052315774,15.90661904464989,14.267965886686778,15.125742720574124,15.90661904464989,14.267965886686778
"W kernel support pred, ff [pixels]",(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
W kernel support bw0 [uv-pixels],0.6931074582033017,2.1719274927788135,0.8856080779034621,7.445664116027902,0.7567251199608376,3.25839198864424,0.8518975847664513,0.679218199844187,0.9944464663651059,0.9928180685608433,0.6633524899218128,0.679218199844187,0.9944464663651059,0.9928180685608433,0.6633524899218128,0.679218199844187,0.9944464663651059,0.9928180685608433,2.117780984005726,2.6642461748765345,2.250127115072888,10.043784052094054,4.056652002366872,2.236169877502791,3.468301707564042,8.776787918012607,4.62219931422169,2.5256236608113074,2.140031229459947,10.245279925416373,1.02904318487048,0.9496679140376055,0.9277535472050785,2.054235828549709,1.793876840102558,1.5025357036972324,2.4498298905756366,1.787105054107802,1.2971113970263943,0.8954766392281717,1.5190196865586227,1.163145260181167,0.8954766392281717,1.5190196865586227,1.1058362087359543,1.46048332274785,1.306452831173505,0.9139301729048709,0.9569072676376705,0.7880643875435336,0.8782817144689772,0.9569072676376705,0.7880643875435336
W kernel support bw1 [uv-pixels],1.1664036853875175,3.657676430670701,1.200842752355904,10.108539909758152,1.0260423187313845,4.4206744407371925,1.4337589440227543,1.143020305441991,1.673802909991398,1.6710606081914363,1.116309857540561,1.143020305441991,1.673802909991398,1.6710606081914363,1.116309857540561,1.143020305441991,1.673802909991398,1.6710606081914363,2.872520651687086,3.6141633457490383,3.0521226320973986,13.64069644179922,5.504496217841186,3.0331813753398977,4.705649305522815,11.917953358299592,6.272513077064134,3.4260162935545435,2.902715012813202,13.91471488790437,1.395393205254533,1.287729619940257,1.2580059934485575,2.7862890350677163,2.433000242296486,2.0377140416147603,3.323148150582258,2.4238118830701505,1.7590270986682972,1.21422768794942,2.060077939033785,1.5772967578130934,1.21422768794942,2.060077939033785,1.499558159518097,1.980662080385985,1.7716995278689087,1.2392567784007575,1.2975488125396575,1.068545833409657,1.1909058958375753,1.2975488125396575,1.068545833409657
W kernel support bw2 [uv-pixels],1.9634092974100785,6.163194545654393,1.490522599833565,12.560147121796634,1.2735119011860292,5.489632967352974,2.413765669532778,1.9240250285319058,2.8181974052270187,2.8135766951862102,1.879037987901633,1.9240250285319058,2.8181974052270187,2.8135766951862102,1.879037987901633,1.9240250285319058,2.8181974052270187,2.8135766951862102,3.566410235103639,4.487650717091568,3.7894910686352072,16.953991311291432,6.836386763558161,3.7659639977351786,5.843714919333817,14.810710768475998,7.790884897243175,4.2539273763227365,3.603913542249185,17.29494496837709,1.7320664188325317,1.5983950893211853,1.5614920459149348,3.4593065513080865,3.020528152500709,2.529634765394551,4.126144716730524,3.009116871243456,2.1835724624709605,1.507140184684703,2.5574064631006137,1.9579211349919141,1.507140184684703,2.5574064631006137,1.8613980376761956,2.4587878377216175,2.199308015748739,1.5382143363716618,1.6105860741799725,1.326277907129117,1.478185898355713,1.6105860741799725,1.326277907129117
W kernel support bw3 [uv-pixels],3.3062290270283268,10.39307624901199,2.0214159043459934,17.063562601599124,1.727012661058881,7.450730066321143,4.06534533199737,3.239854468167348,4.74724296334971,4.739451104972455,3.1640397905071436,3.239854468167348,4.74724296334971,4.739451104972455,3.1640397905071436,3.239854468167348,4.74724296334971,4.739451104972455,4.838848554892973,6.089783900027516,5.141734273801016,23.044206835687152,9.280529658648712,5.109789660228361,7.93175098907734,20.126299839326535,10.577749550094543,5.772383157127383,4.889766835218879,23.50848921534933,2.3491331271527396,2.1677690722478777,2.117701098884493,4.693437033296208,4.097772034491291,3.4314602853704983,5.598860968430796,4.082281741423353,2.9618027092470802,2.0439609471645483,3.4691530784302365,2.655592663227889,2.0439609471645483,3.4691530784302365,2.5246183299671525,3.3353058322559472,2.983156899370497,2.0861196054352398,2.1843092819038774,1.7985940583103246,2.004678829110294,2.1843092819038774,1.7985940583103246
W kernel support bw4 [uv-pixels],5.842695255920037,17.545049781755946,2.967809286369922,25.121346232481667,2.535344230493555,10.952496391664821,7.015387062886702,6.247242415976737,13.50054431938514,7.9888111670814865,5.330491183521604,6.247242415976737,13.50054431938514,7.9888111670814865,5.330491183521604,6.247242415976737,13.50054431938514,7.9888111670814865,7.109320904221805,8.949559474528611,7.554819989700645,33.952452927930345,13.64676382128151,7.507832041519353,11.660629136490986,29.642454968436073,,,,,3.449284381934579,3.1828189055468252,3.109261588400131,6.895459688255305,6.01951601646679,5.039920508398551,6.95365703116057,5.069205166983143,4.349599656153272,3.000929549499576,5.095328632522292,3.8995946246555793,3.000929549499576,5.095328632522292,3.7071338684028126,4.898578032191552,4.3809839136088335,3.062864578500052,3.20711932706237,2.640488143186088,2.943221575145397,3.20711932706237,2.640488143186088
W kernel support bw5 [uv-pixels],,,3.8225356480049024,32.42799701618017,3.2652840540113024,14.120833301149542,,,,,,,,,,,,,9.162016913472659,11.536032182204192,9.7366608495376,43.854854960156146,,,,,,,,,4.44301539449665,4.099610092226511,4.004817885488403,8.886177701907872,7.756505325124912,6.493402759380477,,,5.603459328688595,3.8652153921132446,6.564839488023811,5.023402081279065,3.8652153921132446,6.564839488023811,4.77533919670605,6.311176375952355,5.643916008386562,3.945027708224866,4.130926083398859,3.4007607626513026,3.7908514475075608,4.130926083398859,3.4007607626513026
W kernel support bw6 [uv-pixels],,,5.371489798856255,45.73228689258829,4.587887421044417,19.8749394961398,,,,,,,,,,,,,10.132984323172089,12.759789802704006,10.768780349582142,48.55114151017809,,,,,,,,,6.244177989797556,5.761165406199756,5.627846210628096,11.630278662181052,10.15037246143764,8.496071143322622,,,7.8767746025489975,5.431511925775931,9.22974210454674,7.060634883402434,5.431511925775931,9.22974210454674,6.711655032417427,8.8727212656205,7.933702396127951,5.543757313973313,5.80521027596429,4.778379458344734,5.326931682263279,5.80521027596429,4.778379458344734
W kernel support bw7 [uv-pixels],,,6.785015132245646,57.93730554900659,5.79463850325713,25.13853832025097,,,,,,,,,,,,,,,,,,,,,,,,,7.8881673830277945,7.2775752043841555,7.109052033479699,,,,,,9.952390703560178,6.860882185591279,11.663501763145026,8.920403466182965,6.860882185591279,11.663501763145026,8.479173657110064,11.211936436939023,10.024379917746103,7.002761071777536,7.333251428713969,6.035382185410873,6.728694939870339,7.333251428713969,6.035382185410873
W kernel support bw8 [uv-pixels],,,7.7843687516908,66.59995533985551,6.6476906061212,28.866532425604785,,,,,,,,,,,,,,,,,,,,,,,,,9.050620309688915,8.349735518548025,8.156299237058716,,,,,,11.420401398429313,7.871448053224465,13.385138179730214,10.2355960030461,7.871448053224465,13.385138179730214,9.729063155025813,12.866612055391114,11.503055059370853,8.034296792711487,8.413643198448778,6.923986517295491,7.719725550614022,8.413643198448778,6.923986517295491
W kernel support bw9 [uv-pixels],,,9.055923542164663,77.65996484509454,7.732967156786431,33.61742674041891,,,,,,,,,,,,,,,,,,,,,,,,,10.529881796186107,9.714004360274812,9.48884208876576,,,,,,13.288897597474818,9.15728027794545,15.57681477972805,11.909407900801524,9.15728027794545,15.57681477972805,10.134119377102484,13.402935840352834,12.48160032096528,9.346832116645057,9.788394730622965,8.05452661129064,8.980682133092875,9.788394730622965,8.05452661129064
W kernel support bw10 [uv-pixels],,,10.272157019828851,88.2763539200322,8.77089982510769,38.169059642549996,,,,,,,,,,,,,,,,,,,,,,,,,11.944967297618858,11.018994308636461,10.763459356289488,,,,,,15.076731167872975,10.387181196987008,20.055837320281416,13.510786531967156,10.387181196987008,20.055837320281416,,,,10.602295802994238,11.103420431352781,9.135781123651464,10.18677033378574,11.103420431352781,9.135781123651464
W kernel support bw11 [uv-pixels],,,12.15747220194383,98.5352175267356,9.77053920340023,42.55979965975746,,,,,,,,,,,,,,,,,,,,,,,,,13.308157813952898,12.27604595645031,11.991231830594712,,,,,,16.7993522707249,11.571848812828298,24.91120763520158,15.053599563849229,11.571848812828298,24.91120763520158,,,,11.811604724037414,12.370146702105782,10.177173013349906,11.348484165253133,12.370146702105782,10.177173013349906
AW kernel support bw0 [uv-pixels],10.023991118741927,10.23314560796867,10.039138492303405,12.46747424816693,10.02859077374183,10.51746729738966,10.036220877149471,10.023040325320435,10.049324543195231,10.049163533213145,10.02197767538351,10.023040325320435,10.049324543195231,10.049163533213145,10.02197767538351,10.023040325320435,10.049324543195231,10.049163533213145,10.221790268647478,10.348826391448657,10.250027904058907,14.173129438663109,10.791497832474747,10.24697300284581,10.584380791274077,13.305337506345792,11.01656600308787,10.314008671513221,10.226423307445465,14.316625326875732,10.052807064513294,10.044992242254473,10.042944122335422,10.208814076047096,10.159625687861553,10.112250666438452,10.295711072711677,10.158432185845298,10.083773994705343,10.040013865100157,10.114713085804889,10.06741808490548,10.040013865100157,10.114713085804889,10.060957892792889,10.106087845255681,10.084979871079629,10.041676571217872,10.04567924626592,10.03100421089107,10.038494845840713,10.04567924626592,10.03100421089107
AW kernel support bw1 [uv-pixels],10.067795069293256,10.647938620760545,10.071843094284468,14.219092063390452,10.052500327770582,10.933542999000236,10.102260376250715,10.065112787179919,10.13911318516051,10.138660836434422,10.062114474504959,10.065112787179919,10.13911318516051,10.138660836434422,10.062114474504959,10.065112787179919,10.13911318516051,10.138660836434422,10.404392096339352,10.633069956026617,10.45540303199074,16.913562587974003,11.414879702048022,10.44988943748731,11.051838552320937,15.55755804265581,11.804423759842772,10.570600155322365,10.412768817447699,17.135322886122324,10.096886757672907,10.082571476268912,10.078818337461614,10.380915498497162,10.291719495740969,10.20550236467534,10.537709126310057,10.289551207147573,10.153530239963311,10.073447715563079,10.209991239707,10.123629046058912,10.073447715563079,10.209991239707,10.111808674701935,10.194264185152303,10.1557333175429,10.076495291658317,10.083830270334932,10.056927473045489,10.07066317839797,10.083830270334932,10.056927473045489
